sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
obscene	adj::(文学，图画)猥亵的，淫秽的	
meek	adj::温顺的，谦逊的	
herb	n::草本植物;药草	medicinal herb::草药；药草¦chinese medicinal herb::中草药¦herb layer::草本层¦annual herb::一年生草本¦herb tea::花草茶；药茶；草药茶
mansion	n::大厦，官邸	mansion house::大厦之屋，民信大厦；府邸¦executive mansion::n. 白宫；州长官邸
minute	n::分，备忘录¦adj::微小的，细致的	every minute::n. 完全，彻底；时时刻刻¦in a minute::马上；立即¦at the last minute::到最后一刻¦last minute::最后一刻；紧急关头¦wait a minute::等一下；等一会¦per minute::每分钟¦just a minute::等一下；请稍等；就来了¦half a minute::片刻¦up to the minute::最新的¦any minute::随时；马上¦at any minute::随时，在任何时刻¦minute hand::钟表的分针¦by the minute::以每分钟计算；每时每刻¦give me a minute::请稍等¦revolutions per minute::每分钟转动次数¦minute down::把…记录下来¦on the minute::准时，一分钟不差
outcry	n::公开反对	open outcry::公开喊价
preface	n&v::序言；为加序	
sediment	n::沉积物，沉淀	sediment transport::沉积物运移；泥沙流移；土砂流送¦sediment concentration::含沙量；沉积物浓度¦sediment yield::产沙量；泥砂生产量¦sediment deposition::沉积物沉降；淤积量¦bottom sediment::脚子；底沉积物¦sediment discharge::输沙量；输沙率；土砂流量；沉积物流量；沉淀物排放¦sediment supply::沉积物补给¦sediment load::[地]输沙量；推移质
resign	v::放弃；辞去	resign from::辞职
torch	n::火把；手电筒	torch relay::火炬传递；火炬接力；圣火传递¦olympic torch::奥运火炬；奥运圣火¦welding torch::焊接炬；熔接气炬；焊接喷灯¦torch plan::火炬计划¦torch program（a plan to develop new and high technology）::火炬计划（开发高新科技的一项计划）¦plasma torch::电浆炬；等离子体焰炬；等离子体喷枪¦cutting torch::割炬；切割吹管¦carry the torch::开战；奋斗；单恋¦torch light::手电筒；火炬点燃¦torch bearer::火炬手¦burning torch::气割炬；点火火炬；点火枪¦electric torch::手电筒¦carry a torch::开战；单恋
deteriorate	v::恶化，败坏	
degenerate	n&a::堕落(的)，颓废(的)	
characterize	v::表示的特征	
parade	v::阅兵整队；列队行进，游行；夸耀；炫示	on parade::受检阅；在游行¦military parade::阅兵；军事博览¦join the parade::[美国英语]学时髦；跟着大众行动¦hit parade::最流行的一批¦easter parade::复活节游行¦parade ground::练兵场；阅兵场¦carnival parade::狂欢节队伍
let	v::允许，让，出租	let us::让我们¦let go::放开；释放；发射¦let me see::让我看看；让我想一想¦let me tell you::让我告诉你；老实告诉你¦let it be::[口]随他（它）去；任他（它）那样¦let you know::让你知道¦let go of::释放，松手放开¦let it go::任它去，放下¦let out::v. 放出；泄露；出租¦let's say::比如说（用作插入语）¦let you go::让你走¦let's face it::面对现实吧¦let you down::让你失望¦let me down::让我失望¦let down::使失望；放下；辜负；减速下降¦let off::放出；准许…暂停工作；宽恕¦let me try::让我试一试¦let in::让…进来；嵌入¦let slip::错过；无意中吐露；放走¦let it fly::让它飞
swing	vt&vi::摆动，摇动；旋转，转向	in full swing::活跃；正在全力进行中¦full swing::达到活动的高潮；全力进行中¦go with a swing::v. 顺利进行；节奏轻快¦swing angle::旋角；偏转角¦swing from::悬挂¦swing arm::摇动臂¦swing by::用…吊挂；路经；短暂拜访¦swing one's weight::发挥个人的影响(或权势)¦swing of the pendulum::◎钟摆的摆动¦swing door::回转门；两面皆可推拉开关的门¦swing out::内关门；外摆式；向舷外转¦swing mechanism::旋转机构；回转机构¦swing check valve::旋启式止回阀；摆动式止回阀¦pendulum swing::测锤摆幅¦swing motion::摇动
incongruous	adj::不适宜的	
inventory	n::详细目录，存货清单；存货盘存	inventory management::存货管理¦inventory control::存货控制；存货管理¦take inventory::实地清点盘存；编制...清单¦inventory cost::存货成本¦inventory system::库存系统；盘存制度；存储系统¦inventory level::库存量；存货水准¦inventory accounting::存货会计；存货核算¦inventory turnover::存货周转¦physical inventory::实际库存；实地盘存；盘点数量¦forest inventory::森林调查¦inventory analysis::库存分析；存储分析；盘查分析¦ending inventory::[经]期末存货；[经]期末盘存¦inventory report::存货报告单¦personality inventory::人格量表；人格调查表¦excess inventory::过量库存；积压商品¦cycle inventory::循环盘存¦inventory valuation::存货估价¦inventory list::盘存清单；财产目录¦perpetual inventory::[经]永续盘存¦inventory adjustment::存货调整
choir	n::(教会的)歌唱队，唱诗班	
hatch	v::孵出，策划	hatch out::孵出；策划¦hatch cover::舱口盖；装货口盖¦escape hatch::安全舱口¦cross hatch::格子信号，交叉影线；网纹网状线剖面线，网纹网状线
demonstrate	v::论证，证明；示威	
conversion	n::变换，转化，改变；兑换	frequency conversion::频率变换¦conversion rate::汇率；折合率；兑换率¦conversion efficiency::换能效率¦energy conversion::能量转换；能量变换¦conversion process::转化过程¦power conversion::n. 功率换算；能量变换¦data conversion::资料转换；数据变换¦conversion ratio::兑换率¦wavelength conversion::波长转换¦coordinate conversion::坐标变换¦feed conversion::饲料转化率；饲料利用¦conversion coating::转化膜，转化层；机外涂布¦photoelectric conversion::n. 光电转换；光电变换¦conversion factor::换算因数；转换因子；变换因数¦conversion coefficient::转换系数；变换系数¦mode conversion::模式变换；波型转换¦conversion equipment::转换设备；转换器¦conversion device::转换装置¦protocol conversion::协议转换¦code conversion::代码转换
dearth	n::缺乏，供应不足	
profane	adj::亵神的，亵渎的¦v::亵渎，玷污	
cluster	n::一串，一簇¦v::群集；丛生	cluster analysis::聚类分析；群集分析¦a cluster of::一群；一组；一串¦cluster sampling::分组取样；类集抽样；巢式抽样法¦star cluster::星团¦hierarchical cluster analysis::层序聚类分析¦server cluster::[计算机]服务器群集¦galaxy cluster::星系团¦gene cluster::基因簇，一组相同或者相似的基因¦open cluster::疏散星团，银河星团¦cluster bomb::子母弹；集束炸弹¦globular cluster::球状星团¦instrument cluster::仪表组；仪表板¦virgo cluster::室女座星系团；处女座星系团¦cluster headache::丛集性头痛；组合性头痛；头痛群¦consonant cluster::辅音连缀；辅音音丛
revolt	v&n::反抗；厌恶	in revolt::反抗；造反¦revolt against::反感；厌恶¦revolt at::厌恶；憎恶
secular	adj::现世的，世俗的；非宗教的	secular variation::长期变化¦secular trend::长期趋势
agenda	n::议事日程	item on the agenda::议程项目¦hidden agenda::隐秘的议程；幕后的动机¦agenda setting::议题设定；议程设定
loop	n::环状物，绳圈，环¦v::绕成圈	closed loop::闭环，闭合环路¦loop control::循环控制¦loop system::环形系统，环状管网；闭合系统¦open loop::开环¦control loop::控制回路，操纵系统¦closed loop system::[计]闭循环系统¦feedback loop::[计]反馈环路，反馈回路¦phase-locked loop::锁相回路¦current loop::[电]电流环路¦hysteresis loop::滞后回线，磁滞回线¦in the loop::在消息圈内；在决策圈内；在参与机密的智囊团内¦closed loop control system::闭环控制系统¦inner loop::内循环；内环路；局部回路¦double loop::双箕；双环路¦phase locked loop::锁相环路，锁相回路¦outer loop::外侧环路；外层循环¦infinite loop::无限循环¦loop filter::回路滤波器¦position loop::位置回路¦single loop::单回路的；单环路
conscientious	adj::认真的，诚心诚意的	
revenge	v::报复，报仇	take revenge on someone::向某人进行报复¦have one's revenge::◎向…报复¦revenge for::为…报复¦take revenge::报仇¦take revenge on::对…实施报复¦be revenged on someone::向某人报仇[亦作revenge oneself on someone]
friction	n::摩擦，不和，倾轧	friction coefficient::磨擦系数¦friction force::摩擦力¦friction factor::摩擦因子；摩擦率¦trade friction::贸易摩擦¦coefficient of friction::摩擦系数；磨擦系数¦internal friction::内摩擦；内耗¦friction welding::摩擦焊接¦sliding friction::滑动摩擦¦friction material::摩擦材料¦dry friction::[物]干摩擦；库伦摩擦¦friction angle::磨擦角¦friction loss::摩擦损失¦skin friction::表面摩擦（表皮摩擦机壳与空气的摩擦力）¦coulomb friction::[力]库仑摩擦¦friction torque::摩擦力矩；摩擦转矩；摩擦扭矩¦rolling friction::滚动摩擦¦friction surface::摩擦表面¦static friction::静摩擦；干摩擦；库仑摩擦¦friction heat::摩擦热¦friction clutch::摩擦离合器
diversion	n::转向；水遣；改道	south-to-north water diversion::南水北调¦diversion tunnel::导流洞；导流隧洞¦river diversion::导流；河流改道¦trade diversion::贸易转移，贸易转向；贸易多样化¦diversion channel::分水渠，泄水渠
check	v&n::检查，核对，控制	
proceed	v::进行；着手	proceed with::继续进行¦proceed from::从...出发¦proceed against::起诉；控诉；提起诉讼
chase	v&n::追逐，追赶	chase after::追逐；追赶¦cut to the chase::开门见山；提到关键问题；转入（或切入）正题¦jpmorgan chase::摩根大通公司¦chase the dragon::吸食海洛因，服用毒品¦chase down::找出¦chase off::五同花；赶走¦chase away::赶走；驱逐¦car chase::飞车追逐；汽车追赶¦in chase of::adj. 追求（追赶）¦wild goose chase::徒劳的搜索；劳而无功的事¦chase up::追上¦chase bank::大通银行¦jpmorgan chase bank::美国摩根大通银行
plea	n::(法律)抗辩；请求，恳求，托词，口实	plea bargaining::n. [法]认罪求情协议¦plea for::恳求，请求
mobilize	vt&vi::动员	
yearn	v::想念，渴望	yearn for::渴望¦yearn towards::向往…；想念
personnel	n::职员，人员，人事	technical personnel::技术人员¦personnel training::人员培训¦management personnel::管理人员；管理人才¦personnel management::人事管理¦qualified personnel::人才；合格人员¦service personnel::保修人员；服务行业人员¦personnel system::人事制度；人事系统¦security personnel::治安保卫人员¦military personnel::军事人员¦administrative personnel::管理人员；行政人员¦managerial personnel::管理人员¦personnel department::人事部门¦maintenance personnel::维修人员¦research personnel::研发人员¦personnel administration::干部（人事）管理¦personnel manager::人事部经理¦ministry of personnel::人事部¦company personnel::公司员工¦personnel recruitment::人员招聘，员工招聘¦trained personnel::专门人才
vice	n::罪恶；不道德行为	vice president::副总统；副主席¦vice versa::反之亦然¦vice director::副处长；副主任；副院长；副会长¦vice chairman::副主席；副会长¦vice premier::副总理¦vice minister::n. 副部长，副总理¦senior vice president::高级副总裁¦executive vice president::执行副总裁¦vice governor::副省长¦standing vice::固定老虎钳¦vice general manager::副总经理¦vice manager::副经理¦vice verse::反之亦然，反过来也一样¦inherent vice::固有缺陷；内在缺陷¦virtue and vice::善与恶¦vice squad::刑警队；警察缉捕队
paddle	n::短桨¦vt&vi::用桨划动	paddle wheel::桨轮；明轮
clutch	v::抓住，攫住¦n::抓，控制；离合器，攫	in the clutch::[口语]在关键时刻¦electromagnetic clutch::电磁离合器¦clutch at::抓住¦friction clutch::摩擦离合器¦automobile clutch::汽车离合器¦clutch disc::离合器片；离合圆盘¦clutch pedal::离合器踏板；离合皮板¦clutch cover::离合器盖¦overrunning clutch::单向离合器；超速离合器¦clutch plate::离合器片，从动盘¦safety clutch::过载离合器，安全离合器¦automatic clutch::自动离合器¦clutch brake::离合器制动器；离合脾；离合器煞车¦clutch assembly::离合器总成¦clutch housing::离合器壳¦clutch disk::离合器
pedestrian	n&a::行人(的)	pedestrian street::步行街；行人街道¦pedestrian crossing::人行横道¦pedestrian mall::步行街¦pedestrian traffic::行人交通¦pedestrian flow::人流；行人流量¦pedestrian bridge::人行天桥¦pedestrian overpass::步行天桥；人行天桥¦pedestrian subway::地下人行道¦pedestrian overcrossing::人行天桥¦pedestrian area::行人专区；步行街
graphic	adj::图解的；书写的；生动的	graphic design::平面造型设计；图示设计¦graphic method::图解法；图示法¦graphic designer::美术设计员¦graphic arts::平面艺术（含版画与刻印等）；形象艺术¦graphic display::图形显示；图形显示器，图形显示系统¦graphic representation::图示法¦graphic symbol::图形符号¦graphic model::立体图¦graphic card::图形卡¦graphic artist::艺术家¦graphic presentation::图示¦graphic equalizer::图示均衡器；图表均衡器¦graphic object::[计]图形对象；图形目标
mercantile	adj::商业的；贸易的	mercantile system::重商主义；重商制度¦chicago mercantile exchange::芝加哥商业交易所
console	n::控制台，仪表板；落地柜¦v::安慰，慰问	game console::游戏机；游戏控制器¦games console::游戏控制台；携带型电脑游戏¦control console::控制（操作）台¦console model::落地式
tremendous	adj::巨大的，极大的；非常的，极好的	
decrease	v&n::减少，减少，减少量	on the decrease::在减少中¦decrease by::减少了…
performance	n::执行；成绩；演出	high performance::高性能；高效能的¦good performance::良好的性能；良好绩效¦performance evaluation::性能评估；性能赋值¦performance management::绩效管理¦system performance::[计]系统性能；系统业绩¦dynamic performance::n. 动态特性¦performance appraisal::成绩评价，业绩评价¦high performance liquid chromatography::高效液相色谱法；高效液相层析¦performance test::特性试验¦economic performance::经济表现；经济实绩¦performance index::性能指标，工作指数¦outstanding performance::出色表现；杰出的表现¦performance analysis::技术性能分析¦product performance::产品性能¦control performance::控制性能¦overall performance::整体性能；总指标¦superior performance::性能优越¦business performance::经营成绩，企业绩效；经营绩效¦operating performance::操作手续；营业实绩¦working performance::工作性能；作业效率
attempt	vt&n::尝试，企图	attempt at::企图，努力；尝试¦attempt to do something::努力...；试图...¦attempt to do::尝试去做¦attempt the impossible::想做做不到的事；缘木求鱼¦make an attempt::试图
naked	adj::裸体的；无遮蔽的	naked eye::n. 肉眼¦naked light::明火；无罩灯
female	n&a::女性(的)，[语]阴性(的)	male and female::雌雄；[化]凹凸面¦female flower::雌花¦female parent::[生]母本¦female friend::女性朋友¦female voice::女声¦female die::下半模；阴模¦female sex hormone::[医]雌激素
raid	v&n::袭击	air raid::空袭
miserable	adj::悲惨的，使人难受的	
innocent	adj::无罪的，无害的，天真的¦n::天真无邪的人	innocent of::无罪的，清白的¦innocent blood::无辜人的血；无辜之血；不死的传说（美国恐怖戏剧爱情片）¦innocent party::无过失之一方；无辜的一方
stack	n::堆；大量；书库	a stack of::一堆；一摞¦protocol stack::协议栈；协定堆¦stack up::堆积；累计；加起来¦stack room::书库¦stack gas::烟道气，废气；烟囱废气¦call stack::调用栈¦stack up against::争胜负；较量¦stack overflow::栈溢出；堆叠溢位；堆栈上限溢位¦stack pointer::栈指针；栈指示器；堆栈指示字¦stack trace::堆叠追踪；堆栈踪迹¦chimney stack::总合烟囱，仅一通道之烟囱¦stack effect::烟囱效应¦stack frame::堆栈结构；栈框架¦flare stack::火把烟囱
humble	adj::谦卑的，恭顺的，简陋的¦v::使卑下，贬抑	
shamble	v::蹒跚，拖沓	
ribbon	n::缎带，丝带，带状物	red ribbon::n. 红丝带¦blue ribbon::蓝带程序；最高的荣誉；一流的¦silk ribbon::丝带；绸带¦cut the ribbon::剪彩¦satin ribbon::缎带¦green ribbon::绿丝带，中国精神卫生标志¦steel ribbon::钢条¦ribbon cable::[计]带状电缆¦jacquard ribbon::n. 提花带¦typewriter ribbon::打字带；打字机色带¦flat ribbon::扁带；平带
tyrannical	adj::暴君的，专制的	
aerial	adj::空气的；空中的 (无线电)天线	aerial photography::n. 空中摄影；空中照相术¦aerial survey::航空测量，空中测量；航空摄影测量；航空调查¦aerial photograph::航空照片；航摄像片¦aerial view::鸟瞰图；航测图；俯瞰图¦aerial camera::航空用照相机；航空摄影机¦aerial photogrammetry::航空摄影测量；航拍测量法¦aerial part::地上部分¦aerial ropeway::高架索道；架空索道；架空死
astronomy	n::天文学	radio astronomy::n. 射电天文学¦physics and astronomy::物理学和天文学¦national radio astronomy observatory::国立射电天文台
segment	n::切片，部分；段，节	market segment::细分市场；市场区隔；分块市场¦line segment::n. 线段¦soft segment::软链段，柔性链段¦posterior segment::后段¦lower segment::下段；下节¦segment length::段长¦code segment::代码段；程序段，程序码区段¦short segment::短音段
downtown	a&ad::在城市的商业区	downtown area::市中心¦go downtown::到市区¦downtown manhattan::曼哈顿闹市区（纽约市中心商业地带）¦downtown business district::市中心商业区；城市商业区
defraud	v::欺骗，欺诈	
improvise	v::即席创作，临时凑成	
oppress	v::压迫，压制；压抑	
flabby	adj::(肌肉)不结实的；软弱的	
essay	n::文章，小品文，随笔	essay test::n. 申论方式测验
racket	n::吵闹声；球拍	tennis racket::网球拍；网坛骗局¦badminton racket::羽毛球拍
flaw	n::缺点，瑕疵	flaw detection::探伤检验；缺陷检验¦flaw detector::探伤仪；裂痕探测仪¦ultrasonic flaw detector::[工]超声波探伤仪¦flaw echo::缺陷回波；缺陷的回波信号；缺陷回声¦nondestructive flaw detection::无损探伤¦security flaw::安全漏洞；安全性缺陷
nominate	v::提名	
syllabus	n::教学大纲	
stiff	adj::坚硬的；费劲的；不易弯的	stiff with::[俚语]…供应充足的¦stiff neck::脖子发僵，斜颈；顽固之人¦stiff upper lip::坚定沉着；不露感情¦stiff resistance::顽强抵抗¦stiff collar::硬领
toxic	adj::有毒的，中毒的	toxic gas::n. 毒气¦toxic effect::毒性作用；毒效¦highly toxic::剧毒；高毒性的¦toxic chemicals::有毒化学品；有毒化学物质¦toxic waste::有毒废物，毒废料¦toxic substance::有毒物¦toxic reaction::毒性反应；中毒反应¦toxic material::有毒物质¦toxic shock syndrome::中毒性休克综合症¦toxic agent::毒剂；有毒媒介；毒性药物
rampant	adj::(指植物)繁茂的；蔓生的；不能控制的	run rampant::猖狂；泛滥成灾
propulsion	n::推进，推进力	
telling	adj::有效的；有力的	there is no telling::难以预料；很难说
throughout	prep::遍及	
highlight	n::光线最强处，最突出部分	
devise	v::设计，想出	
wield	v::使用，行使	wield power::行使权力
enormous	adj::巨大的，庞大的	
fade	v::(使)褪色，逐渐消失	fade away::逐渐消失¦fade out::v. 淡出；渐弱¦fade in::淡入；渐显¦fade from::从…中消逝¦fade into::渐渐融入于
exhilarate	v::使振奋，使高兴	
slum	n::平民窟; 陋巷	
peer	n::同等；同辈¦v::凝视	peer review::同业互查¦peer to peer::对等的；[计]端对端¦peer pressure::来自同辈的压力¦peer group::同辈群体；同龄群体¦peer at::凝视
slogan	n::标语，口号	
transaction	n::办理，处理；执行；事务，事项，交易	transaction cost::交易成本，交易费用¦transaction processing::[计]事务处理¦business transaction::商业交易；[经]经济业务¦transaction volume::交易量¦market transaction::市场交易¦transaction data::事务数据¦financial transaction::金融业务；财务交易，财务事项¦connected transaction::关联交易¦transaction tax::交易税¦transaction services::事务处理服务；事务处理业务¦exchange transaction::外汇交易¦cash transaction::现金交易¦commercial transaction::买卖，交易；商业行为¦credit transaction::n. 信贷交易¦transaction value::成交价格；交易价¦spot transaction::现货交易¦futures transaction::期货交易；先物取引¦transaction processing system::[计]事务处理系统¦sales transaction::交易；销售事务¦related party transaction::关联方交易；集团内交易；内幕交易
incorporate	v::结合，合并，组成公司	incorporate with::合并；混合
discard	v::抛弃，遗弃	into the discard::废弃不用；被遗弃
grope	v::暗中摸索	grope for::v. 探索
triple	adj::三部分合成的，三方的¦vt&vi::增至三倍	triple jump::三级跳远¦triple integral::三重积分¦triple point::三相点¦triple threat::（美）三面手¦triple junction::三联点；三重接头；三向连接构造¦triple a::三A（由三个表现出众的草坪型高羊茅品种科学配比而成，是市场上很受欢迎的高羊茅混播组合）；三A级；最高信用评级；美国汽车协会（AAA，American Automobile Association）¦triple crown::n. 三重冠¦triple prism::三棱镜¦triple time::n. [音]三拍子¦triple play::三杀（使攻方三个球员同时被杀出局）
variety	n::多样化；种；变种；综艺演出	variety of::各种各样的¦product variety::货品种类，产品种类；产品多样化；积簇¦a great variety of::各种各样的；大量的¦variety show::综艺节目；杂耍表演¦infinite variety::多种多样¦variety store::杂货店
detrimental	adj::有害的，不利的	
hitherto	adv::到目前为止，迄今	
indispensable	adj::必不可少的，必需的	
porcelain	n::瓷器	pottery and porcelain::陶瓷；陶瓷器¦blue and white porcelain::青花瓷；青花瓷器¦red porcelain::紫砂¦porcelain tile::瓷砖¦porcelain ware::瓷器¦porcelain clay::n. 瓷土¦porcelain enamel::搪瓷；瓷釉¦porcelain insulator::瓷绝缘体，瓷隔电子¦ancient porcelain::古瓷¦porcelain crucible::瓷坩埚¦glazed porcelain::玻璃瓷¦porcelain cup::瓷杯，瓷盆；瓷盘绝缘子¦porcelain dish::瓷皿，瓷蒸发皿¦household porcelain::日用瓷
mania	n::疯狂；躁狂症，狂热，癖好	
neurosis	n::神经官能病，精神性神经病	anxiety neurosis::焦虑性神经机能病
dot	n::小点，小圆点¦v::加上小点，散布于，点缀	on the dot::正点，准时地¦dot with::用…点缀于；散布¦dot matrix::点阵¦quantum dot::n. [物]量子点¦dot product::点积；标量积¦black dot::黑点；黑斑¦the year dot::[英国口语]很久以前，很久很久以前(字面意义：公元0年)¦polka dot::圆点花样¦dot size::点尺寸；圆点大小；纲点尺寸¦dot matrix printer::点阵打印机¦dot pattern::光点图形
utterly	adv::完全地，十足地	
evaporate	v::使蒸发，使脱水，消失	
quest	n::寻找，追求	quest for::追求；探索，设法找到¦in quest of::探寻，寻求；为了追求……
coarse	adj::粗(糙)的; 粗俗的	coarse aggregate::粗集料；粗骨料¦coarse grain::n. 谷粒；粗晶粒；饲料用谷类¦coarse grained::粗纹理的；粗颗粒的¦coarse sand::粗砂（直径为0.2至2.0毫米）¦coarse grinding::粗粉碎，粗磨¦coarse particle::粗颗粒；粗分子；（颜料）粗粒子¦coarse powder::粗粉¦coarse coal::大块煤¦coarse mesh::粗网格；粗筛¦coarse cloth::粗织物¦coarse filter::粗滤器初滤器；粗滤池；粗过滤器¦coarse silt::粗粉土；粗粉砂¦coarse screen::粗孔筛；粗格栅¦coarse screening::粗筛选
resume	v::重新开始；继续；重新占用	personal resume::个人简历
integrity	n::诚实，正直	territorial integrity::领土的完整¦moral integrity::节操；气节¦data integrity::数据完整性¦structural integrity::结构完整性¦business integrity::商业信誉¦personal integrity::正直的人品；个人诚信¦surface integrity::表面完整性；表面质量¦integrity test::完整性测试；无损试验¦referential integrity::参照完整性；引用完整性
contention	n::竞争，斗争；争论	bone of contention::争论的焦点；争端的原因¦contention window::[通讯]竞争窗口¦resource contention::资源冲突；资源竞争
universal	adj::全体的，普遍的；全球的	universal joint::万向节；万向接头¦universal law::普遍规律；普遍法则¦universal suffrage::普选权¦universal language::通用语言；世界语；人人都理解的事物¦universal love::普遍的爱；泛爱（基督教）¦universal serial bus::通用串行总线¦universal gravitation::万有引力¦universal access::普及高等教育；通用存取¦universal education::普及教育；全民教育¦universal time::世界时间；格林威治时；国际标准时间¦universal testing machine::n. 万能试验机¦universal music::环球音乐集团（公司名称）¦universal coupling::万向轴节（等于universal joint）¦universal shaft::万向轴¦universal machine::通用机械；万能工作机械¦universal knowledge::普遍的知识，常识¦universal rule::普遍性规律¦universal postal union::万国邮政联盟¦universal genius::宇宙级天才；全能之才¦universal grammar::普遍文法；通用文法
opponent	n::对手，敌手，反对者	
solar	adj::太阳的	solar energy::太阳能¦solar system::太阳系¦solar power::太阳能；太阳能动力¦solar cell::太阳能电池¦solar radiation::太阳辐射；日光照射¦solar water heater::太阳能热水器¦solar eclipse::n. ［天］日食¦solar panel::太阳电池板¦total solar eclipse::日全食¦solar collector::太阳能集热器；太阳能收集器；太阳能聚集器¦solar battery::太阳能电池¦solar heat::太阳热¦solar activity::太阳活动；太阳活动性¦solar wind::太阳风（太阳表面放射的离子组成的离子流）¦solar heating::太阳能供暖，太阳能加热¦solar light::太阳能灯¦solar module::太阳能电池组件；太阳能模组¦silicon solar cell::硅太阳能电池¦solar cycle::太阳（活动）周期¦application of solar energy::太阳能的利用
consist	v::组成; 存在	consist of::由…构成¦consist in::在于；存在于¦consist with::符合；与…一致
reptile	n::爬行动物；爬虫	
headstrong	adj::任性的；顽固的	
complicated	adj::结构复杂的；困难的	complicated structure::复式构造¦complicated fault::复杂断层¦be complicated by::并发
deprive	v::剥夺，使丧失	deprive of::vt. 剥夺；失去
helicopter	n::直升飞机	
grief	n::悲伤，悲痛	come to grief::遭难，失败¦good grief::哎呀！天哪！（表示诧异， 吃惊， 恐惧的感叹语）
commission	n::委任；佣金；军事任职；考察团¦v::委任	arbitration commission::[经]仲裁委员会¦on commission::抽取佣金；受托代销；被授权¦european commission::欧洲委员会¦planning commission::计划委员会；规划委员会¦military commission::特别军事法庭¦china banking regulatory commission::中国银行业监督管理委员会¦exchange commission::兑换佣金¦securities and exchange commission::（美）证券交易委员会¦out of commission::损坏的；退役的；不能使用的¦federal communications commission::联邦通信委员会¦royal commission::（英国）皇家专门调查委员会¦state development planning commission::国家发展计划委员会¦federal trade commission::联邦贸易委员会，联邦商务委员会（FTC）¦in commission::可使用；服现役中¦foreign trade arbitration commission::对外贸易仲裁委员会¦sales commission::销售佣金¦high commission::高级专员公署或辖区；特派使节的职位；特派使节团¦maritime arbitration commission::海事仲裁委员会¦electoral commission::选举委员会¦discipline inspection commission::纪委
rehabilitate	v::恢复地位；使残疾者恢复正常的生活	
sheet	n::被单；薄板	sheet metal::金属薄片¦balance sheet::资产负债表¦steel sheet::钢片；薄钢板¦a blank sheet::一张白纸；纯洁的心灵¦a sheet of::一张¦flow sheet::流程图；作业图（等于flowchart）¦data sheet::一览表；记录表；数据单表¦metal sheet::金属板，金属片¦in sheets::成薄板；成薄片¦sheet forming::纸幅成形；全张成型¦tube sheet::管板¦plastic sheet::塑料片材；薄片；塑料薄膜¦thin sheet::薄片，薄钢板；钢皮¦aluminum sheet::铝片¦sheet steel::钢板，薄钢板¦sheet metal parts::板料冲压；板金件；冲件¦answer sheet::n. 答案纸¦style sheet::样式表¦ice sheet::[地]冰原；冰盖；冰盾¦a sheet of paper::一张纸
port	n::港口，舱门，舱口；(船、飞机)左舷	at the port::作持枪的姿势¦in port::在港内¦serial port::[计]串行端口；序列埠¦port city::n. 港口城市¦port area::码头区；港口区；喷口面积¦port of destination::目的港¦loading port::装货港口¦container port::n. 货柜港口¦port number::端口号；通道数¦free port::自由港；无税港口¦parallel port::[计]并行端口¦port of loading::装货港口¦port of shipment::装货港；出发港；起运港¦port authority::港务局¦fishing port::渔港¦usb port::通用串行总线接口；通用序列连接埠¦output port::输出端；出油口¦port of discharge::卸货港¦sea port::海港¦port office::港务局
outline	n::外形，轮廓；大纲，纲要	in outline::◎画…的草图(或轮廓)¦general outline::大纲，概要¦outline form::外形；洞缘形¦outline view::n. 大纲视图¦outline map::略图¦outline plan::纲要计划¦outline drawing::外形图；轮廓图¦outline dimension::外形尺寸
eject	v::驱逐，排出	
opportunity	n::机会	seize the opportunity::抓住机遇，抓住机会¦rare opportunity::稀有机会，难得机会¦equal opportunity::机会均等¦opportunity cost::机会成本¦business opportunity::商业机会¦take the opportunity::利用机会，抓住机会¦golden opportunity::绝好的机会¦unique opportunity::唯一机会；极难得的机会¦employment opportunity::就业机会¦investment opportunity::投资机会¦job opportunity::工作机会，就业机会¦opportunity to see::广告能见机率；看见机会¦economic opportunity::经济机会¦land of opportunity::机会之地；机遇之地¦at the first opportunity::一有机会；尽快¦opportunity to perform::实践的机会；表现机会¦photo opportunity::拍照机会；（名人政要等）接受媒体拍照的时间¦opportunity loss::机会损失¦equal employment opportunity::同等就业机会，均等就业机会¦at the earliest opportunity::一有机会；尽快
savage	adj::未开化的；凶猛的	
approximate	adj::近似的，约略的¦v::接近，近似	approximate solution::[计]近似解¦approximate calculation::近似计算¦approximate method::近似法¦approximate formula::近似公式；近真公式¦approximate value::近似值，近似价值；概算价值¦approximate expression::近似式¦approximate analysis::n. 近似分析¦approximate number::近似数，近似值；大概的数目¦approximate treatment::近似处理；近似计算
gesture	n&vi::姿势，手势；表示	gesture recognition::手势识别¦make a gesture::做手势，表示；做一个手势
cape	n::岬；海角	cape town::开普敦（等于Capetown，南非西南部港市）¦cape canaveral::卡纳维拉尔角（位于美国）¦cape horn::合恩角¦cape of good hope::好望角（南非）¦cape jasmine fruit::栀子；栀子粉末¦cape verde islands::n. 佛得角群岛（大西洋岛国）
commute	v::交换，兑换；减轻；经常往来	
hazardous	adj::冒险的	hazardous waste::危险废物；有害垃圾¦hazardous material::有害物质；危险品¦hazardous area::危险区；危险场地¦hazardous substance::有害物质；危险物品¦hazardous goods::危险品¦hazardous location::危险场地；危险地段
