internship	n::<美>实习医师	internship programs::实习计划；实习课程
augment	v::增加；增大¦n::增加；增大	
August	adj::威严的；令人敬畏的¦n::八月（简写为Aug）	
aunt	n::阿姨；姑妈；伯母；舅妈	paternal aunt::姑母¦agony aunt::（英）问答专栏阿姨；心理咨询阿姨¦great aunt::叔祖母
aura	n::光环；气氛；（中风等的）预兆；气味	devotion aura::虔诚光环；专注光环；热血灵光
auspicious	adj::吉兆的，吉利的；幸运的	auspicious day::好日子；吉日良辰；黄道吉日¦auspicious omen::吉祥；好兆头
austere	adj::严峻的；简朴的；苦行的；无装饰的	
austerity	n::紧缩；朴素；苦行；严厉	
Australian	adj::澳大利亚的，澳大利亚人的¦n::澳大利亚人	australian national university::澳大利亚国立大学¦australian dollar::澳币¦australian shepherd::n. 澳大利亚牧羊犬；澳洲牧羊犬¦australian football::澳式足球¦australian aborigine::澳大利亚原住民
authentic	adj::真正的，真实的；可信的	
author	n::作者；作家；创始人¦v::创作出版	original author::原著者¦main author::主要作者¦corresponding author::n. 通讯作者；联系人¦other author::其他作者
authorise	v::授权；批准；允许；委任（等于authorize）	
authoritarian	adj::独裁主义的；权力主义的¦n::权力主义者；独裁主义者	
authoritative	adj::有权威的；命令式的；当局的	authoritative information::官方消息¦authoritative source::权威人士；权威来源
authority	n::权威；权力；当局	competent authority::[法]主管当局，主管部门¦authority on::有关…的权威；…的专家¦local authority::地方当局；地方政权¦administrative authority::行政当局¦tax authority::税务机关¦public authority::公共机关；政府当局¦in authority::有权；持有权力的地位¦judicial authority::司法机关¦legal authority::法定权威¦central authority::中央集权¦monetary authority::货币当局；金融管理专员¦port authority::港务局¦approval authority::批准机关；核准权¦regulatory authority::管理机构；制定规章的机构；执行机构¦aviation authority::民航当局¦have authority::管理；有管辖权¦limits of authority::税收管理权和权限，权限¦by the authority of::以…的权力；得到…许可¦certificate authority::凭证管理中心；认证授权¦authority control::权限控制；权威控制
autobiographic	adj::自传的；自传体的；自传作家的	
autobiography	n::自传；自传文学	
autocrat	n::独裁者，专制君主；独断独行的人	
autocratic	adj::专制的；独裁的，专横的	
autograph	n::亲笔，手稿；亲笔签名¦v::亲笔签名于…；亲笔书写	
automate	v::使自动化，使自动操作	
automatic	adj::自动的；无意识的；必然的¦n::自动机械；自动手枪	automatic control::自动控制¦automatic control system::自动控制系统¦fully automatic::全自动的¦automatic system::自动系统；自动装置¦full automatic::全自动的¦automatic welding::自动焊接¦automatic transmission::自动换档；自动变速装置；自动驾驶¦automatic detection::自动检测¦automatic machine::自动机床；自动机械¦automatic testing::自动测试；自动校验；自动检验¦automatic test system::自动测试系统¦automatic equipment::自动设备；自动装置¦automatic operation::自动操作；自动运算¦automatic tracking::自动跟踪；自动跟踪仪¦automatic door::自动门¦automatic inspection::自动检查；自动检验¦automatic feed::自动进料¦automatic control theory::自动控制理论¦automatic switching::自动转换；自动开关¦automatic device::自动装置
automation	n::自动化；自动操作	industrial automation::工业自动化¦office automation::办公自动化¦automation equipment::自动化设备；自动化装置¦degree of automation::自动化程度¦process automation::过程自动化；工序自动化¦building automation::建筑自动化¦factory automation::工厂自动化¦design automation::设计自动化¦production automation::生产自动化¦test automation::测试自动化；自动测试¦full automation::完全自动化¦home automation::[计]家庭自动化¦department of automation::自动化系¦flexible automation::灵活自动化
automobile	n::汽车¦v::驾驶汽车	automobile industry::汽车产业，汽车业；汽车工业¦automobile engine::汽车发动机引擎¦automobile insurance::汽车保险¦automobile factory::汽车厂¦electric automobile::电动汽车¦automobile emission::汽车尾气排放¦automobile manufacturer::汽车制造厂¦automobile clutch::汽车离合器¦automobile tire::汽车轮胎；汽车车胎¦automobile part::汽车零部件¦automobile club::n. 汽车俱乐部¦automobile plant::汽车工厂¦automobile crane::n. 汽车起重机
autonomous	adj::自治的；自主的；自发的	autonomous region::自治区¦autonomous county::自治县¦autonomous prefecture::自治州¦autonomous system::自治系统；独立系统¦autonomous operation::独立作战；自仲作
autonomy	n::自治，自治权	
autopsy	n::验尸；[病理][特医] 尸体解剖；[病理][特医] 尸体剖检	
autumn	n::秋天；成熟期；渐衰期，凋落期¦adj::秋天的，秋季的	in autumn::在秋天¦spring and autumn::春秋¦spring and autumn period::春秋时代¦autumn leaves::秋天的落叶¦autumn wind::秋风¦late autumn::深秋；晚秋；秋日和¦spring and autumn annals::春秋（中国史书）
auxiliary	n::助动词；辅助者，辅助物；附属机构¦adj::辅助的；副的；附加的	auxiliary equipment::辅助设备，附属设备；备用设备¦auxiliary power::厂用电力¦auxiliary system::辅助系统¦auxiliary material::辅助材料¦auxiliary shaft::副轴；辅助竖井¦auxiliary function::辅助功能；辅助函数¦auxiliary device::辅助装置，辅助设备；附属装置¦auxiliary machinery::辅助机器¦auxiliary machine::辅助机械；备用机器¦auxiliary information::辅助信息¦auxiliary service::附属服务设备；附属服务¦auxiliary verb::助动词¦auxiliary power supply::自备供电设备¦auxiliary engine::辅助动力机¦auxiliary circuit::辅助电路¦textile auxiliary::纺织助剂¦auxiliary storage::辅助存储器（等于auxiliary memory）¦auxiliary power unit (apu)::辅助动力单元¦auxiliary operation::辅助操作¦auxiliary pump::辅助泵
avail	n::效用，利益¦v::有益于，有益于；使对某人有利。	to no avail::无效，完全无用¦not avail someone::对某人不起作用¦of no avail::无效；不起作用¦avail of::利用¦without avail::无用；徒劳地¦of avail::有效，有用处
availability	n::可用性；有效性；实用性	water availability::水有效性；水资源可利用量¦availability factor::可利用率；有效性因素¦plant availability::设备利用率¦general availability::一般利用率¦availability of raw materials::原材料可得性
available	adj::可获得的；可购得的；可找到的；有空的	available for::可用于…的；对…有效的；能参加…的¦available on::仅在…有效（付款）¦available from::可向…购买¦available with::向（指定银行）押汇¦available resources::可利用的资源¦commercially available::市场上可买到的¦available data::现有数据；可用数据¦available information::可利用信息¦make available::使有用；使可用到¦available water::有效水分¦space available::可用空间¦available energy::有效能；可用能¦available time::可用时间；有效时间¦available funds::可用基金；可动用的资金¦available memory::可用内存¦available capacity::有效容积；可用功率¦available material::可用物料；可用材料；良品可使用¦available work::[物]可用功，可利用工时¦available light::[美术][摄影术]自然光线
avalanche	n::雪崩¦v::雪崩	avalanche photodiode::雪崩光电二极管
avenge	v::替…报仇	
avenue	n::大街；林荫大道；[比喻](达到某物的)途径，手段，方法，渠道	fifth avenue::（美国纽约的）第五大道¦park avenue::派克大街（美国纽约市的豪华大街街名，意译为公园大道或林荫大道）；林荫大道（别克汽车的旗舰品牌）¦madison avenue::美国广告业；美国广告业作风；麦德逊大道（美国广告业中心）¦pennsylvania avenue::宾夕法尼亚大道（在美国首都华盛顿）¦avenue of stars::星光大道¦seventh avenue::第七大道¦avenue to success::成功之道
average	n::平均；平均数；海损¦adj::平均的；普通的；通常的¦v::算出…的平均数；将…平均分配；使…平衡	an average of::平均是…¦an average::一般说来；平均起来¦on average::平均；普通，通常¦average level::平均水平，平均能级¦average price::平均价格¦moving average::移动平均数¦average temperature::平均温度¦average age::平均年龄¦above the average::在一般水平(或平均数)以上¦average value::平均值¦on the average::平均而言；一般说来¦below the average::在一般水平(或平均数)以下¦weighted average::[数]加权平均数¦annual average::年平均；累年平均¦average number::平均数，平均值¦above average::平均以上；在一般水准以上¦average cost::[经]平均成本；[计]平均代价¦average rate::平均价格；平均汇率¦average power::平均功率¦dow jones industrial average::道琼斯工业平均指数
aversion	n::厌恶；讨厌的人	risk aversion::风险规避；厌恶风险¦aversion therapy::[心理]厌恶疗法
avert	v::避免，防止；转移	
aviation	n::航空；飞行术；飞机制造业	civil aviation::民用航空¦aviation industry::航空工业；飞机制造业¦aviation safety::航空安全，飞行安全¦aviation authority::民航当局¦general aviation::通用航空；专用航空；普通航空业¦aviation kerosene::喷气机用煤油，航空煤油¦aviation fuel::航空燃料¦commercial aviation::商用航空事业¦federal aviation administration::[运输工程]联邦航空管理局¦international civil aviation organization::国际民航组织¦aviation accident::航空事故；飞机失事；飞行事故¦aviation insurance::航空保险¦aviation medicine::n. 航空医学；空间医学
avid	adj::渴望的，贪婪的；热心的¦n::(Avid)人名；(俄)阿维德	
avoid	v::避免；避开，躲避；消除	avoid doing::避免做某事；逃避…
await	v::等候，等待；期待	
awake	v::觉醒，意识到；醒来；被唤起¦adj::醒着的	stay awake::保持清醒；保持醒着的¦wide awake::清醒的；机警的¦awake from::从…中醒来，察觉
awaken	v::唤醒；唤起；使…意识到	
award	v::授予；判定¦n::奖品；判决	academy award::奥斯卡金像奖；学院奖（美国电影艺术科学院颁发的年度奖项）¦award ceremony::颁奖仪式，颁奖典礼¦arbitral award::仲裁裁决；公断书¦arbitration award::仲裁裁决；公断书¦special award::特别奖¦contract award::合同判授¦national book award::（美）国家图书奖¦final award::终局性仲裁裁决¦grammy award::格莱美奖（美国音乐奖项）
aware	adj::意识到的；知道的；有…方面知识的；懂世故的¦n::(Aware)人名；(阿拉伯、索)阿瓦雷	aware of::意识到，知道¦become aware of::知道；发觉¦acutely aware::清醒地看到
awareness	n::意识，认识；明白，知道	awareness of::意识到¦environmental awareness::环境意识；环保意识¦brand awareness::品牌意识，商标意识；品牌知名度¦risk awareness::风险意识¦strengthen the awareness::提高意识；强化意识¦self-protection awareness::自我保护意识¦global awareness::全球意识；完整的意识，知觉
away	adv::离去，离开；在远处	away from::远离，离开；避开痛苦¦far away::遥远的¦right away::立刻¦away with::◎把(物)拿走；去掉；把(人)带走¦far away from::远离；离…远¦go away::走开¦straight away::马上；即刻¦do away with::v. 废除，去掉；弄死¦away from her::柳暗花明（电影名称）¦far and away::无疑地；显然地¦away from it all::远离尘嚣¦out and away::大大地，远远地
awe	v::使敬畏；使畏怯¦n::敬畏	stand in awe of::敬畏
awesome	adj::令人敬畏的；使人畏惧的；可怕的；极好的	
awful	adj::可怕的；极坏的；使人敬畏的	an awful lot::◎经常¦an awful lot of::许多，大量的¦awful weather::气候恶劣；非常糟糕的天气
awfully	adv::可怕地；十分；非常；很	
awkward	adj::尴尬的；笨拙的；棘手的；不合适的	
awkwardly	adv::笨拙地；无技巧地	
axe	n::斧¦v::削减；用斧砍	get the axe::被开除¦an axe to grind::另有所图；有不同意见；别有用心¦ice axe::冰镐
axiom	n::[数] 公理；格言；自明之理	
axis	n::轴；轴线；轴心国	principal axis::[物]主轴¦central axis::中心轴；中央轴¦vertical axis::垂直轴；纵轴¦optical axis::光轴；视轴¦horizontal axis::水平轴，横轴¦long axis::长轴¦rotation axis::旋转轴¦major axis::长轴；主轴；长径；强轴¦longitudinal axis::纵轴¦coordinate axis::坐标轴；座标轴¦axis of evil::邪恶轴心¦axis of rotation::旋转轴；转动轴¦x axis::n. 横坐标¦minor axis::短轴；短径；弱轴¦time axis::时间轴；极轴¦neutral axis::n. 中性轴¦optic axis::n. 光轴，眼轴；视轴¦symmetry axis::对称轴¦fiber axis::纤维轴¦real axis::实轴
axle	n::车轴；[车辆] 轮轴	rear axle::后桥；后轴¦axle load::轴负载¦front axle::前轴，前桥；前轮轴¦axle housing::轴套；轴罩；轴壳¦driving axle::主动轴，驱动轴¦drive axle::驱动桥；传动轴¦axle shaft::半轴；驱动轴；车轴¦axle center::轴心¦axle bearing::轴承¦axle box::轴箱¦wheel axle::轮轴¦axle wire::中轴线¦bent axle::曲轴¦rear axle housing::后桥壳；后轴套；后轴壳¦axle weight::轴荷¦wheel and axle::轮轴¦axle journal::轴颈¦steering axle::转向轴，操纵杆；转向桥¦axle steel::车轴钢；轴钢¦axle neck::轴颈
babble	v::喋喋不休；呀呀学语；作潺潺声¦n::含糊不清的话；胡言乱语；潺潺声	
baby	n::婴儿，婴孩；孩子气的人¦v::纵容，娇纵；把……当婴儿般对待¦adj::婴儿的；幼小的	baby girl::女婴；小女孩¦have a baby::生孩子¦baby boy::男婴；小男孩¦baby boom::婴儿潮；生育高峰¦baby food::婴儿食品；儿童食品¦baby formula::婴幼儿配方奶粉；婴幼儿配方¦baby carriage::婴儿车；童车（等于baby buggy，carriage）¦baby stroller::婴儿推车¦come on baby::宝宝总动员（一款韩国街机游戏）；来吧宝贝儿¦baby teeth::乳牙¦baby blue::n. 淡蓝色¦baby shower::宝宝派对（在孩子出生前举办的特殊派对）¦baby face::n. 娃娃脸¦baby talk::儿语¦baby sitter::临时替人看小孩者；照顾婴孩者¦baby carrier::童车；婴儿背带；轻型航空母舰¦baby car::微型小客车¦baby wear::婴儿装¦test-tube baby::n. [医]试管婴儿¦tiny baby::个儿小的婴儿
bachelor	n::学士；单身汉；（尚未交配的）小雄兽	bachelor degree::学士学位；大学本科学位证书¦bachelor of science::理学学士¦bachelor party::（美）单身汉舞会（尤指婚礼前夕为新郎举行的）¦bachelor of law::法学士；法律学士¦bachelor of art::文科学士¦bachelor of engineering::工程学士
back	n::后面；背部；靠背；足球等的后卫；书报等的末尾¦v::支持；后退；背书；下赌注¦adv::以前；向后地；来回地；上溯；回来；回原处¦adj::后面的；过去的；拖欠的	go back::回去；追溯¦back in::[体育]后内刃¦back of::在…后面；在…背后¦back on::背靠¦back into::倒车撞上（某物）¦in the back::在后面¦at the back::在后面；在…后部¦back and forth::反复地，来回地¦back up::v. 支持，援助；（资料）备份；倒退；裱¦way back::好久以前，老早就¦on the back of::在…之外，在…后面¦at the back of::在…背后，支持；在…的后面；在…的后部¦back down::放弃；让步¦in the back of::在……后面；在……之后¦back out::退出；收回¦on my back::在背上；找我麻烦，挑我毛病¦on one's back::卧病在床¦back off::后退；软化；减轻；卸下¦back to back::背靠背；连续，紧接¦go back on::违背；背弃
backbiting	n::诽谤；中伤¦v::背后诽谤；中伤（backbite的ing形式）	
backbone	n::支柱；主干网；决心，毅力；脊椎	to the backbone::完完全全；彻头彻尾¦backbone network::中枢网络，骨干网¦backbone enterprise::骨干企业
backbreaking	adj::非常辛劳的；费力的	
backdate	v::回溯，追溯；倒填日期	
backdrop	n::背景；背景幕；交流声	
backfire	v::放出逆火；预先放火；产生出乎意料及事与愿违的结果¦n::逆火，回火	
background	n::背景；隐蔽的位置¦v::作…的背景¦adj::背景的；发布背景材料的	in the background::在后面，在幕后¦cultural background::文化背景¦educational background::学历；教育背景；教育程度¦social background::n. 社会背景¦background music::背景音乐；[电]陪衬音乐¦background information::背景资料；背景知识¦education background::学历；教育背景¦family background::家庭背景¦background noise::背景噪声¦background color::背景颜色¦academic background::学术背景；学历；教育背景¦background value::背景值¦background image::背景影像¦for background::（美）供内部参考¦white background::白色背景；比色板；比色纸¦on background::[美国、加拿大英语]仅供参考(不作援引)¦business background::工作经历；企业背景；事情履历¦political background::政治背景¦background radiation::背景辐射；[医]本底辐射¦background check::背景调查
backhand	n::反手拍；反手抽击¦v::反手抽击¦adv::以反手；用手背¦adj::反手的（网球等运动中的动作）	
backside	n::背部；后方；臀部	
backup	n::支持；后援；阻塞¦adj::支持的；候补的¦vt::做备份	backup and recovery::备份与恢复¦backup and restore::备份与还原¦backup system::备用系统；后备系统¦backup roll::支承辊；背辊；压辊¦backup copy::副本；备份件¦backup file::备份文件¦backup software::文件备份¦backup device::备份设备；备用设备¦full backup::全部备份¦system backup::系统备份；系统后备¦backup storage::n. 后备存储器¦file backup::文件备份；档案备份
backward	adj::向后的；反向的；发展迟缓的¦adv::向后地；相反地	backward area::落后地区¦step backward::倒退；返回；逐帧倒放¦backward country::经济落后国家¦backward extrusion::反挤压；反向挤压；逆向挤制¦backward compatibility::向后兼容；反向兼容性¦backward position::反转位置，回程位置¦backward integration::向后整合¦backward movement::反向运动¦backward wave oscillator::逆波振荡器¦backward somersault::倒毛跟斗；倒筋斗跳；后空翻
backwards	adv::倒；向后；逆	backwards and forwards::来回地
backwater	n::回水；死水；停滞不进的状态或地方	
backyard	n::后院；后庭	
bacon	n::咸肉；腌肉；熏猪肉	francis bacon::弗朗西斯·培根 英国哲学家¦bring home the bacon::成功；谋生
bacteria	n::[微] 细菌	lactic acid bacteria::乳酸菌¦pathogenic bacteria::致病菌；病原菌¦photosynthetic bacteria::光合细菌¦harmful bacteria::有害细菌；病菌¦anaerobic bacteria::厌氧细菌，厌氧菌；嫌气细菌¦sulfate reducing bacteria::硫酸盐还原菌¦coliform bacteria::大肠型细菌¦aerobic bacteria::需氧细菌；好氧细菌¦heterotrophic bacteria::异养细菌¦acetic acid bacteria::醋酸菌；乙酸菌；醋酸细菌¦denitrifying bacteria::反硝化细菌¦intestinal bacteria::肠道细菌¦nitrifying bacteria::硝化细菌；硝化菌¦methane bacteria::甲烷菌；甲烷细菌¦iron bacteria::铁细菌¦gram negative bacteria::革兰氏阴性细菌¦symbiotic bacteria::共生菌¦sulphate reducing bacteria::硫酸还原物
bad	adj::坏的；严重的；劣质的¦n::坏事；坏人¦adv::很，非常；坏地；邪恶地	in bad::倒霉；失宠¦bad news::n. 坏消息；令人讨厌的人；倒霉的事¦bad weather::恶劣的天气¦bad at::不善于¦to the bad::◎亏损；负债，欠账；吃亏¦bad luck::运气不好，坏运气；噩运¦bad thing::坏东西，\t坏事¦bad habit::坏习惯¦go bad::变酸；开始腐坏¦bad mood::坏心情，坏情绪¦bad influence::坏影响¦feel bad::不舒服；为…感到难过¦be bad for::对…不利；对…有害¦bad behavior::坏行为¦bad cold::重感冒；重伤风¦bad temper::坏脾气；暴躁¦bad situation::糟糕的局面，处于劣势¦not so bad::并不坏；还凑合¦in a bad way::病情严重¦in a bad mood::心情不好；处在不好的情绪中
badge	n::徽章；证章；标记¦v::授给…徽章	
badger	n::獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊¦v::纠缠不休；吵着要；烦扰	
badly	adv::非常，很；严重地，厉害地；恶劣地	badly off::穷困的，没钱的；境况不佳的¦hurt badly::头痛的厉害，严重受伤
badminton	n::羽毛球	badminton court::羽毛球场¦badminton racket::羽毛球拍
baffle	v::使…困惑；使…受挫折；用挡板控制¦n::挡板；困惑	baffle plate::档板；门坎
bag	n::袋；猎获物；（俚）一瓶啤酒¦v::猎获；把…装入袋中；占据，私吞；使膨大	bags of::[俚语]许多的，充足的¦in the bag::十拿九稳的；稳操胜券的¦plastic bag::塑料袋；塑胶袋¦paper bag::纸袋子¦bag filter::袋式过滤器；袋滤器¦shopping bag::n. 购物袋¦filter bag::过滤袋¦sleeping bag::睡袋¦air bag::[机]气囊¦cosmetic bag::化妆包；化妆袋¦a bag of nails::颠三倒四；混乱¦tea bag::n. 茶叶袋¦hand bag::手提袋，手提包¦travel bag::旅行袋¦cloth bag::布袋¦bags under the eyes::[口语]眼睛下面的鼓胀，肿眼泡¦woven bag::编织袋；布袋；聚丙烯编织带¦laundry bag::洗衣袋¦vacuum bag::真空袋；真空加压袋¦ice bag::冰袋（用于身体消肿，镇痛）
baggage	n::行李；[交] 辎重（军队的）	baggage claim::行李认领；领取行李；取行李处¦excess baggage::n. 超重行李；累赘¦hand baggage::n. 手提行李¦baggage allowance::行李重量限额；免费携带行李；行李津贴¦baggage check::行李托管证¦baggage claim area::行李认领处；取行李处；行李认领区¦baggage handler::行李员¦baggage car::n. 邮件车厢；行李车厢¦baggage elevator::（运）行李电梯；（运）行李升降机
baggy	adj::袋状的，膨胀的；宽松而下垂的	
bail	n::保释，保释人；保释金；杓¦v::保释，帮助某人脱离困境；往外舀水	bail out::跳伞；保释；舀出¦on bail::保释；保释中
bait	v::引诱；在…中放诱饵；折磨¦n::饵；诱饵	cut bait::[美国俚语]中止；停止¦live bait::活诱饵¦rise to the bait::入圈套；上当受骗
bake	v::烤，烘焙¦n::烤；烘烤食品	bake bread::烤面包¦bake a cake::烘蛋糕
baker	n::面包师；面包工人；（便携式）烘炉	
bakery	n::面包店	bakery and confectionery::食品厂
balance	n::平衡；余额；匀称¦v::使平衡；结算；使相称	balance of::平衡¦in balance::adv. 总而言之，总的来说¦in the balance::悬而未决；在危急状态中¦balance sheet::资产负债表¦on balance::总而言之，总的来说¦ecological balance::生态平衡¦hold the balance::举足轻重¦strike a balance::结帐；公平处理¦energy balance::[化]能量平衡，能量衡算¦out of balance::不平衡，失去平衡¦dynamic balance::动态平衡，动平衡¦heat balance::热平衡；热量衡算¦balance method::天平测比重法；平衡表法¦material balance::物料平衡；物料衡算¦balance equation::平衡方程，平衡方程式¦water balance::水平衡；液体平衡¦on the balance::[经]两抵¦load balance::负载平衡¦balance of power::（国际间的）均势；力量对比¦mass balance::质量平衡；物料平衡
balcony	n::阳台；包厢；戏院楼厅	balcony window::阳台窗¦balcony door::阳台门
bald	adj::秃顶的；光秃的；单调的；无装饰的¦v::变秃¦n::(Bald)人名；(英)鲍尔德；(德、法、波)巴尔德	bald eagle::（美）秃鹰（美国的国鸟）；比喻秃头的政治家¦bald head::n. 秃头
bale	n::包；捆；灾祸；不幸¦v::将打包	
baleful	adj::恶意的；有害的	
balk	n::障碍；错误¦v::阻止；推诿；错过	balk at::回避，畏缩
ball	n::球；舞会¦v::成团块	ball mill::球磨；[机]球磨机¦on the ball::adv. [口]机灵；留心；有见识；勤奋¦ball valve::球阀，弹子阀；球形阀¦ball bearing::滚珠，钢球；滚珠轴承¦hit the ball::击球；顺利，成功¦steel ball::n. 钢珠¦play ball::开始活动；开始赛球¦ball screw::滚珠螺杆；滚珠丝杆；球头螺钉¦ball milling::球磨碾磨¦crystal ball::（占卜用的）水晶球；预言未来的方法¦rubber ball::橡皮球¦ball pen::圆珠笔¦golden ball::金球；金琥¦tennis ball::网球¦soccer ball::英式足球¦golf ball::高尔夫球¦ball rolling::钢球轧制¦cotton ball::棉球；硼钠钙石¦kick the ball::踢球¦pass the ball::[体育]传球
ballad	n::歌谣，民谣；叙事歌谣；流行抒情歌曲	
ballast	n::压舱物，[建] 压载物；道渣，碎石¦v::给…装压舱物；给…铺道渣	electronic ballast::电子镇流器；电子安定器¦ballast water::压载水；压舱水；压舱配重水¦in ballast::压舱货；底货¦ballast tank::压载舱；潜水艇沉浮箱；压载箱；压舱柜¦water ballast::压舱水，压载水；水压载¦water ballast tank::压载水舱¦ballast bed::道床；道碴床；碎石道床；道碴路基
ballerina	n::芭蕾舞女演员，芭蕾舞女	
ballet	n::芭蕾舞剧；芭蕾舞乐曲	ballet dancer::芭蕾舞蹈家¦water ballet::[体]花样游泳；水上芭蕾舞
ballistics	n::发射学，弹道学	interior ballistics::膛内弹道学
balloon	v::激增；膨胀如气球¦n::气球¦adj::像气球般鼓起的	air balloon::气球¦hot-air balloon::n. 热气球¦weather balloon::气象气球；探空气球¦balloon angioplasty::[外科学]气囊血管成形术；球囊成形术（等于percutaneous transluminal angioplasty）¦balloon pump::球囊泵；气囊泵¦balloon borne::球载反射器¦balloon flower::桔梗花¦like a lead balloon::毫无效果，毫无作用(意指如铅气球无法飞升)¦balloon catheter::气囊导管，气泡式导管
ballot	n::投票；投票用纸；投票总数¦v::投票；抽签决定	by ballot::投票选举（或表决）；按抽签决定¦secret ballot::无记名投票¦ballot box::投票箱¦ballot for::抽签；为…投票¦ballot paper::选票；投票用纸
balm	n::香油；镇痛软膏；香峰草，香树膏	lip balm::润唇膏¦tiger balm::万金油
balmy	adj::芳香的；温和的；止痛的¦n::(Balmy)人名；(法)巴尔米	balmy on the crumpet::[俚语]头脑不正常的；疯疯癫癫的
balustrade	n::栏杆	
bamboo	n::竹，竹子¦vt::为…装上篾条¦adj::竹制的；土著居民的	bamboo shoot::竹笋，笋¦bamboo leaves::竹叶¦bamboo grove::竹林¦bamboo pole::竹枝¦bamboo curtain::竹幕（西方资产阶级舆论界过去对我国的诬蔑性用语）¦bamboo basket::竹篮；竹篓¦bamboo raft::竹筏；竹排¦bamboo fence::竹篱笆
ban	v::禁止，取缔¦n::禁令，禁忌	ban ki-moon::潘基文（男子名，韩国前外长，联合国秘书长）¦ban from::禁止¦lift the ban::解禁；取消禁令
banal	adj::陈腐的；平庸的；老一套的¦n::(Banal)人名；(法、意)巴纳尔	
banana	n::香蕉；喜剧演员；大鹰钩鼻	banana skin::香蕉皮；尴尬事¦top banana::主要滑稽演员，引申为最好的演员或重要的官员；主要人物¦banana split::香蕉圣代（剖开香蕉夹以冰淇淋等）；香蕉半剖条¦banana republic::n. 香蕉共和国（指中、南美洲发展中国家）
band	n::带，环；[物] 波段；(演奏流行音乐的) 乐队¦v::用带绑扎；给镶边	frequency band::频带；频段¦wide band::宽频带；规定较大幅度的浮动汇率制度¦band gap::带隙¦broad band::宽带¦narrow band::[计]窄带，窄频带；[经]狭小汇率幅度¦rock band::摇滚乐团¦rubber band::橡皮筋¦wave band::n. （无线电）波段¦band structure::带结构；能带结构¦band width::频带宽度¦energy band::能带¦band saw::带锯；带锯机；环形锯¦band together::结合起来，团结起来¦steel band::n. 钢鼓乐队¦base band::基带，窄带；基频带；基极信号¦forbidden band::[化]禁带¦marching band::军乐队；奏进行曲作操练表演的乐队¦band pass::通过频带¦jazz band::爵士乐队¦elastic band::橡皮筋
bandage	n::绷带¦v::用绷带包扎	elastic bandage::弹性绷带；橡胶绷带
bandit	n::强盗，土匪；恶棍；敲诈者	one-arm bandit::[美俚]吃角子老虎机
bandwagon	n::流行，时尚；乐队花车	on the bandwagon::[口语](选举中)站在有胜利希望的一边，支持占优势的一方；看风使舵，随大流¦jump on the bandwagon::站在某人一边；赶浪头；一窝蜂做某事，跟随潮流
bane	n::毒药；祸害；灭亡的原因	
bang	n::刘海；重击；突然巨响¦adv::直接地；砰然地；突然巨响地¦v::重击；发巨响	big bang::n. 宇宙大爆炸；创世大爆炸¦with a bang::成功地；大大地；砰地一声；热气腾腾地¦bang on::飞中目标；了不起¦bang into::v. [口]偶尔遇见；撞上¦bang for the buck::划算；合算；货真价实¦bang up::砰地摔下，弄坏¦bang out::匆匆做出
banish	v::放逐；驱逐¦n::(Banish)人名；(英)巴尼什	
banister	n::栏杆的支柱；楼梯的扶栏	
banjo	n::班卓琴；五弦琴	
bank	n::银行；岸；浅滩；储库¦v::将…存入银行；倾斜转弯	central bank::[经]中央银行¦commercial bank::商业银行¦bank of china::中国银行¦world bank::n. 世界银行¦bank account::银行存款；银行往来帐户¦people's bank of china::中国人民银行¦investment bank::投资银行¦development bank::开发银行¦construction bank::建设银行¦west bank::约旦河西岸¦bank credit::银行信贷；银行信用状¦bank loan::银行贷款¦agricultural bank::农业银行¦industrial and commercial bank::工商银行¦issuing bank::开证银行；发行钞票的银行¦river bank::河岸；河堤¦china construction bank::中国建设银行¦in bank::存入银行¦bank on::指望；依赖¦bank of america::n. 美国银行
banker	n::银行家；银行业者；掘土工	investment banker::投资银行家
banking	n::银行业；银行业务；银行家的职业；筑堤¦v::把钱存入银行；做银行家；在…边筑堤（bank的现在分词）	banking system::银行系统；银行业务处理系统¦investment banking::投资银行业务；投资银行学¦banking sector::银行业；银行部门¦banking business::银行业务¦china banking regulatory commission::中国银行业监督管理委员会¦commercial banking::商业银行；商业银行业务¦banking supervision::银行监管；银行业务的监督¦private banking::私人银行；私人银行业务¦online banking::网上银行¦retail banking::零售银行业务；小额银行业务¦banking charges::银行费用；银行手续费¦banking law::银行法¦electronic banking::电子银行服务¦telephone banking::电话银行业务¦banking reform::金融改革，银行改革¦banking institution::[经]金融机构¦corporate banking::企业银行¦consumer banking::消费金融；个人银行¦senate banking committee::（美）参议院银行业委员会¦offshore banking::境外金融；境外银行业务
bankrupt	adj::破产的¦v::使破产¦n::[经] 破产者	go bankrupt::破产¦bankrupt of::完全缺乏
bankruptcy	n::破产	bankruptcy law::破产法¦bankruptcy court::破产法院¦bankruptcy proceedings::破产程序¦bankruptcy code::破产法¦declare bankruptcy::宣告破产¦file for bankruptcy protection::申请破产保护¦trustee in bankruptcy::破产管理人；破产财产受托人¦bankruptcy administrator::破产管理人
banner	n::横幅图片的广告模式	under the banner of::在…的旗帜下¦banner ads::横幅广告；旗帜广告¦star-spangled banner::美国国歌；美国国旗（等于Stars and Stripes）
