internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
dossier	do'sjɛi	'dɒsɪə; -ɪeɪ; -jeɪ	n::档案，卷宗；病历表册		The company is compiling a dossier of evidence to back its allegations.::公司正在搜集证明材料来支持自己的指控。
dot	dɑt	dɒt	n::点，圆点；嫁妆¦v::打上点	on the dot::正点，准时地¦dot with::用…点缀于；散布¦dot matrix::点阵¦quantum dot::n. [物]量子点¦dot product::点积；标量积¦black dot::黑点；黑斑¦the year dot::[英国口语]很久以前，很久很久以前(字面意义：公元0年)¦polka dot::圆点花样¦dot size::点尺寸；圆点大小；纲点尺寸¦dot matrix printer::点阵打印机¦dot pattern::光点图形	a pattern of dots::圆点图案
dote	dot	dəʊt	v::溺爱；昏聩¦n::(Dote)人名；(日)土手 (姓)；(中非)多泰	dote on::溺爱，宠爱；过分喜爱	He dotes on his nine-year-old son.::他对自己9岁的儿子十分溺爱。
doting	'dotɪŋ	'dəʊtɪŋ	adj::溺爱的，偏爱的¦v::宠爱（dote的ing形式）	dote on::溺爱，宠爱；过分喜爱	His doting parents bought him his first racing bike at 13.::溺爱他的父母在他13岁时给他买了第一辆自行车跑车。
double	'dʌbl	'dʌb(ə)l	n::两倍；双精度型¦adj::双重的；两倍的¦v::加倍，加倍努力；快步走¦adv::双重地；两倍地；弓身地	double layer::双层¦double room::双人房¦double deck::n. 楼中楼；双层甲板¦double star::双星（紧密相连的二颗星，借望远镜始可分辨者）¦double bed::双人床¦on the double::快速地¦double effect::双效；双重效果；双重影响¦double side::双边的；双面板；双面材质¦double bond::双键¦double taxation::[经]双重征税；[经]重复课税¦double click::双击；双击鼠标¦double helix::[生化]双螺旋¦double track::双声道，双声轨（录音磁带）¦double line::双线（线路）；二重线；隔行¦double wall::双重壁；双层墙¦double loop::双箕；双环路¦double decomposition::复分解¦see double::看成重影¦double frequency::倍频，双频；双频率的¦double ninth festival::重阳节	Scotch and water, please – make it a double.::请来苏格兰威士忌加水——要双份的。¦‘They offered me £10,000.’ ‘I’ll give you double.’::“他们向我开价1万英镑。” “我给你加倍。”
doubt	daʊt	daʊt	n::怀疑；疑问；疑惑¦v::怀疑；不信；恐怕；拿不准	no doubt::adv. 无疑地；很可能地¦in doubt::可怀疑的；不能肯定的¦there is no doubt::毫无疑问¦without doubt::无疑地；确实地¦doubt about::v. 怀疑¦have doubts about::怀疑¦without a doubt::无疑地¦beyond doubt::无容置疑，确实地¦benefit of the doubt::假定其无过失或无罪（因无充分证据证明某人有罪）；裁判员对可疑情况无把握时不对有关运动员作不利判定¦cast doubt on::引起对…的怀疑；对…产生怀疑¦reasonable doubt::合理的怀疑¦beyond all doubt::adv. 毫无疑问地¦shadow of a doubt::辣手摧花（电影名称，又名心声疑影）¦hang in doubt::悬而未决；还不能确定	There was still one little nagging doubt at the back of his mind.::他的心头仍有一丝挥之不去的疑虑。
doubtful	'daʊtfəl	'daʊtfʊl; -f(ə)l	adj::可疑的；令人生疑的；疑心的；不能确定的	doubtful of::怀疑的，可疑的；对…怀疑¦doubtful about::怀疑的，可疑的；对…怀疑	Prospects for a lasting peace remain doubtful.::持久和平的前景难料。
doubtless	'daʊtləs	'daʊtlɪs	adv::无疑地；确定地；大概，多半¦adj::无疑的；确定的		Doubtless there would be lots of rumours.::无疑会谣言四起。
dough	do	dəʊ	n::生面团；金钱		He worked hard for his dough.::他为了赚钱而努力工作。
dove	dʌv; dov	dʌv	n::鸽子；鸽派人士¦v::潜水（dive的过去式）		As part of the study, due to be unveiled later this month, participants were given the option of being a ‘dove’ and cooperating with others for shared benefit, or taking on the role of a ‘hawk’.::该项研究的具体内容将会在本月末公布，其中的一项内容是一个游戏，参与者可以选择成为“鸽派”的角色， 与他人合作共享利益， 或者成为“鹰派”的角色。
dowager	'daʊədʒɚ	'daʊədʒə	n::贵妇；继承亡夫爵位的遗孀；老年贵妇人	empress dowager::皇太后	the dowager Duchess of Devonshire::德文郡公爵的遗孀
down	daʊn	daʊn	adv::向下，下去；在下面¦adj::向下的¦n::软毛，绒毛；[地质] 开阔的高地¦prep::沿着，往下¦v::打倒，击败	down on::突然意识到¦go down::下降；平静下来；传下去；被接受¦down with::打倒；把…拿下¦ups and downs::n. 沉浮；盛衰；高低¦down through::在整个…的时间里¦right down::[口语]¦down to the ground::彻底地，完全；在一切方面¦down and out::贫困潦倒的；被击倒不能再战的¦down below::adv. 在底下¦go down with something::生(病)，得(病)，患(病)¦go down with::被接受；染上疾病¦down against::(股票市场上) 与…相比下跌¦get down on something::[澳大利亚、新西兰英语](尤指在不需要的时候或抢在别人前面)获得某物¦down to the wire::等到最后一刻才开始做事，最后关头¦have someone down::把某人请来作客(从城市到农村，从河流上游到下游，从北到南等用 down，反之 用 up)¦do down::欺骗；胜过；说…坏话	David bent down to tie his shoelace.::戴维弯腰系鞋带。¦Get down off the table.::从桌子上下来。¦Tears were streaming down my face.::我泪流满面。¦The sun was going down and it would soon be dark.::夕阳西下，天很快就要黑了。¦They came running down the stairs.::他们跑下楼来。¦She stood on a balcony looking down into the courtyard.::她站在阳台上朝下面的院子望去。¦Glancing down the list of runners, I noticed a familiar name.::我往下扫了一眼赛跑选手的名单，注意到了一个熟悉的名字。¦Her hair came down to her waist.::她的头发一直垂到腰际。¦Ken fell asleep face down (= with his face towards the ground ) on the couch.::肯趴在长沙发上睡着了。
downcast	'daʊnkæst	'daʊnkɑːst	adj::沮丧的；低垂的；气馁的¦n::倒台；俯视的目光；向下转换		Penelope sat silently, her eyes downcast.::佩内洛普一言不发地坐着，目光低垂。
downfall	'daʊnfɔl	'daʊnfɔːl	n::垮台；衰败；落下；大雨		the scandal that led to the president’s downfall::导致总统下台的丑闻
downgrade	,daʊn'ɡred	'daʊngreɪd; daʊn'greɪd	n::退步；下坡¦adj::下坡的¦adv::下坡地¦v::使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看	on the downgrade::在走下坡路；衰落；每况愈下	Hurricane Bob has been downgraded to a tropical storm.::飓风 “鲍勃” 已被降级为热带风暴。
downhearted	,daʊn'hɑrtɪd	daʊn'hɑːtɪd	adj::无精打采的；垂头丧气的		When no replies came, I began to feel downhearted.::一点回应都没有，我开始感到灰心了。
downhill	,daʊn'hɪl	daʊn'hɪl	adv::下坡；向下；每况愈下¦adj::下坡的；容易的¦n::下坡；滑降	go downhill::衰退；变坏；走下坡路	I mean really, once they eliminated the choking hazard, it was all downhill for me.::我是说真的，一旦他们消除了窒息的危险，那就都是我要走的下坡路。¦At that time our relations were going upwards, but since then they have been going downwards [downhill].::那时我们的关系是走上坡路, 此后就开始走下坡路了。
downpour	'daʊnpɔr	'daʊnpɔː	n::倾盆大雨；注下		...sheltering from a sudden downpour of rain.::…躲避一场突如其来的瓢泼大雨。
downright	'daʊnraɪt	'daʊnraɪt	adj::明白的；直率的；显明的¦adv::完全，彻底；全然		Jed’s downright lazy.::杰德这个人懒透了。
downstairs	'daʊn'stɛrz	daʊn'steəz	adv::在楼下¦adj::楼下的¦n::楼下	go downstairs::下楼	Rosie ran downstairs to answer the door.::罗茜跑下楼去开门。¦Charles was downstairs in the kitchen.::查尔斯在楼下厨房里。¦She repainted the downstairs rooms and closed off the second floor.::她重新粉刷了楼下的房间，并把二楼封上了。
downstream	,daʊn'strim	'daʊn'striːm	adv::下游地；顺流而下¦adj::下游的；顺流的	downstream industry::下游产业；下游行业；下业¦downstream processing::下游处理	a boat drifting downstream::顺流漂下的小船¦Breaking the dam could submerge downstream cities such as Wuhan.::毁坏大坝可能会淹没武汉这样的下游城市。
downtime	'daʊntaɪm	'daʊntaɪm	n::（工厂等由于检修，待料等的）停工期；[电子] 故障停机时间	maintenance downtime::停机检修时间	Often, during semesters, you have down time when you can do some exercise.::学期当中常常会有可供自由支配的时间来进行锻炼。
downtown	'daʊn'taʊn	'daʊntaʊn	adv::往闹市区；在市区¦adj::市中心的¦n::市中心区；三分线以外	downtown area::市中心¦go downtown::到市区¦downtown manhattan::曼哈顿闹市区（纽约市中心商业地带）¦downtown business district::市中心商业区；城市商业区	By day he worked downtown for American Standard.::白天，他在市中心为美国标准公司工作。¦...an office in downtown Chicago.::…芝加哥市中心的一间办公室。¦...in a large vacant area of the downtown.::…在市中心的一大块空地上。
downward	'daʊnwɚd	'daʊnwəd	adj::向下的，下降的¦adv::向下	downward trend::向下趋势，下跌趋势¦downward spiral::向下旋转；螺旋式下跌；减记恶性循环¦downward movement::向下运动¦downward welding::平焊，俯焊	a gentle downward slope::缓坡¦Benedict pointed downward again with his stick.::贝内迪克特又用他的拐杖向下指了指。
dowry	'daʊri	'daʊ(ə)rɪ	n::嫁妆；天资；亡夫遗产		
doze	doz	dəʊz	v::打瞌睡；假寐¦n::瞌睡	doze off::打瞌睡；困倦	Grandad was dozing in his chair.::爷爷在椅子上打瞌睡。
dozen	'dʌzn	'dʌz(ə)n	n::十二个，一打¦adj::一打的	dozens of::几十；许多¦by the dozen::成打地；按打计算¦half a dozen::adj. 半打，六个¦a dozen eggs::一打鸡蛋¦daily dozen::每日健身操；例行公事	a dozen eggs::一打鸡蛋¦Chris, Helen, and half a dozen others went on holiday together.::克里斯、海伦和其他六个人一起去度假了。¦(= about 12 ) cars were parked near the entrance.::入口附近停了大约十二辆汽车。
drab	dræb	dræb	adj::单调的；土褐色的¦n::浅褐色；无生气；邋遢；小额¦vt::使无生气¦vi::嫖妓	dribs and drabs::点点滴滴；片断	people forced to live grey, drab existences in ugly towns::被迫在丑陋的城市里过着平淡乏味生活的人
draft	dræft	drɑːft	n::汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流¦v::起草；制定；征募¦adj::初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的	first draft::初稿¦draft at::汇票期限¦draft resolution::提案；决议草案¦sight draft::[经]即期汇票¦draft tube::尾水管；通风管；引流管¦draft at sight::即期汇票¦draft contract::合同草案¦draft beer::生啤酒¦bank draft::[经]银行汇票，银行票据¦draft fan::抽风机；通风机；通气风扇¦rough draft::草稿；底子¦induced draft::诱导通风；进气通风¦on draft::(啤酒)散装的，可从容器中随时直接汲出的¦induced draft fan::引风机；抽风式风扇¦draft out::起草¦draft plan::草图，草案¦documentary draft::跟单汇票；押汇汇票¦natural draft::自然通风¦time draft::定期汇票¦final draft::最终稿，正稿	the rough draft of his new novel::他的新小说的草稿¦I read the first draft and thought it was very good.::我读了第一稿，觉得非常好。¦All parties eventually approved the final draft (= finished form ) of the peace treaty.::各方最后都同意了和平条约的终稿。
drag	dræg	dræg	v::拖累；拖拉；缓慢而吃力地行进¦n::拖；拖累	drag on::拖延¦drag and drop::拖放¦drag reduction::减阻¦drag coefficient::阻力系数；曳引系数¦drag in::插入讨论中；拉进¦drag force::拖曳力，曳力¦click and drag::单击并拖动¦drag down::向下拖¦aerodynamic drag::空气动力阻力¦friction drag::摩阻；磨擦阻力¦air drag::空气阻力¦drag along::拖着脚走，慢慢地行走¦drag out::拖延¦frictional drag::摩擦阻力；摩擦拽力¦drag link::拉杆¦drag racing::直线加速赛；短程高速赛车；减重短程高速汽车赛；街头飚车（汽车）¦drag torque::阻力矩；曳力矩；拖曳转矩¦drag chain::牵引链¦wave drag::波阻¦drag over::拖过；拖出	He grabbed her arm and dragged her into the room.::他抓住她的手臂把她拖进房间。
dragon	'dræɡən	'dræg(ə)n	n::龙；凶暴的人，凶恶的人；严厉而有警觉性的女人	dragon boat::龙船，龙舟¦dragon boat festival::端午节¦chinese dragon::麒麟¦dragon dance::舞龙¦like a dragon::猛烈地；凶猛地¦red dragon::红龙；红龙石¦dragon warrior::龙战士；龙之武士（功夫熊猫中的称号）；神龙大侠；龙勇士¦green dragon::[植]绿龙¦dragon ball::七龙珠（动画片）¦dragon lady::母夜叉；傲慢专横或残暴的妇女；有魅力的神秘妇女¦komodo dragon::科摩多龙（世界上最巨大的蜥蜴）¦chase the dragon::吸食海洛因，服用毒品¦dragon robe::龙袍	
dragonfly	'dræɡənflaɪ	'dræg(ə)nflaɪ	n::[昆] 蜻蜓		A dragonfly sows its eggs while skimming the surface of the water.::蜻蜓总是在水面上撒卵。¦Could that dragonfly flying above that drain be the answer to my prayers?::那只在排水沟上空飞着的蜻蜓能作为我祈求的答案吗？¦It looks like a blue dragonfly.::它看上去像只蓝色蜻蜓。
drain	dren	dreɪn	v::排水；流干¦n::排水；下水道，排水管；消耗	down the drain::浪费掉；徒劳；堕落¦brain drain::人才外流；智囊流失¦floor drain::地漏；地面排水管；楼面排水¦drain off::渐渐枯竭；把…排出去；排除¦drain well::排泄井，排水井；污水井¦drain valve::排水阀；放泄阀¦water drain::下水道；排水沟¦drain pipe::排泄管；疏水管¦drain water::排泄水，废水¦drain away::v. 渐渐枯竭；排去；流尽¦go down the drain::v. 白费心机；前功尽弃；每况愈下¦drain from::流失；从某处被吸走¦drain line::排水管道¦oil drain::放油孔；泄油；滑油放油嘴¦drain current::漏极电流，漏电流¦sand drain::砂井；排水砂桩¦drain tank::疏水槽；储油槽¦drain hole::排泄孔；排水孔¦drain out::排出；终止¦drain tube::排水管，放出管；引流管	The swimming pool is drained and cleaned every winter.::每年冬天这座游泳池都要排干清洗。¦Can you drain the spaghetti, please (= pour away the water from the pan ) ?::你把意大利面滤干好吗？
drainage	'drenɪdʒ	'dreɪnɪdʒ	n::排水；排水系统；污水；排水面积	drainage system::排水系统，渠道系统；水系；引流装置¦drainage area::排水面积¦gas drainage::排瓦斯设备，瓦斯抽放¦water drainage::排水¦drainage basin::（美）[地]（河流的）流域；流域盆地¦acid mine drainage::酸性矿水排水；排泄酸性矿水¦drainage works::排水工程；渠务工程；排水工作¦drainage pipe::排污管；放泄管¦drainage pipeline::排水管道¦drainage ditch::n. 排水沟¦drainage hole::排泄孔；疏水孔¦drainage network::河网；排水网¦drainage pump::排水泵；排泄泵¦surface drainage::路面排水，地表水系¦drainage channel::排水沟，下水道¦drainage rate::滤水速度，排水速度；排水比率¦drainage tube::引流管；排水管¦gravity drainage::重力排水；重力泄油¦drainage layer::排水层¦drainage outlet::排水出口	A handful of pebbles in the bottom of a flowerpot will help drainage.::在花盆底下放一把鹅卵石能够帮助排水。¦a plan to improve the town’s drainage system::改善城里排水系统的计划
dramatic	drə'mætɪk	drə'mætɪk	adj::戏剧的；急剧的；引人注目的；激动人心的		A superb goal by Owen earned United a dramatic victory yesterday.::昨天欧文的一个超级入球为联队赢得了激动人心的胜利。
dramatist	'dræmətɪst	'dræmətɪst	n::剧作家，剧本作者		After the boss left, the dramatist had a dozen buns for supper. Then he began to doze off.::老板走后，剧作家吃了一打面包作为晚餐然后开始打瞌睡了。
dramatize	'dræmətaɪz	'dræmətaiz	v::使戏剧化；编写剧本；改编成戏剧		a novel dramatized for television::被改编成电视剧的小说
drape	drep	dreɪp	v::用布帘覆盖；使呈褶裥状¦n::窗帘；褶裥		...a casket draped in the Virginia flag.::…一口覆盖着弗吉尼亚州旗的棺材。¦He pulled the drapes shut, locked the door behind him.::他拉上长帘,锁上了身后的门。
drapery	'drepəri	'dreɪp(ə)rɪ	n::布料；帏帐；打褶的帐幔		a table covered with drapery::覆有打褶罩布的桌子
drastic	'dræstɪk	'dræstɪk; 'drɑː-	adj::激烈的；猛烈的¦n::烈性泻药		drastic cuts in government spending::政府开支的急剧削减¦Drastic changesare needed if environmental catastrophe is to be avoided.::要想避免环境灾难就需要重大的变革。
draught	drɑft	drɑːft	n::气流；汇票；草稿（等于draft）¦v::起草；征兵；选派（等于draft）¦adj::汲出的；拖拉的（等于draft）	draught fan::通风风扇；引风机；通风机¦draught animals::挽畜¦draught beer::生啤酒	Put out your little tongue that I may cut it off as my payment; then you shall have the powerful draught.::伸出你小小的舌头吧，我可以把它割下来作为报酬，你也可以得到这服强烈的药剂了。
draughty	'drɑfti	'drɑːftɪ	adj::通风的；通风良好的		a draughty old house::透风的老房子
draw	drɔ	drɔː	v::画；拉；吸引¦n::平局；抽签	draw lessons from::从…吸取教训¦draw up::草拟，起草；停住；使靠近¦draw on::利用；吸收；戴上；临近¦draw a conclusion::得出结论；作结论¦draw out::取出；拟订；拉长；导致¦draw in::引诱；进站；接近黄昏；紧缩开支¦draw the conclusion::得出结论；推断¦draw attention::引起注意¦draw from::从…中得到；从…提取¦draw near::靠近；接近¦lucky draw::幸运抽奖¦draw a picture::画一张图；画幅画¦draw upon::利用；[经]开出；总结¦draw back::拉开；收回；退却；使保持距离¦draw a line::画一条线，划一界线¦draw nigh::接近，临近¦draw against::按…开具；打成平局¦draw together::聚集；靠拢¦draw bead::张力调整杆；拉深压边筋；拉道¦draw down::引来，招致；从涂层取样	Katie had drawn a cottage with a little stream running next to it.::凯蒂画了一间小茅舍，旁边流淌着一条小溪。¦She asked the little girl to draw a picture of the man she’d spoken to.::她让小女孩把刚才和她说话的那个男人画出来。¦Keith was drawing a complicated-looking graph.::基思在画一张看上去很复杂的图表。¦I’ve never been able to draw very well.::我从来就画不好图画。
drawback	'drɔbæk	'drɔːbæk	n::缺点，不利条件；退税		It’s a great city – the only drawback is the weather.::这是座很不错的城市，唯一的不足就是天气。
drawer	drɔr	drɔ:(r)	n::抽屉；开票人；出票人；起草者；酒馆侍	top drawer::社会最上层；最上层抽屉；最高级的¦bottom drawer::嫁衣¦drawer lock::抽屉锁	She took a file from her desk drawer .::她从书桌的抽屉里拿出了一个文件夹。¦The scissors are in the kitchen drawer (= drawer in a piece of kitchen furniture ) .::剪刀在厨房的抽屉里。
drawing	'drɔɪŋ	'drɔː(r)ɪŋ	n::图画；牵引；素描术¦v::绘画；吸引（draw的ing形式）；拖曳	drawing up::拟订¦drawing process::回火过程¦deep drawing::深冲压，深拉¦in drawing::画得精确¦wire drawing::拔丝；抽丝现象¦drawing die::拉模，拉延模；深冲模¦drawing in::（白昼）渐短；（汽车或火车）到站；[纺]穿经¦drawing machine::绘图机；拔丝机；提升绞车¦engineering drawing::工程制图¦drawing board::制图板，绘图板¦mechanical drawing::机械制图；机械画¦construction drawing::施工图；结构图¦drawing force::拉伸力，拉拔力；拉力¦line drawing::素描；线条画¦drawing out::取出；拔长；驶离；拟定（计划）¦design drawing::设计图¦drawing design::图纸设计¦cold drawing::冷拔¦drawing program::放矿计划；制图程式¦wire drawing machine::拔丝机	I’ve never been very good at drawing.::我向来不擅长画图。
drawl	drɔl	drɔːl	v::慢吞吞地说¦n::慢吞吞拉长调子的说话方式		‘Can’t do that,’ he drawled languidly.::“不能那样做。” 他懒洋洋地拖着长音。¦Jack's southern drawl had become more pronounced as they'd travelled southward.::随着他们愈往南行，杰克拖腔拉调的南方口音就愈发明显了。
dread	drɛd	dred	n::恐惧；可怕的人（或物）¦v::惧怕；担心¦adj::可怕的	dread lord::暗黑之主（游戏中任务名称）	The prospect of flying filled me with dread .::想到要乘飞机我充满了恐惧。¦She lives in dread of (= is continuously very afraid of ) the disease returning.::她整天担心着会旧病复发。
dreadful	'drɛdfəl	'dredfʊl; -f(ə)l	adj::可怕的；糟透的，令人不快的		a dreadful mistake::可怕的错误
dream	drim	driːm	v::梦想；做梦，梦见；想到¦n::梦想，愿望；梦¦adj::梦的；理想的；不切实际的	dream of::梦想；梦见¦have a dream::做梦¦like a dream::毫不费力地；轻而易举地；完美地¦dream come true::梦想成真；美梦成真¦dream about::梦想；梦到¦in my dream::在我的梦中¦american dream::美国梦¦sweet dream::酣梦，甜蜜的梦¦dream world::梦境；幻想世界¦fond dream::南柯一梦；黄粱美梦¦one world one dream::同一个世界，同一个梦想（2008北京奥运会的口号）¦pipe dream::[口]白日梦，空想¦dream team::n. 梦之队；最佳阵容¦dream up::设计；创造¦impossible dream::不可能实现的梦；不可能的梦想¦dream house::梦想之家¦day dream::白日梦¦dream lover::n. 梦中人¦a midsummer night's dream::仲夏夜之梦（威廉·莎士比亚的喜剧作品）¦dream away::虚度	She had been dreaming and had not followed the conversation.::她一直在走神，没注意听谈话。¦...a dream holiday to Jamaica.::…一个去牙买加的理想假期。
dreary	'drɪri	'drɪərɪ	adj::沉闷的，枯燥的		the same dreary routine::一成不变的、乏味的日常事务¦a dreary winter’s day::沉闷的冬日
dredge	drɛdʒ	dredʒ	v::（用挖泥船等）疏浚；（用拖捞网等）捞取；（在食物上）撒（面粉等）¦n::挖泥船，疏浚机；拖捞网	dredge up::v. 疏浚；回忆起¦dredge pump::吸泥泵；挖泥泵；排泥泵；泥浆泵¦grab dredge::抓斗式挖泥船	They dredged for oysters.::他们在挖牡蛎。
dregs	drɛɡz	dregz	n::渣滓；少量；沉淀物（dreg的复数）		Colum drained the dregs from his cup.::科拉姆将杯中所剩一饮而尽。
drench	drɛntʃ	dren(t)ʃ	v::使湿透；给（牲畜）灌药¦n::滂沱大雨；浸液		They turned fire hoses on the people and drenched them.::他们打开消防水龙头朝人群喷去，把他们浇湿。¦...the idea of spending two whole days hanging on to a raft and getting drenched by icy water.::…在筏子上飘流整整两天并让冰冷的水湿透的想法。
dress	drɛs	dres	v::给…穿衣¦n::连衣裙；女装	dress oneself::打扮；给自己穿衣服¦dress up::v. 打扮，装饰；穿上盛装¦dress in::（使）穿…的服装；乔装打扮¦wedding dress::结婚礼服¦dress for::为…而打扮¦evening dress::夜礼服¦dress code::着装要求¦dress designing::服装设计¦fancy dress::n. 化装舞会所穿着的服装¦dress up as::装扮成，打扮成¦formal dress::n. 礼服¦dress down::叱责；着朴素的服装；梳刷¦long dress::长衣¦dress and personal adornment::服饰¦full dress::礼服，晚礼服；挂满旗¦maternity dress::n. 孕妇装¦dress shirt::礼服衬衫；男式白衬衫¦cocktail dress::酒会礼服；（正式场合穿的）短裙¦dress form::女装人体模型；服装人体模型；服装模型（陈列服装的人体模型）¦casual dress::便装；休闲服装	Can you wait a minute? I’m just getting dressed .::稍等一会儿，我穿下衣服就好。¦She dressed quickly and went out of the house.::她很快穿好衣服，走到房子外面。¦I usually have to dress the kids in the mornings.::早上我通常得给孩子们穿衣服。
dresser	'drɛsɚ	'dresə	n::梳妆台；碗柜；化妆师；裹伤员	wheel dresser::砂轮修整装置；砂轮整形器；磨轮修整器¦hair dresser::发型师；梳妆台	
dressing	'drɛsɪŋ	'dresɪŋ	n::穿衣；加工；调味品；装饰；梳理¦v::给…穿衣；为…打扮（dress的现在分词）	ore dressing::选矿；造矿¦dressing room::n. 更衣室；化妆室¦dressing plant::选矿厂；选包工场¦dressing up::角色扮演；乔装打扮¦salad dressing::色拉酱调料¦wound dressing::绷带，伤口敷料；创伤敷料¦dressing table::镜台，梳妆台¦mineral dressing::选矿；富集¦dressing change::换药¦window dressing::粉饰；修饰外表；橱窗装饰¦dressing gown::晨衣，便袍¦seed dressing::拌种；拌种剂；种子拌肥¦dressing down::n. 揍打；狠狠训斥¦top dressing::根外追肥¦french dressing::法式生菜调味酱，法式凉菜调味汁¦dressing machine::选矿机；锻钎机；钻头修整机；切飞边冲床；矫正机¦cross dressing::穿异性服装；[医]易装癖¦thousand island dressing::n. 千岛汁；千岛酱；千岛沙拉酱	a vinaigrette dressing::醋油调味料
dressy	'drɛsi	'dresɪ	adj::讲究服装的¦n::(Dressy)人名；(法)德雷西		Her outfit was smart but not too dressy.::她的衣服漂亮但又不过于正式。
dribble	'drɪbl	'drɪb(ə)l	v::连击；使滴下；运球¦n::n点滴；运球		He was trying to dribble the ball past his opponents.::他想带球晃过对方球员。
drift	drɪft	drɪft	n::漂流，漂移；趋势；漂流物¦v::漂流，漂移；漂泊	temperature drift::温度漂移¦genetic drift::遗传漂变，基因漂变¦zero drift::零点漂移；最小容量；起点电容¦drift into::将…赶进；不知不觉地陷入¦drift along::随波逐流；任其自然¦drift away::渐渐疏远，慢慢散去¦baseline drift::基线漂移¦drift sand::流砂；流沙¦drift tube::漂移管；漂流管¦drift apart::漂离，疏远；各奔东西¦drift angle::漂移角；偏航角¦frequency drift::频率漂移；频漂¦wind drift::飞砂，漂流；风偏流¦drift velocity::漂移速度¦drift region::漂移区域¦continental drift::大陆漂移说¦low drift::低漂移¦drift out::越野赛车¦drift off::渐渐离去；漫无目的地移动；迷迷糊糊地睡去¦on the drift::◎(船)漂流	Smoke drifted up from the jungle ahead of us.::我们前方的丛林里有烟升起。
drill	drɪl	drɪl	n::训练；钻孔机；钻子；播种机¦v::钻孔；训练	drill pipe::钻杆，钻管；钻探管¦drill string::[机械]钻柱¦drill bit::钻头，钎头；强钻头¦drill hole::[工程]钻孔¦drill in::套管钻进；训练（某人）掌握（某种技能， 法则等）¦rock drill::n. 凿岩机¦drill stem::钻柱；钻杆；钻具¦twist drill::n. 麻花钻；螺旋钻¦drill press::钻床¦drill rod::钻杆；带孔棒；钎子¦drill rig::钻机；凿岩机¦electric drill::电钻¦fire drill::消防演习；逃逸等应急措施演习¦drill collar::钻铤；钻环¦drill machine::钻床；钻机；半自动立式钻床¦rotary drill::回转式凿岩机，旋转钻机¦drill point::钻尖；钻尖部份；钻针¦drill head::钻床头，钻头¦diamond drill::金刚石钻头，金刚石钻具¦drill down::向地下钻；深度探讨	an electric drill::电钻¦a whine like a dentist’s drill::像牙钻发出的那种呜呜声
drily	'draɪli	'draɪlɪ	adv::干燥地；冷淡地；讽刺地		
drink	drɪŋk	drɪŋk	v::喝，饮；吸收；举杯庆贺¦n::酒，饮料；喝酒	drink in::吸收¦drink water::喝水，饮水¦something to drink::n. 喝的东西；一些喝的东西¦drink tea::喝茶¦drink coffee::喝咖啡¦soft drink::n. 软饮料；不含酒精的饮料¦have a drink::喝一杯（酒，饮料等）；饮酒¦drink milk::喝牛奶¦cold drink::清凉饮料，冷饮¦in the drink::[口语]在海里；在河里；在湖里¦strong drink::烈性饮料，高酒精饮料；酒的总称¦hot drink::热饮¦drink up::喝完¦drink a toast::干杯；举杯祝酒¦drink like a fish::大喝；豪饮；一大口一大口地喝酒¦fruit drink::果汁饮料¦mixed drink::混合鸡尾酒；调好的饮料¦drink oneself drunk::喝醉，喝得酩酊大醉¦alcohol drink::含酒精的饮料¦drink down::把…一饮而尽；借酒消愁；比酒量使…醉倒	You should drink plenty of water.::你应该大量喝水。¦What would you like to drink?::你想喝点什么？¦Take a seat while I get you something to drink .::请坐，我去给你倒杯喝的。¦She filled the glass and drank.::她把杯子倒满后喝了起来。
drip	drɪp	drɪp	v::滴下；充满；漏下¦n::水滴，滴水声；静脉滴注；使人厌烦的人	drip irrigation::滴灌；滴流灌溉¦intravenous drip::静脉滴注法¦drip from::从…上滴下¦drip with::往下滴¦water drip::滴水槽¦drip coffee::滴流咖啡（使沸水慢慢渗过咖啡粉末所泡成的咖啡，等于drip grind）	The tap’s dripping .::水龙头在滴水。¦Her boots were muddy and her hair was dripping .::她的靴子沾满了泥，头发在滴水。
dripping	'drɪpɪŋ	'drɪpɪŋ	n::滴；水滴；滴下物¦adj::湿淋淋的；欲滴的¦adv::欲滴地；湿淋淋地¦v::滴下（drip的ing形式）	drip irrigation::滴灌；滴流灌溉¦intravenous drip::静脉滴注法¦drip from::从…上滴下¦drip with::往下滴¦water drip::滴水槽¦drip coffee::滴流咖啡（使沸水慢慢渗过咖啡粉末所泡成的咖啡，等于drip grind）	Sweat was dripping from her neck.::汗水从她脖子上滴下来。¦Sweat was dripping from his face.::汗水从他脸上滴下来。¦The rain was dripping down his neck.::雨水沿着他的脖子往下滴。
