abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？
primitive	'prɪmətɪv	'prɪmɪtɪv	adj::原始的，简单的	primitive religion::原始宗教¦primitive people::原始人；原始民族¦primitive culture::原始文明¦primitive type::原始类型；原语类型¦primitive accumulation of capital::原始资本积累¦primitive function::原函数；基元功能	a primitive society::原始社会¦a primitive nomadic tribe::原始的游牧部落¦the tools used by primitive man::原始人所用的工具¦primitive art::原始艺术
principal	'prɪnsəpl	'prɪnsəp(ə)l	adj::主要的¦n::校长	principal component::主成分；[化]知组分¦principal component analysis::主成分分析¦principal and interest::本利，本金及利息¦principal stress::主应力；枝力，枝动¦principal axis::[物]主轴¦principal factor::主要因素；主因子法¦principal investigator::主要研究者¦repayment of principal::还本；偿还本金¦principal function::主函数；主要职能¦principal strain::主应变，枝变¦principal product::主产物¦principal direction::纸向；主方向¦principal office::总部，总社；总办事处；校长室¦principal element::主要因素；主元素¦principal character::主人公；主要特征¦principal focus::[物]主焦点（等于focal point）¦principal tensile stress::汁应力，主拉应力¦major principal stress::最大主应力，第一主应力¦principal value::本金值；基本价值；主值¦principal action::主诉；主要行动	His principal reason for making the journey was to visit his family.::他那次旅程的首要目的是探访家人。¦Teaching is her principal source of income.::教书是她主要的收入来源。¦the principal character in the book::书里的主人公
prior	'praɪɚ	'praɪə	adj::较早的；更重要的	prior notice::事先通知；预先通报¦prior art::先前技术¦prior approval::事先批准；预先审批；事前批准；事前许可；预先核准¦prior probability::先验概率，事前机率¦prior period::前期；上期¦prior condition::先决条件	You do not need any prior knowledge of the subject.::你无需事先具备该方面的知识。¦Changes may not be made without the prior approval of the council.::未经委员会事先同意，不得作出改变。¦Vegetarian meals are provided by prior agreement.::经事先协商可提供素食。¦Some prior experience with the software is needed.::要求事先熟悉这个软件。
priority	praɪ'ɔrəti	praɪ'ɒrɪtɪ	adj::优先权	give priority to::优先考虑；认为优先¦top priority::最优先的¦first priority::最优先；绝对优先权¦high priority::n. 高优先级¦higher priority::较高优先级¦low priority::低优先级¦lower priority::次重要优先项目(或问题)¦priority mail::优先邮件（美国邮政的邮件类型之一，在邮件分检系统内享有优先处理的特权）¦order of priority::优先秩序，轻重缓急次序¦priority date::优先日期¦priority level::优先等级¦priority control::优先级控制¦priority queue::优先排队¦priority setting::制定优先次序；优先级设立¦according to priority::依次¦relative priority::相对优先求偿权¦elderly persons priority scheme::共享颐年优先配屋计划	Members receive priority bookings and reduced ticket prices to all concerts.::会员可优先预订所有音乐会的门票，并享受优惠票价。
privacy	'praɪvəsi	'prɪvəsɪ; 'praɪ-	n::隐退；秘密	privacy policy::隐私权政策；隐私策略¦privacy protection::秘密保护¦right of privacy::隐私权¦individual privacy::个人隐私¦privacy statement::隐私权声明¦in privacy::秘密地¦invasion of privacy::侵犯个人隐私；侵犯隐私权¦privacy rights::隐私权¦privacy act::隐私法；隐私权法（美国1974年颁布的法案）¦privacy of the individual::个人私隐	each individual’s right to privacy::每个人的隐私权
privilege	ˈprɪvəlɪdʒ	ˈprɪvəlɪdʒ	n::特权；优惠	special privilege::特权；特别优惠；特殊许可	He had no special privileges and was treated just like every other prisoner.::他不享受特权，待遇和任何其他犯人一样。
probation	pro'beʃən	prə'beɪʃ(ə)n	n::试用，试读；见习，试用；缓刑	on probation::服缓刑；作为试用¦probation period::试用期；见习期¦probation officer::试用官；缓刑犯监督官	The judge sentenced Jennings to three years’ probation.::法官判詹宁斯三年缓刑。
probe	prob	prəʊb	n&v::医学探针；新闻调查；探测	probe into::探究，探索¦electron probe::电子探针¦fluorescent probe::荧光探针；荧光探测器¦probe method::探测法；探针测¦lunar probe::月球探测器¦space probe::航天探测器¦ultrasonic probe::[医]超声纳探针；超声波探头¦dna probe::[生物工程]DNA探针¦measuring probe::测量探头；测量探针¦oxygen probe::氧探针¦temperature probe::温度探头；测温传感器；温度探测器；温度探针¦probe test::探头检测；探测试验；探头试验¦sensing probe::n. 传感探头，感测探针；敏感元件¦pressure probe::压力探头；压力传感器¦current probe::电流探针¦thermal probe::热探针；测温探针¦focusing probe::聚焦探头¦conductivity probe::电导探针¦test probe::测试探针；测试探头	Police probed claims that he had sold drugs.::警方就有人称他贩卖毒品一事进行了调查。
procedure	prə'sidʒɚ	prə'siːdʒə	n::过程，步骤	working procedure::运行程序；办理手续¦criminal procedure::刑事诉讼程序¦civil procedure::民事诉讼；民事诉讼法；民事诉讼程序¦design procedure::设计程序；计算方法¦welding procedure::焊接工艺；焊接程序¦operation procedure::n. 操作规程；作业流程¦construction procedure::施工程序，施工步骤¦administrative procedure::管理程序，行政程序¦operating procedure::操作程序，作业程序¦production procedure::生产程序¦civil procedure law::民事诉讼法¦calculation procedure::计算方法；计算程序；计算方案¦control procedure::控制程序¦test procedure::试验程序；检验法；检查法¦general procedure::一般程序；通用过程，通用程序¦legal procedure::法律程序，法定程序¦stored procedure::存储过程；预存程序¦rules of procedure::议事规则；程序规则¦procedure control::过程控制；工序技术检查¦standard procedure::标准程序；标准流程	On board, we were given the usual talk on safety procedures (= what to do if an accident happens, or to prevent an accident ) .::在飞机上，我们听了例行的飞行安全讲解。
proceed	pro'sid	prə'siːd	v::进行；着手	proceed with::继续进行¦proceed from::从...出发¦proceed against::起诉；控诉；提起诉讼	Before proceeding further, we must define our terms.::我们必须先定义术语，然后再往下展开。
proceeding	prə'sidɪŋ	prəʊ'siːdɪŋ	n::程序，进程；活动，诉讼	legal proceeding::诉讼；法律程序¦civil proceeding::民事（诉讼）程序¦judicial proceeding::司法程序	John is taking legal proceedings against his ex-partner.::约翰在对他的前合伙人提起法律诉讼。
proclaim	prə'klem	prə'kleɪm	v::宣告，声明		The President proclaimed the republic’s independence.::总统宣布共和国独立。
procure	prə'kjʊr	prə'kjʊə	v::(努力)取得；获得		It remained very difficult to procure food, fuel, and other daily necessities.::当时仍然很难获得食品、燃料和其他日用必需品。
prodigious	prə'dɪdʒəs	prə'dɪdʒəs	adj::巨大的，奇妙的		the artist’s prodigious output::那位艺术家惊人的高产
productive	prə'dʌktɪv	prə'dʌktɪv	adj::能生产的，肥沃的	productive forces::生产力¦productive capacity::生产能力¦productive efficiency::生产效率；生产效能¦productive maintenance::生产维修¦productive time::运算时间；生产时间¦total productive maintenance::全面生产维护¦productive investment::生产性投资	the economy’s productive capacity::该经济体的生产能力
productivity	,prodʌk'tɪvəti	prɒdʌk'tɪvɪtɪ	n::生产能力；生产率	labor productivity::劳动生产率¦labour productivity::劳动生产率¦primary productivity::初级生产力；第一性生产力；基础生产力；初级生产率¦total factor productivity::全要素生产率；总要素生产力¦soil productivity::土壤生产力；地力¦marginal productivity::边际生产力¦economic productivity::经济生产率	high productivity levels in manufacturing::制造业中的高生产率¦It cost the country $4 million in lost productivity .::它对该国造成了400万美元的生产力损失。
profane	prə'fen	prə'feɪn	adj::亵神的，亵渎的¦v::亵渎，玷污		profane language::亵渎的语言
professional	prə'fɛʃənl	prə'feʃ(ə)n(ə)l	adj::职业的¦n::专业人员	professional development::专业发展¦professional knowledge::专业知识；专门知识¦professional design::专业设计；设计合理¦professional service::专业服务¦professional training::职业培训¦professional team::专业团队；职业队¦professional education::职业教育；专业教育¦professional experience::工作经验；工作经历；职业经验¦professional staff::专门人员¦professional skill::专业技能¦professional qualification::专业资格；职称等级¦professional spirit::n. 专业精神¦professional practice::专业实习¦professional manager::职业经理人；专业管理者¦professional organization::专业组织¦professional competence::专业技能¦professional course::专业课程，专业课¦professional commitment::专业承诺¦professional standard::行业标准；专业标准；职业标准¦professional dedication::敬业精神	This business plan looks very professional.::这个商业计划看上去很有专业水平。¦a more professional approach to work::更专业的工作方法
proficiency	prə'fɪʃənsi	prə'fɪʃ(ə)nsɪ	n::熟练，进步	proficiency in::熟练；精通¦english proficiency::英语水平；英文能力¦proficiency test::水平测试；熟练测验¦proficiency testing::能力验证；技术检查；熟练测试	I brought her proficiency up to the required level.::我把她的熟练程度提高到所规定的水平。¦With study and practice, almost anyone can do it with some level of proficiency, but most people don't learn how to think critically or analytically—nor are they even aware of its value.::通过学习和实践，几乎任何人都能以不同的熟练程度来掌握它，但是大多数人都不会去学习如何进行批判性或分析性思维，或者说，他们根本意识不到其价值。¦How do you think of your proficiency in written and spoken English?::你认为你的书面 英语和 口语熟练程度如何？
profile	'profaɪl	'prəʊfaɪl	n::侧面；轮廓	high profile::鲜明的姿态；引人注目的高姿态；明确的立场¦low profile::低姿态；低姿态的人¦company profile::公司简介；公司概况；企业介绍¦tooth profile::齿形；齿廓¦temperature profile::温度曲线；温度剖面图；温度轮廓¦surface profile::表面轮廓¦cam profile::凸轮轮廓；实际廓线¦profile error::齿形误差；廓形误差¦user profile::[计]用户预置文件¦velocity profile::速度变化图¦profile modification::齿形修整¦soil profile::土壤剖面；土层剖面；泥土成分；土剖面¦profile modeling::仿形；靠模¦involute profile::渐开线齿形；渐开线齿廓¦profile analysis::个人能力测验图分析¦blade profile::叶片轮廓；叶片剖面；叶型桨叶轮廓¦keep a low profile::保持低姿态；避免引人注目¦depth profile::沿深度掺杂分布图；深度剖面¦roll profile::轧辊辊型¦personal profile::个人档案；个人资料	Dani has a lovely profile.::达尼的侧面轮廓很好看。
puzzle	'pʌzl	'pʌz(ə)l	n::难题；谜¦v::迷惑	jigsaw puzzle::n. 七巧板；智力拼图玩具¦crossword puzzle::纵横字谜游戏¦puzzle out::苦苦思索而弄清楚¦chinese puzzle::中国智力玩具（如七巧板、九连环等）；复杂难懂的事物¦puzzle over::努力思考；为…烦恼；苦苦思考	The meaning of the poem has always been a puzzle.::那首诗的含义始终是个谜。¦He thought he had solved the puzzle .::他认为他已经解开了那个谜。
quaint	kwent	kweɪnt	adj::古雅的；离奇的		a quaint little village in Yorkshire::约克郡一个古色古香的小村庄
qualification	,kwɑlɪfɪ'keʃən	,kwɒlɪfɪ'keɪʃ(ə)n	n::资格；条件；限制	qualification certificate::资格证书¦professional qualification::专业资格；职称等级¦qualification test::资格考试；合格试验；质量鉴定试验¦procedure qualification::工艺评定；程序评定¦welding procedure qualification::焊接工艺评定；焊接程序评定¦enterprise qualification::企业资质¦qualification and experience::资历¦academic qualification::学历；学术资格¦certificate of qualification::合格证书	He left school without any qualifications.::他离校时没有拿到任何文凭。
qualify	ˈkwɑləˌfaɪ	'kwɒlɪfaɪ	v::(使)合格	qualify for::合格；有…的资格¦qualify as::取得……资格；作为……合适	Free school lunches are given to children who qualify.::符合条件的儿童可获得免费的学生午餐。
qualitative	'kwɑlətetɪv	'kwɒlɪtətɪv	adj::质的，定性的	qualitative analysis::[化]定性分析；定量分析¦qualitative research::定性研究；质化研究；定性调查¦qualitative change::质变；性质变化¦qualitative method::[计]定性法¦qualitative data::定性数据¦qualitative index::质量指标¦qualitative assessment::质量评定¦qualitative information::定性信息；定质信息；属质资讯¦qualitative control::质量控制，品质管理¦qualitative investigation::定性分析；质量集中分析¦qualitative test::定性试验¦qualitative variable::定性变量；属性变数¦qualitative character::质量性状¦qualitative characteristic::质的性状；属性特征	There are qualitative differences in the way children of different ages and adults think.::不同年龄的儿童和成人在思维方式上有着质的差异。
quantitative	'kwɑntətetɪv	'kwɒntɪ,tətɪv; -,teɪtɪv	adj::量的，定量的	quantitative analysis::[化]定量分析¦quantitative method::定量法；量化方法；计量方法¦quantitative research::量化研究¦quantitative determination::定量测定¦quantitative relation::数量关系，定量关系¦quantitative assessment::定量评定（评价）¦quantitative study::定量研究；定量分析；计量研究¦quantitative data::数据；数量资料¦quantitative index::数量指标¦quantitative easing::量化宽松¦quantitative change::量变¦quantitative measurement::定量测定¦quantitative test::定量试验¦quantitative genetics::数量遗传学；定量遗传学¦quantitative character::数量性状；量标识；计量性状¦quantitative economics::数量经济¦quantitative classification::定量分类¦quantitative variable::量化的变数，属量变数	...the advantages of quantitative and qualitative research.::…定量和定性研究的优点。
quarry	'kwɔri	'kwɒrɪ	n::采石场；猎物	quarry bay::鲗鱼涌¦limestone quarry::石灰石采矿场	a slate quarry::板岩采石场
quarterly	'kwɔrtɚli	'kwɔːtəlɪ	adj::季度的；季刊	quarterly report::季报，季度报告	We publish a quarterly journal.::我们出版一份季刊。¦The rent is payable quarterly.::房租按季度支付。
queer	kwɪr	kwɪə	adj::奇怪的，不平常的；可疑的；眩晕的	queer fish::怪人；没人要的鱼¦queer theory::酷儿理论（指文化中所有非常态的表达方式）¦on the queer::[俚语]形迹可疑；不老实¦queer bird::古怪的家伙	She gave a queer laugh.::她古怪地笑了笑。¦Hank was beginning to feel a little queer.::汉克开始感觉有点不对头。
quench	kwɛntʃ	kwen(t)ʃ	v::熄灭，扑灭	quench oil::淬火油¦water quench::水淬（热处理）¦quench hardening::[冶金]淬火硬化	a desperate bid to quench the raging flames::为扑灭熊熊大火而不顾一切的努力
quest	kwɛst	kwest	n::寻找，追求	quest for::追求；探索，设法找到¦in quest of::探寻，寻求；为了追求……	They journeyed to the distant Molucca islands in quest of spices.::他们远赴摩鹿加群岛寻找香料。
questionnaire	ˌkwɛstʃənˈɛr	ˌkwestʃəˈneə(r)	n::问题单，调查表，征求意见表	questionnaire survey::问卷调查¦questionnaire method::问卷调查法；问卷法¦personality questionnaire::人格问卷	Teachers will be asked to fill in a questionnaire.::教师们将被要求填写一份调查问卷。
regarding	rɪ'ɡɑrdɪŋ	rɪ'gɑːdɪŋ	prep::关于	with regard to::adv. 关于；至于¦in this regard::就这一点而言¦in regard to::关于¦regard as::vt. 把…认作¦as regards::至于，关于¦regard for::对…的注意没，尊重；考虑到¦without regard to::不考虑；不顾及¦in regard of::关于…¦pay regard to::重视；注意到¦regard highly::器重；重视；尊重	Regarding your recent inquiry, I have enclosed a copy of our new brochure.::关于你最近的咨询，我随信附上一本我们最新的手册。
regeneration	ridʒɛnə'reʃən	rɪdʒenə'reɪʃn	n::新生，更新	regeneration capacity::再生能力¦regeneration unit::再生装置	
regime	re'ʒim	reɪ'ʒiːm	n::政体，政权；政治制度	flow regime::流态；水流动态¦water regime::水情；水文状况¦military regime::军事政权¦hydrological regime::水文状况，水分状况¦thermal regime::热状况；热动态；热体制¦exchange-rate regime::汇率机制¦currency regime::汇率制度	The regime got rid of most of its opponents.::该政权清除了大多数反对者。
register	'rɛdʒɪstɚ	'redʒɪstə	v::登记，注册	register for::注册；选课¦register with::向…登记¦cash register::现金出纳机，收银机¦census register::户籍登记簿¦register system::寄存系统，记录系统¦household register::户口簿¦shift register::[计]移位寄存器¦register now::现在注册；立即注册¦register file::寄存器文件；寄存蒲¦register office::[英]（办理世俗结婚手续或出生、死亡等登记的）户籍登记处¦federal register::联邦公报；联邦登记簿¦register card::登记卡；注册资料卡¦company register::公司登记册；公司会议记录簿¦control register::控制寄存器；控制暂存器¦register paper::n. 现金收支票据纸；注册文件；划线记录纸¦in register::对得齐；配准¦lloyd's register::英国劳埃德船级社¦hotel register::住宿登记；旅客登记簿¦data register::数据寄存器¦status register::状态寄存器（等于status byte）	The tanker is registered in Rotterdam.::这艘油轮是在鹿特丹登记的。
registrar	,rɛdʒɪ'strɑr	'redʒɪstrɑː; ,redʒɪ'strɑː	n::登记员，记录员	registrar of companies::公司注册官；企业监管局	The groom knew immediately that something was wrong when the registrar at Derry's Guildhall unexpectedly claimed that there was unfinished paperwork just before the ceremony began.::当时，在婚礼仪式开始之前，市政厅的登记员意外地宣布还有一些文件没有完成，新郎立即意识到出现了一些误会。¦For example, the concept of a registrar disappeared and was replaced with the term system, indicating that a decision had been made to automate many of the mundane aspects of enrollment.::例如，登记员的概念消失并且被术语 系统取代，这表示已经决定自动处理许多有关参加的琐碎事件。
regulate	'rɛɡjulet	'regjʊleɪt	v::管理，控制；调整		strict rules regulating the use of chemicals in food::限制化学品在食物中使用的严格规定
rehabilitate	,riə'bɪlə,tet	riːə'bɪlɪteɪt	v::恢复地位；使残疾者恢复正常的生活		a special unit for rehabilitating stroke patients::协助中风患者康复的特殊病房
reign	ren	reɪn	vi&n::(君主)统治，存在，现存	reign over::统治；盛行¦reign of terror::恐怖统治¦reign supreme::◎主宰；称雄	George VI reigned from 1936 to 1952.::乔治六世于1936年至1952年在位。
reimburse	,riɪm'bɝs	,riːɪm'bɜːs	v::偿还；付还		I'll be happy to reimburse you for any expenses you've had.::我很乐意报销你的所有花费。
reinforce	,riɪn'fɔrs	riːɪn'fɔːs	v::增援；加强	reinforce the management::加强管理	The film reinforces the idea that women should be pretty and dumb.::这部影片强化了这个观点——女人要漂亮，而且要笨一些。
rejoice	rɪ'dʒɔɪs	rɪ'dʒɒɪs	vt&vi::欣喜，高兴	rejoice in::因…感到欣喜；享有¦rejoice at::因…而高兴	Garbo plays the queen, rejoicing in the love she has found with Antonio.::嘉宝饰演沉浸在与安东尼奥爱情的欣喜中的王后。
relapse	rɪ'læps	rɪ'læps	vi&n::(病等)复发	relapse into::复发；堕落为	She had a relapse and died soon after.::她旧病复发，不久就去世了。
relay	rɪ'le	'riːleɪ	n::替班；转播；接力赛跑¦n::转播；传递	torch relay::火炬传递；火炬接力；圣火传递¦relay protection::继电保护¦relay race::接力赛¦frame relay::[计]帧中继¦time relay::时间继电器¦electromagnetic relay::电磁式继电器¦relay station::中继站；中断电台¦protective relay::保护继电器¦solid state relay::固态继电器¦distance relay::测距继电器¦differential relay::差动继电器¦medley relay::混合泳；混合泳接力¦current relay::电流继电器；电撂电器¦relay system::中继系统；全继电器制¦relay contact::继电器触点，继电匹点¦intermediate relay::中间继电器¦power system relay protection::电力系统继电保护原理¦thermal overload relay::热继电器；热过载继电器¦alarm relay::警报继电器¦thermal relay::[电]热继电器	the 100 metres relay::一百米接力赛
release	rɪ'lis	rɪ'liːs	vt&n::释放；发表	release rate::释放率；释放速度¦controlled release::控释；长效¦press release::新闻稿；通讯稿¦release from::解除；豁免¦heat release::放热；热放出¦news release::n. 通讯社或政府机构发布的新闻稿（等于press release）¦energy release::能量放出¦release agent::脱模剂；隔离剂¦release date::发布日期；发行日期；出厂日期¦release mechanism::释放机构；安全机构；分离机构；脱开机械装置¦day release::职工脱产学习时间¦quick release::快拆杆；快速断路¦block release::脱产进修（英国和欧洲大陆提高企业人员水平的）¦release valve::泄气阀；放气阀¦pressure release::[物]压力释放¦release lever::解锁手柄；分离杆¦stress release::应力释放；应力消除¦release pressure::释放压力¦release paper::[化]剥离纸，防粘纸¦release time::释放时间	Police arrested several men, who were later released.::警察逮捕了几个人，后来都释放了。¦The bears are eventually released into the wild.::这些熊最后被放回野生环境中。
relentless	rɪ'lɛntləs	rɪ'lentlɪs	adj::无情的，不仁慈的，残酷的		her relentless determination to succeed::她要成功的坚定决心¦a regime that was relentless in its persecution of dissidents::无情迫害持不同政见者的政权
relevant	'rɛləvənt	ˈreləvənt	adj::有关的，切题的，中肯的	relevant information::相关信息¦relevant data::有关数据¦relevant experience::相关工作经验¦relevant issues::相关问题¦relevant document::相关文件；关联文件¦relevant works::有关工程¦relevant cost::相关成本¦relevant parameter::相应参数；关联参数¦relevant authority::有关当局；监管当局¦relevant character::相关字符；关联字符	Relevant documents were presented in court.::法庭上出示了相关的文件。¦We received all the relevant information.::我们收到了所有相关信息。
reliable	rɪ'laɪəbl	rɪ'laɪəb(ə)l	adj::可靠的，可信赖的	reliable quality::质量可靠¦reliable data::可靠数据¦reliable information::可靠的信息¦reliable source::可靠来源¦reliable reputation::信誉可靠	a birth control method that is cheap and reliable::既便宜又可靠的避孕方法¦Miller was a quiet and reliable man.::米勒是个话不多且可靠的人。
relief	rɪ'lif	rɪ'liːf	n::减轻；救济	in relief::显著地；鲜明地；浮雕一般¦disaster relief::赈灾；灾难援助¦relief valve::安全阀；减压阀¦relief work::救济工作¦pressure relief::卸压；压力减低¦relief from::减轻；解除¦stress relief::[冶][化工]应力消除¦tax relief::税款减免¦relief fund::救济金¦pressure relief valve::安全阀；卸压阀¦relief effort::救灾工作¦emergency relief::紧急救援；紧急救济¦relief map::n. 地势图；立体模型地图¦relief supplies::救灾物资¦on relief::接受救济¦relief materials::救灾物资；救援物质（relief material的复数，常用复数）¦drought relief::干旱救灾¦high relief::高峻地形；高凸浮雕¦comic relief::n. 喜剧性穿插；喜剧性调剂¦relief printing::凸版印刷	Marijuana can provide pain relief for some cancer patients.::大麻可以为一些癌症患者减轻疼痛。
relinguish			vt::放弃；撤回		
reluctant	rɪ'lʌktənt	rɪ'lʌkt(ə)nt	adj::不愿意的，勉强的	reluctant to help::不情愿帮忙	She gave a reluctant smile.::她勉强笑了笑。
rely	rɪ'laɪ	rɪ'laɪ	v::依赖	rely on::依靠，依赖	They relied heavily on the advice of their professional advisers.::他们非常依赖专业顾问的建议。
remarkable	rɪ'mɑrkəbl	rɪ'mɑːkəb(ə)l	adj::不平常的；出色的	remarkable development::显著发展	She has made remarkable progress.::她取得了显著的进步。¦a remarkable coincidence::不寻常的巧合¦He’s a remarkable man .::他是个了不起的人。
remedy	'rɛmədi	'remɪdɪ	n::治疗，补救；纠正	remedy for::补救，解决；对…治疗法¦sovereign remedy::◎灵药；特效药¦legal remedy::法律补偿¦folk remedy::偏方	The problems in our schools do not have a simple remedy.::我们学校的问题没有简单的解决办法。
rigid	'rɪdʒɪd	'rɪdʒɪd	adj::僵硬的，不易弯的；严格的	rigid body::刚体；刚性体¦rigid frame::刚性构架¦rigid frame bridge::刚构桥，刚架桥；刚架式桥梁¦rigid plastic::硬质塑料¦rigid pavement::刚性路面；混凝土路面¦rigid foam::硬质泡沫塑料；硬塑胶¦rigid foundation::刚性基础；刚性地基；钢性基础¦rigid connection::刚性联接¦rigid polyvinyl chloride::硬聚氯乙烯¦rigid structure::[化]刚性结构¦rigid system::刚体系；刚性系统¦rigid support::刚性支承；刚性支架；刚强支柱¦rigid rotor::刚性转子；刚接式旋翼；整体转筒¦rigid steel::硬钢	rigid and authoritarian methods of education::死板、专断的教育方法
rigorous	'rɪɡərəs	'rɪg(ə)rəs	adj::严格的，严厉的，严酷的(气候条件)		a rigorous analysis of defence needs::对国防需求的缜密分析¦the rigorous standards required by the college::大学规定的严格标准
rim	rɪm	rɪm	n::边；边缘，轮辋	pacific rim::太平洋沿岸地区；泛太平洋¦wheel rim::轮辋；钢圈；轮箍；轮缘	She looked at him over the rim of her glass.::她沿玻璃杯口看着他。
riot	'raɪət	'raɪət	n::暴乱；骚动；放纵	riot police::防暴警察¦riot in::沉湎于；热衷于¦run riot::茂盛；跟错踪迹；胡闹¦riot act::（英）取缔暴动法¦riot gear::防暴装备	urban riots::城市骚乱¦prison riots::监狱暴乱¦His murder triggered vicious race riots (= caused by a problem between different races ) .::他的被杀引发了严重的种族骚乱。¦police wearing riot gear::配有防暴装备的警察¦police in bullet-proof vests and carrying riot shields::穿防弹背心、持防暴盾牌的警察
rip	rɪp	rɪp	v&n::撕裂，撕开；扯破	rip off::[俚]偷窃；扯掉；欺诈；剥削¦let rip::[口语]¦rip out::扯掉；狠狠地发出¦rip up::撕碎，撕毁¦let it rip::◎不要担心；别理会后果；听其自然	Her clothes had all been ripped.::她的衣服都被撕破了。¦The sail ripped under the force of the wind.::船帆被狂风刮破了。¦Impatiently, Sue ripped the letter open .::休急不可待地撕开信封。
ripple	'rɪpl	'rɪp(ə)l	n::涟漪，波纹¦vt&vi::(使)起层层细浪	torque ripple::转矩波动¦ripple current::纹波电流；脉动电流¦voltage ripple::电压纹波；电压脉动¦ripple effect::连锁反应；涟漪作用¦current ripple::流痕；水流波；纹波电流¦ripple voltage::纹波电压；脉动电压¦ripple through::行波传送进位	ripples on the surface of the pond::池面上的涟漪¦She dived into the pool, making scarcely a ripple.::她跳入池中，几乎没有泛起水波。
ritual	'rɪtʃuəl	'rɪtʃʊəl	n::宗教仪式，典礼；仪式的程序¦adj::仪式的	ritual dance::仪式之舞；祭祀之舞	ancient pagan rituals::古老的异教仪式¦the importance of religion and ritual in our lives::我们生活中宗教和宗教仪式的重要性¦The lady of the house performs the sacred ritual of lighting two candles.::由女主人来完成点燃两根蜡烛的神圣仪式。
rival	'raɪvl	'raɪvl	n::竞争者，对手	rival firms::竞争公司；竞争商行	This gives the company a competitive advantage over its rivals.::这使该公司与其对手相比具有一项竞争优势。¦He finished 39 seconds ahead of his main rival .::他比主要对手早39秒到达终点。¦She was 2 minutes faster than her nearest rival .::她比紧随其后的对手快两分钟。¦a game against their old rivals , Manchester United::和他们的老对手曼联队的比赛¦They still remain bitter rivals (= hate each other ) .::他们仍是死敌。¦Their sales have now overtaken those of their arch-rival (= main or strongest rival ) .::他们的销售额现已超过了主要竞争对手。
rivet	'rɪvɪt	'rɪvɪt	n::铆钉¦v::铆接，铆牢；集中(目光或注意力)	blind rivet::盲孔铆钉；空心铆钉¦rivet machine::制铆钉机；铆钉机；拉钉机¦rivet joint::铆钉接合	The West Ham crest features two crossed rivet hammers and the club has been known has the Hammers ever since::球队的队徽上有两个交叉的铆钉锤，这也让人们把球队和铁锤联系在一起。
roam	rom	rəʊm	vt&vi::漫步，漫游	roam about::漫游；漫步¦roam around::散步，闲逛	Chickens and geese roam freely in the back yard.::鸡和鹅在后院随意溜达。¦You shouldn’t let your children roam the streets .::你不应该让孩子在街上游荡。
roar	rɔr	rɔː	n&v::吼叫；轰鸣，怒吼		We heard a lion roar.::我们听到狮子在吼叫。¦The engines roared.::引擎轰鸣。
roast	rost	rəʊst	v&a::烤(的)，烘(的)	roast duck::烤鸭，烧鸭¦roast beef::烤牛肉¦beijing roast duck::北京烤鸭¦roast turkey::烤火鸡；烧火鸡¦roast chicken::烤鸡；烧鸡；烤油鸡；片皮脆烧鸡¦roast meat::铁板烤肉¦roast pork::烤猪肉，叉烧¦roast beijing duck::北京烤鸭¦roast suckling pig::烤乳猪	Are you going to roast the chicken?::这鸡你是准备烤的吗？¦the delicious smell of meat roasting::烤肉的香味¦We caught a rabbit and roasted it over an open fire.::我们捉到一只兔子，放在火上烧烤。
robust	ro'bʌst	rə(ʊ)'bʌst	adj::强健的	robust control::[机]鲁棒控制；强健控制¦robust design::n. 稳健设计；坚稳设计¦robust estimation::抗差估计，稳健估计；强估计¦robust statistics::坚固统计量	a robust man of six feet four::一个身高六英尺四英寸的壮汉
role	rol	rəʊl	n::角色，任务	role of::……的角色¦play an important role::起到重要作用¦leading role::主导作用；主导地位¦active role::积极任务；活跃角色¦play a role::发挥作用；扮演一个角色¦play a role in::在……起作用¦play the role::扮演角色¦play the role of::v. 担任…角色¦role model::n. 行为榜样；角色模特¦pivotal role::关键作用；要害作用¦dominant role::主要角色¦supporting role::n. 配角¦social role::社会角色¦role play::角色游戏¦role playing::扮演角色¦dual role::双重角色¦gender role::性别角色¦play the leading role::起主要作用， 起带头作用¦role conflict::角色冲突¦sex role::性别角色	She has just landed the lead role in their latest production.::她刚在他们最新的作品中取得了主角。
roll	rol	rəʊl	n&v::滚动；卷；隆隆声	roll out::铺开；滚出¦work roll::工作辊¦roll in::蜂拥而来；[口]有大量的（钱财等）；[美俚]就寝；到达¦rock and roll::摇滚乐¦roll up::卷起；滚滚上升；到达；出现；积累成；迫敌退向中央¦roll gap::轧辊开度；辊间距离¦roll on::继续前进¦cold roll::冷轧， 冷轧辊¦roll forming::滚轧成形；成形轧制¦roll over::翻滚；转存；延缓付款¦roll away::vt. 滚动卷页；滚过去，慢移过去¦roll back::击退；把…压低到标准水平¦roll into::卷成，使合为一体；滚进¦roll down::滚下¦roll off::转降，辗轧¦steel roll::[化]钢辊¦spring roll::（中国的）春卷；弹簧辊；薄饼¦hot roll::热轧，热轧卷；加热压光辊¦on a roll::运气好；超常发挥；做得很顺¦roll call::点名；名单；登记表	His sleeves were rolled above his elbows.::他的袖子卷到了胳膊肘的上面。
