adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
mystic	'mistik	ˈmɪstɪk	adj::神秘的		...mystic union with God.::…与上帝的神秘结合。
outlet	'aʊtlɛt	ˈaʊtlet	n::（感情的）发泄途径	air outlet::排气口¦outlet temperature::出口温度¦outlet pressure::出口压力¦outlet pipe::出口管；排水管，去水管；排气管¦outlet water::废水；排水¦gas outlet::气体出口¦outlet valve::排出阀¦power outlet::电源输出口，插座¦retail outlet::零售商店；零售门路¦discharge outlet::排放口；排水出路¦wall outlet::n. 【电工】壁装电源插座¦electrical outlet::n. 插座¦sales outlet::销售部；销售网点¦outlet line::输出线；出口管线¦oil outlet::出油口¦delivery outlet::输出口¦outlet velocity::出口速度¦outlet opening::排出口；出油口¦drainage outlet::排水出口¦exhaust outlet::排风口；排气口	Her father had found an outlet for his ambition in his work.::她父亲在工作中找到了施展抱负的途径。
physical	'fɪzɪkl	ˈfɪzɪkl	adj::自然（界）的	physical education::n. 体育课；体育教育¦physical model::物理模型；实体模型¦physical property::物理性质；实物财产¦physical chemistry::物理化学¦physical training::n. 体育；体能训练；身体训练¦physical fitness::身体健康；体力；身体适宜性¦physical activity::身体活动，体育活动；体力活动¦physical examination::体格检查¦physical exercise::体育运动；身体操练¦physical health::身体健康¦physical distribution::物流，物资调运¦physical strength::n. 体力¦physical condition::身体状况；实际条件；物理状态¦physical culture::n. 体育¦physical quality::身体素质¦physical therapy::n. 物理治疗法¦physical geography::自然地理学¦physical environment::物理环境，实体环境；自然环境¦physical process::物理过程；自理过程¦physical world::物质世界；物理世界	a physical explanation for this phenomenon::对这一现象合乎自然规律的解释
plumber	'plʌmɚ	ˈplʌmə(r)	n::管道工，水管工		Not only is there no God, but try getting a plumber on weekends.::不仅上帝不存在，而且周末连一个水管工都找不到。¦At the age of 74, he is still going strong as the oldest plumber in business in Boise, Idaho.::尽管他已经74岁高龄，但身体依然很健壮，是爱达荷州博伊西商界中最老的水管工。¦Even without a high-school diploma, a black man can probably find a job if he looks. And some manual jobs, such as plumber or cable technician, pay quite well.::即便没有高中文凭，一个黑人只要有求职意愿，他仍可能找到工作，并且水管工和电缆维修员这类体力活，薪酬还挺不错。
preference	'prɛfrəns	ˈprefrəns	n::偏爱	preference for::偏爱…¦preference to sth::优先¦tax preference::税收优惠¦personal preference::个人喜好¦in preference to::优先于……¦consumer preference::消费者偏好，消费偏爱¦by preference::最好，首先¦sexual preference::性取向；性偏好；性爱好¦preference share::优先股；红利先取股¦time preference::时间的优先选择¦color preference::色彩的嗜好；颜色爱好¦margin of preference::[经]优惠幅度；[经]优惠差额¦liquidity preference::[经]流动性偏好	Do you have a colour preference ?::你有什么颜色上的偏好吗？¦Parents may be able to express a preference as to the school their child will attend.::家长也许可以表明愿意让孩子就读哪所学校。¦The amount of sugar you add will depend on personal preference .::加多少糖取决于个人的喜好。¦Many elderly people expressed a strong preference to live in their own homes.::许多老年人强烈表示喜欢住在自己的家里。
preliminary	prɪ'lɪmɪnɛri	prɪˈlɪmɪnəri	adj::初步的，开始的	preliminary study::初步研究¦preliminary analysis::初步分析¦preliminary design::初步设计¦preliminary stage::初始阶段，初期；原始阶段¦preliminary investigation::初步调查¦preliminary test::初步试验；预先测试；初级试验¦preliminary examination::预备考试；预先检查¦preliminary plan::初步设计¦preliminary round::初赛；分组预选赛¦preliminary data::初始数据¦preliminary survey::初步调查；初测¦preliminary treatment::预处理¦preliminary assessment::初步评估；预备评估¦preliminary report::初步报告；预备报告¦preliminary planning::初步规划；初步计划¦preliminary agreement::初步协议¦preliminary review::预审；预先复查；初审¦preliminary scheme::初步规划¦preliminary hearing::n. 调查庭¦preliminary works::初步工程；准备工程	the preliminary stages of the competition::竞赛的预赛阶段¦a preliminary draft::初稿
primitive	'prɪmətɪv	ˈprɪmətɪv	adj::原始的；远古的	primitive religion::原始宗教¦primitive people::原始人；原始民族¦primitive culture::原始文明¦primitive type::原始类型；原语类型¦primitive accumulation of capital::原始资本积累¦primitive function::原函数；基元功能	a primitive society::原始社会¦a primitive nomadic tribe::原始的游牧部落¦the tools used by primitive man::原始人所用的工具¦primitive art::原始艺术
produce	prə'dus	prəˈdju:s	v::产生，导致	farm produce::农产品¦dairy produce::乳制品¦produce electricity::发电¦produce results::产生结果¦native produce::土特产品，土产品¦capacity to produce::生产能力¦produce evidence::提出证据¦mass produce::批量生产¦produce grain::生产粮食；谷物制造¦produce department::生产部	New drugs are producing remarkable results .::新药正在产生显著的效果。¦a rise in sea level produced by climatic change::由气候变化引起的海平面升高¦As a policy, it did not produce the desired effect .::作为一项政策，它并未产生预期的效果。
prolong	prəˈlɑːŋ	prəˈlɒŋ	v::延长		I was trying to think of some way to prolong the conversation.::我在想方设法拖长这次谈话。
pupil	pjupl	ˈpju:pl	n::学生	exit pupil::出射光瞳；后透光孔¦pupil dilation::瞳孔扩张；瞳孔放大	About 20 pupils study music here.::大约20名小学生在这里学习音乐。¦staff and pupils::教职员工和学生¦a star pupil::一名优秀的小学生¦a third-grade pupil::一名三年级小学生
qualification	,kwɑlɪfɪ'keʃən	ˌkwɒlɪfɪˈkeɪʃn	n::资格	qualification certificate::资格证书¦professional qualification::专业资格；职称等级¦qualification test::资格考试；合格试验；质量鉴定试验¦procedure qualification::工艺评定；程序评定¦welding procedure qualification::焊接工艺评定；焊接程序评定¦enterprise qualification::企业资质¦qualification and experience::资历¦academic qualification::学历；学术资格¦certificate of qualification::合格证书	He left school without any qualifications.::他离校时没有拿到任何文凭。
reinforce	,riɪn'fɔrs	ˌri:ɪnˈfɔ:s	v::强化；加强	reinforce the management::加强管理	The film reinforces the idea that women should be pretty and dumb.::这部影片强化了这个观点——女人要漂亮，而且要笨一些。
relay	rɪ'le	ˈri:leɪ	v::转告；传送	torch relay::火炬传递；火炬接力；圣火传递¦relay protection::继电保护¦relay race::接力赛¦frame relay::[计]帧中继¦time relay::时间继电器¦electromagnetic relay::电磁式继电器¦relay station::中继站；中断电台¦protective relay::保护继电器¦solid state relay::固态继电器¦distance relay::测距继电器¦differential relay::差动继电器¦medley relay::混合泳；混合泳接力¦current relay::电流继电器；电撂电器¦relay system::中继系统；全继电器制¦relay contact::继电器触点，继电匹点¦intermediate relay::中间继电器¦power system relay protection::电力系统继电保护原理¦thermal overload relay::热继电器；热过载继电器¦alarm relay::警报继电器¦thermal relay::[电]热继电器	The satellite will be used mainly to relay television programmes.::这颗卫星将主要用来转播电视节目。
revolution	'rɛvə'lʊʃən	ˌrevəˈlu:ʃn	n::革命	cultural revolution::文化大革命¦chinese revolution::辛亥革命¦industrial revolution::工业革命，产业革命¦democratic revolution::民主革命¦technological revolution::科技革命；[经]工业技术革命¦french revolution::法国大革命¦green revolution::绿色革命；环保革命¦american revolution::美国独立战争¦october revolution::俄国十月革命¦scientific revolution::科学革命¦social revolution::社会革命¦russian revolution::俄国革命（指发生于1917年的二月革命或十月革命）¦agrarian revolution::农业革命¦period of revolution::回转周期；公转周期¦complete revolution::整转；公转；周转¦glorious revolution::光荣革命¦great proletarian cultural revolution::文化大革命¦computer revolution::计算机革命（通过计算机的发展实现以信息革命为中心的社会变革）¦sexual revolution::性革命；性爱革命¦body of revolution::回转体；旋转体	the French Revolution of 1789::1789年法国大革命
seniority	,sinɪ'ɔrəti	ˌsi:niˈɒrəti	n::资历		I had 15 years seniority , and they couldn’t fire me.::我在这里有15年的资历，他们不可以解雇我。
sluggish	'slʌɡɪʃ	ˈslʌgɪʃ	adj::行动缓慢的，反应迟缓的	sluggish economy::萧条的经济¦sluggish market::呆滞的市面	Alex woke late, feeling tired and sluggish.::亚历克斯醒得很晚，感到很倦怠。¦Economic recovery has so far been sluggish.::经济复苏的速度目前仍然缓慢。
surge	sɝdʒ	sɜ:dʒ	n::猛增；急剧上升	storm surge::风暴潮；风暴汹涌¦surge tank::缓冲槽；平衡水箱；通风油箱（等于surge chamber）¦surge protection::过载保护¦surge chamber::调压室，调节室¦surge current::冲击（浪涌）电流¦surge arrester::电涌放电器；冲击吸收器；过电压吸收器；电涌特性喘振特性¦surge voltage::[计]冲击电压¦surge pressure::峰值压力；冲击压力；水锤压力¦lightning surge::雷电突波；雷电冲击波；雷涌¦surge protector::浪涌保护器，浪涌电压保护器¦power surge::动力高峰¦surge wave::水击波；碎浪波；涌波¦surge impedance::[电工学]突波阻抗；特性阻抗；浪涌阻抗¦pressure surge::压力波动，冲击压力¦surge bin::贮仓，储料仓；缓冲仓；平衡料仓¦current surge::电流浪涌；电流冲击	Specialists see various reasons for the recent surge in inflation.::专家认为最近通货膨胀加剧有各种原因。
suspender	sə'spɛndɚ	səˈspendə(r)	n::吊带裤，悬挂物		He also wore a pair of suspenders.::他也穿着吊带裤。
suspense	sə'spɛns	səˈspens	n::挂念; 悬念		Come on then, tell me what happened; the suspense is killing me (= I feel very excited or anxious because I do not know what will happen next ) .::快来，告诉我发生了什么事。急死我了。¦She couldn’t bear the suspense a moment longer.::这样提心吊胆，她再也受不了了。
thatcher		ˈθætʃə(r)	n::盖屋匠	margaret thatcher::玛格丽特·撒切尔（英国保守党派人士）	
transition	træn'zɪʃən	trænˈzɪʃn	n::过渡，转变	transition period::过渡时期¦phase transition::相变¦transition temperature::[电]转移温度¦transition metal::过渡金属¦glass transition::[物]玻璃转化¦glass transition temperature::玻璃化温度；玻璃转换温度¦transition zone::过渡区；转变区；移行区¦smooth transition::顺利过渡，平稳过渡¦state transition::状态转换¦transition state::过渡状态，转变状态¦transition probability::转移概率；跃迁概率¦transition layer::过渡层；转变层¦transition region::[植]过渡区；[物]渡越区¦transition curve::过渡曲线，介曲线；缓和曲线；转变曲线¦transition economy::转轨经济¦transition matrix::跃迁矩阵¦transition point::[电]转移点¦transition time::瞬变时间，渡越时间；迁移时间¦gradual transition::渐变；逐次跃迁；缓变结¦phase transition temperature::相变温度；相转变湿度	Making the transition from youth to adulthood can be very painful.::从青少年过渡到成年有时是一个非常痛苦的过程。¦a society that is in transition::一个正在转型的社会¦the period of transition to full democracy::向全面民主的过渡时期
transmission	træns'mɪʃən	trænsˈmɪʃn	n::传输；传送	data transmission::数据传输¦transmission system::[计]传输系统；输电系统；传递系统¦transmission line::n. [无][电]传输线；波导线¦power transmission::电力传输¦information transmission::信息传输¦transmission mechanism::传导机制；传动装置¦transmission electron microscopy::透射电子显微镜法¦signal transmission::信号传输；信号发送¦transmission electron microscope::透射式电子显微镜¦gear transmission::齿轮传动¦transmission network::传输网络；电力网¦mechanical transmission::机械传动；机械性传播¦automatic transmission::自动换档；自动变速装置；自动驾驶¦transmission and distribution::输电和配电；传输与分配¦transmission rate::传输速度；传输率¦transmission efficiency::传输效率，通话效率¦transmission equipment::传输设备；输电设备¦video transmission::视频传输；视频发送¦transmission ratio::传动比；总齿轮比；传输比¦heat transmission::传热；热传递，热传导	worldwide data transmission::全球数据传输
undertake	,ʌndɚ'tek	ˌʌndəˈteɪk	v::承担；从事		He undertook to pay the money back in six months.::他保证在六个月之内还钱。
vehicle	'viːɪkl	ˈvi:əkl	n::交通工具	motor vehicle::汽车；机动车辆¦electric vehicle::电动车辆¦vehicle maintenance::汽车维护，车辆保养¦commercial vehicle::商用车辆¦launch vehicle::运载火箭¦railway vehicle::铁路车辆¦passenger vehicle::客车，客运车辆；载客车辆¦vehicle registration::车辆登记；车辆注册登记¦transport vehicle::运输车，载重汽车¦tracked vehicle::履带式汽车¦road vehicle::公路用车¦armored vehicle::装甲车（辆）¦special purpose vehicle::专用汽车；特别用途车辆¦space vehicle::太空交通工具¦utility vehicle::多用途运载车¦vehicle traffic::车辆交通¦heavy vehicle::重型车辆¦hybrid vehicle::混合驱动汽车¦off-road vehicle::越野车辆¦light vehicle::轻型汽车；轻型车辆	a description of the stolen vehicle::对被盗车辆的描述¦Have you locked your vehicle?::你锁车了吗？
accessory	ək'sɛsəri	əkˈsesəri	n::配饰；附件	accessory equipment::辅助设备¦accessory nerve::副神经¦accessory ingredient::助剂；配合剂	bathroom accessories such as mirrors and towel-rails::镜子和毛巾架等浴室配件
appositive	ə'pɑzətɪv	ə'pɒzɪtɪv	adj::同位语		The average students' mastery level of non-existent appositive clauses in Chinese was 35%.::学生对于中文是否有同位语之语法结构之精通程度为35%。¦Compare the two sentences and find the differences between the attributive clause and the appositive clause.::定语从句对先行词起修饰限制作用；同位语从句具体说明它前面的名词内容。¦The elements in each appositive construction are to be nouns, pronouns and noun phrases, represent the same concept and can be turned into a definitive sentence.::进入同位结构的同位成分只能是名词、代词或名词性词组，同位成分在句中是同一概念，可以转化为判断句。
atrophy	'ætrəfi	ˈætrəfi	n::萎缩	muscular atrophy::肌肉萎缩	If you don't exercise your muscles, they weaken and atrophy.::如果不锻炼你的肌肉，肌力就削弱和萎缩了。¦If compassion can only be activated by sustained attention, which is prevented by fast-cut editing, then the ability to be genuinely moved by another’s story could atrophy.::如果只能通过持续的关注激活同情心，而这种关注又受到快速切断编辑的阻碍，那么，被他人的故事真正打动的能力就会萎缩。¦The compounds "likely have an effecton motor neurons"—responsible for controlling movements—"but that isa hunch at present, based on the type of atrophy we saw, " Hughes said inan email.::这些化合物“可能对运动神经元（负责控制运动）产生作用”----“根据我们观察到的萎缩症类型，目前这只是个预测，”休斯在一封电子邮件中说。
award	ə'wɔrd	əˈwɔ:d	n::奖励，奖品	academy award::奥斯卡金像奖；学院奖（美国电影艺术科学院颁发的年度奖项）¦award ceremony::颁奖仪式，颁奖典礼¦arbitral award::仲裁裁决；公断书¦arbitration award::仲裁裁决；公断书¦special award::特别奖¦contract award::合同判授¦national book award::（美）国家图书奖¦final award::终局性仲裁裁决¦grammy award::格莱美奖（美国音乐奖项）	The movie has won a number of awards.::该片获得了多个奖项。¦an award-winning restaurant::获奖餐厅
bankruptcy	'bæŋkrʌptsi	ˈbæŋkrʌptsi	n::破产，倒闭	bankruptcy law::破产法¦bankruptcy court::破产法院¦bankruptcy proceedings::破产程序¦bankruptcy code::破产法¦declare bankruptcy::宣告破产¦file for bankruptcy protection::申请破产保护¦trustee in bankruptcy::破产管理人；破产财产受托人¦bankruptcy administrator::破产管理人	In 1999 it was revealed that he was close to bankruptcy.::1999年他被披露几近破产。¦When inflation rises, so do bankruptcies.::通货膨胀加剧，破产个案也会增加。
boarder	'bɔrdɚ	ˈbɔ:də(r)	n::寄宿者		Standing on the floor, a young boarder named Carl was admiring the view.::一位名叫卡尔的寄宿生站在地上，为该情景钦佩不已。¦She quotes, as illustration, her own grandchild, who started at Summerhill recently as a day pupil, but was soon keen to become a boarder.::她用自己的外孙女为例。 起先她只是白天来上课，但是很快，她就想成为寄宿生。¦The villagers who did not escape from the inferno, such as the school teachers and students from RCM boarder, were arrested by the government troop in order to be used as human bomb-shields.::没有逃离这个人间炼狱的村民们，诸如来自RCM寄膳宿者机构的学校教师和学生，都遭政府军逮捕，以充作人肉炸弹盾牌。
brilliant	'brɪljənt	ˈbrɪliənt	adj::才华横溢的	brilliant blue::鲜蓝；酞青；孔雀兰¦brilliant sunshine::灿烂的阳光¦brilliant green::亮绿¦coomassie brilliant blue::考马斯亮蓝¦brilliant yellow::亮黄¦brilliant white::炽白光；亮白¦brilliant orange::亮橙，亮桔红	I think that’s a brilliant idea .::我觉得那是个绝妙的主意。¦a brilliant performance::精湛的演出¦a brilliant young musician::一位才华横溢的年轻音乐家
complacent	kəm'plesnt	kəmˈpleɪsnt	adj::自满的		There’s a danger of becoming complacent if you win a few games.::赢了几场比赛可能就会变得沾沾自喜。¦a complacent attitude towards the problem::对问题满不在乎的态度
conclusive	kən'klusɪv	kənˈklu:sɪv	adj::（事实、证据等）令人信服的，确凿的	conclusive evidence::决定性证据	Her attorneys claim there is no conclusive evidence that any murders took place.::她的律师们声称没有任何发生过谋杀的确凿证据。
crack	kræk	kræk	v::破裂	fatigue crack::疲劳裂纹¦crack down::镇压；取缔；劈啪击下¦crack propagation::裂纹扩展¦crack down on::镇压；制裁¦crack tip::裂纹尖端，裂纹端¦crack growth::裂纹扩展；龟裂增长¦crack on::v. [口]继续疾驶；满帆前进；继续干下去¦crack resistance::抗裂性；抗裂度；裂纹阻力¦crack initiation::裂纹萌生；裂纹开裂¦crack width::裂缝宽度¦crack control::n. 裂绞控制¦crack length::裂纹长度；裂缝长度；裂隙长度¦crack formation::龟裂形成¦get cracking::开始；开始工作；开始移动¦hot crack::[机]热裂，过热裂缝¦crack a smile::[俚]展颜微笑¦transverse crack::横裂；横向裂缝¦crack extension::裂纹扩展；裂纹扩张¦crack detection::裂纹检验¦shrinkage crack::收缩裂缝	Don’t put boiling water in the glass or it will crack.::不要把沸水倒进这个玻璃杯里，否则它会破裂的。¦Concrete is liable to crack in very cold weather.::在严寒的天气条件下混凝土可能会开裂。¦He picked up a piece of rock and cracked it in half.::他捡起一块石头，把它击碎成两半。¦She fell and cracked a bone in her leg.::她摔了一跤，结果一根腿骨骨折。¦He cracked a couple of eggs into a pan.::他往平底锅里打了几个鸡蛋。
credit	'krɛdɪt	ˈkredɪt	n::荣誉，声誉	credit card::信用卡；记帐卡¦letter of credit::n. [商]（银行发行的）信用证¦credit system::信用制度；信贷制度；赊购或赊销制度¦credit risk::信用风险；信贷风险；信用危机¦on credit::赊帐¦credit first::信用第一¦credit rating::信用等级；信誉评价¦credit management::信贷管理；信用调节¦bank credit::银行信贷；银行信用状¦credit standing::信用状况；商业信誉¦credit crisis::信用危机¦credit crunch::信贷紧缩；信贷危机（等于credit crisis）¦credit market::信贷市场；信用市场¦consumer credit::n. 消费信贷；消费品信用贷款¦social credit::社会信贷说¦credit guarantee::信用担保；信贷保证¦irrevocable letter of credit::不可撤销信用证¦rural credit cooperatives::n. 农村信用合作社，农村信用社¦credit information::信用信息；信用情报；信用调查报告¦letters of credit::信用证；信用状	
cue	kju	kju:	n::暗示	on cue::恰好在这个时候¦cue ball::撞球台上的白色球，母球¦cue in::v. 插入；提供消息¦cue stick::桌球杆	She stood nervously in the wings waiting for her cue.::她紧张地站在台侧等待出场的提示。
declare	dɪ'klɛr	dɪˈkleə(r)	v::宣布	declare oneself::显露身分；发表意见¦declare for::v. 表明赞成（拥护）¦nothing to declare::绿色通道；不需报关¦declare bankruptcy::宣告破产¦declare war on::v. 发动进攻；对…宣战¦declare on::宣布	A state of emergency has been declared.::已宣布进入紧急状态。¦Mr Steel has been declared bankrupt::斯蒂尔先生被宣布破产了。¦We celebrate September 16, the day when Mexico declared independence from Spain (= officially stated that it was no longer ruled by Spain ) .::我们在9月16日举行庆祝活动，这一天是墨西哥摆脱西班牙统治宣布独立的日子。
definite	'dɛfɪnət	ˈdefɪnət	adj::明确的	definite integral::定积分¦positive definite::[计]正定的¦definite time::定时¦definite value::定值¦positive definite matrix::正定矩阵¦definite condition::定解条件¦definite article::定冠词the¦definite form::定号形式¦definite quantity::定量	It’s impossible for me to give you a definite answer.::我不可能给你明确的答复。¦We need to record sufficient data to enable definite conclusions to be reached.::我们需要记录足够的数据，才能得出明确的结论。¦He’d shown definite signs of resigning himself to the situation.::他明显表现出安于这种状况的样子。
desperately	'despərətli	'despərətlɪ	adv::极度地		
desperation	,dɛspə'reʃən	ˌdespəˈreɪʃn	n::绝望	in desperation::绝望地；不顾一切地	a look of desperation::绝望的眼神
dreary	'drɪri	ˈdrɪəri	adj::枯燥的，沉闷的		the same dreary routine::一成不变的、乏味的日常事务¦a dreary winter’s day::沉闷的冬日
effective	ɪ'fɛktɪv	ɪˈfektɪv	adj::有效的	effective management::有效管理¦effective measure::有效措施¦cost effective::有成本效益的；划算的；成本效率¦effective rate::实际比率；有效利率¦become effective::开始生效；变为生效¦effective stress::有效应力¦effective utilization::有效利用¦effective demand::n. 有效需求¦effective date::有效日期；生效期¦effective supply::有效供给；有效供应¦effective action::有效行动；有效作用量¦effective work::有效工作，有效劳动¦effective from::生效日期；自…起生效¦effective length::有效长度；计算长度¦effective thickness::有效厚度；有效壁厚¦effective mass::[电]有效质量¦effective power::有效功率¦effective index::有效折射率¦effective value::有效值，实际值¦effective permeability::实际渗透率	The cheaper drugs are just as effective in treating arthritis.::较便宜的药品对治疗关节炎同样有效。¦the painting’s highly effective use of colour::绘画中得心应手的色彩运用¦Training is often much less effective than expected.::训练的效果往往远低于预期。¦the most effective ways of reducing inner city congestion::减少旧城区交通拥挤最有效的办法
erect	ɪ'rɛkt	ɪˈrekt	v::建立		an imposing town hall, erected in 1892::一座气势宏伟的市政厅，建于1892年¦Police have erected barriers across the main roads into the town.::警察在进城的主要道路上设立了路障。
eventual	i'ventʃuəl	ɪˈventʃuəl	adj::最终的		Sweden were the eventual winners of the tournament.::瑞典队是锦标赛的最后赢家。¦Both sides were happy with the eventual outcome of the talks.::双方对会谈的最终结果都感到满意。
fade	fed	feɪd	v::使褪色；逐渐消逝	fade away::逐渐消失¦fade out::v. 淡出；渐弱¦fade in::淡入；渐显¦fade from::从…中消逝¦fade into::渐渐融入于	Hopes of a peace settlement are beginning to fade.::达成和平协议的希望日渐渺茫。¦Over the years her beauty had faded a little.::岁月流逝，她的美貌已略逊当年。
forum	'fɔrəm	ˈfɔ:rəm	n::论坛	world economic forum::（瑞士达沃斯）世界经济论坛¦discussion forum::讨论区¦open forum::开放论坛；公开讨论会¦academic forum::学术讲座，学术论坛¦forum management::论坛管理¦asean regional forum::东盟地区论坛¦exchange forum::交流区；交流论坛	Members of the council agreed that was an important forum for discussion.::理事会成员们一致认为那是一个用于讨论的重要论坛。
gadget	'gædʒɪt	ˈgædʒɪt	n::小配件，小装置		
gaily	'ɡeili	ˈgeɪli	adv::花哨地，艳丽地		gaily coloured tropical birds::色彩艳丽的热带鸟
greed	ɡrid	gri:d	n::贪心		people motivated by jealousy and greed::受妒忌和贪婪驱使的人们
habitual	hə'bɪtʃuəl	həˈbɪtʃuəl	adj::习惯的	habitual abortion::习惯性流产¦habitual residence::通常住址；惯常居所	James took his habitual morning walk around the garden.::詹姆斯又像往常习惯的那样绕花园作晨间散步去了。
highlight	'haɪlaɪt	ˈhaɪlaɪt	v::强调		Last year Collins wrote a moving ballad which highlighted the plight of the homeless.::去年柯林斯写了一首感人的叙事诗，突出描写了无家可归者的苦境。
implant	ɪm'plænt	ɪmˈplɑ:nt	v::灌输	dental implant::牙移植¦cochlear implant::人工耳蜗；耳蜗植入；耳郭灌输治疗	The diagram implanted a dangerous prejudice firmly in the minds of countless economics students.::该图表在无数经济学学生的头脑中牢牢地灌输了一种危险的偏见。
imply	ɪm'plai	ɪmˈplaɪ	v::暗示		an implied threat::隐含的威胁
incalculable	ɪn'kælkjələbl	ɪnˈkælkjələbl	adj::不可估量的		Her contribution to our work is incalculable.::她对我们工作的贡献极大。
inconvenience	,ɪnkən'vinɪəns	ˌɪnkənˈvi:niəns	n::不方便		We apologise for the delay and any inconvenience caused.::我们对延误和由此造成的不便深感抱歉。
inspiration	ˌɪnspəˈreʃən	ˌɪnspəˈreɪʃn	n::灵感		The Malvern Hills have provided inspiration for many artists and musicians over the decades.::几十年来，莫尔文丘陵为很多艺术家和音乐家提供了灵感。¦He raised his eyes to the altar as if seeking inspiration.::他抬头看看祭坛，似乎在寻求灵感。¦He draws inspiration from ordinary scenes.::他从日常生活中得到灵感。¦Mary Quant’s inspiration comes from the glam style of the seventies.::玛莉·官的灵感来自70年代的魅惑风格。¦He had a sudden flash of inspiration.::他突然灵感闪现。¦He has always been a source of inspiration for me.::他一直是我灵感的源泉。
inspire	ɪn'spaɪɚ	ɪnˈspaɪə(r)	v::鼓舞; 激励		We need someone who can inspire the team.::我们需要一个能鼓舞团队士气的人。¦Inspired by the sunny weather, I decided to explore the woods.::阳光明媚的天气令人振奋，我决定到森林里寻幽探胜。
instant	'ɪnstənt	ˈɪnstənt	adj::立即的	in an instant::瞬间；马上¦instant messaging::即时通讯¦for an instant::片刻，瞬间¦instant noodle::方便面；速食面；泡面¦instant food::方便食品；即时食品；速溶食品¦instant coffee::n. 速溶咖啡¦instant message::实时讯息；即时传讯¦instant messenger::即时通讯¦instant tea::速溶茶¦on the instant::adv. 立即；马上	an instant success::马到成功¦a system that provides instant access to client information::能立即查到客户信息的系统¦The women took an instant dislike to one another.::这些女人立刻就彼此厌恶起来。¦The programme brought an instant response.::节目立即引起了反响。
juggle	'dʒʌɡl	ˈdʒʌgl	v::同时应付	juggle with::欺骗；歪曲；玩弄	
lust	lʌst	lʌst	n::欲望;	lust for::贪求	My feelings for Lauren were pure lust.::我对劳伦的感觉纯粹是肉欲。
manufacturer	,mænju'fæktʃərɚ	ˌmænjuˈfæktʃərə(r)	n::制造商，制造厂	automobile manufacturer::汽车制造厂¦parts manufacturer::零件制造者¦original manufacturer::原制造厂¦original equipment manufacturer::原始设备制造商；初始设备厂家	Read the manufacturer’s instructions before using your new dishwasher.::使用新洗碗机之前，请先阅读厂家的说明书。¦The fridge was sent back to the manufacturers.::那台冰箱被退还给厂家了。
mere	mɪr	mɪə(r)	adj::仅仅，只不过	mere trifle::小意思¦a mere nobody::微不足道的人	She lost the election by a mere 20 votes.::她仅仅以20票之差落选。¦He’s a mere child.::他只是个孩子。¦It can’t be a mere coincidence that they left at the same time.::他们同时离开不可能仅仅是巧合。
morale	mə'ræl	məˈrɑ:l	n::士气	good morale::高昂士气；昂扬士气	A win is always good for morale.::胜利总是可以鼓舞士气。¦The failed coup caused a loss of morale within the army.::政变未遂挫伤了军队的士气。¦the Prince’s morale-boosting (= intended to raise morale ) mission to the war﹣torn country::王子去这个饱受战争磨难的国家鼓舞士气的使命
mortgage	'mɔrɡɪdʒ	ˈmɔ:gɪdʒ	n::抵押贷款	housing mortgage::住房按揭¦mortgage loan::按揭贷款；抵押借款¦subprime mortgage::次级房贷¦mortgage market::抵押信贷市场¦home mortgage::住房抵押¦housing mortgage loan::住房抵押贷款¦subprime mortgage crisis::次贷危机¦mortgage lending::抵押贷款；按揭贷款¦mortgage lender::抵押放贷者¦chattel mortgage::n. 动产抵押¦mortgage bankers association::抵押贷款银行家协会¦mortgage debt::抵押债券¦residential mortgage::住宅抵押借款¦reverse mortgage::反向抵押贷款；反向抵押；反向贷款；倒按揭¦mortgage bank::抵押银行¦mortgage assets::抵押资产¦second mortgage::第二抵押权¦first mortgage::第一抵押权¦mortgage banking::银行抵押业务¦mortgage credit::抵押贷款	The bank refused to accept any mortgage on land.::银行拒绝接受任何土地抵押。¦At this point, such claims have no bearing on the mortgage or housing crisis; they have bearing only on the holders of these securities themselves.::从这一点上来说，这些贷款凭证与抵押贷款或住房危机没有任何关系，他们只与拥有这些证券的持有者有关。
neural	'nʊrəl	ˈnjʊərəl	adj::神经的	neural network::神经网络¦fuzzy neural network::模糊神经网络¦neural tube::神经管¦neural crest::神经嵴	signs of neural activity ::神经活动的迹象
outstanding	'aʊt'stændɪŋ	aʊtˈstændɪŋ	adj::杰出的	outstanding achievement::业绩；杰出成就¦outstanding performance::出色表现；杰出的表现¦outstanding work::出色的工作¦outstanding student::优秀学生，杰出学生¦outstanding feature::显著特点¦shares outstanding::净发股票；流通在外股票¦outstanding balance::未清余额¦outstanding debt::未偿还的债务¦outstanding claims::未决赔款，货币索取权¦outstanding question::未决问题¦outstanding amount::债务总额，未偿还部分¦outstanding share::流通在外的股票；已发行股票	an outstanding example of a 13th-century castle::13世纪城堡的杰出典范¦an outstanding success::了不起的成功¦His performance was outstanding.::他的表演相当出色。
overeat	'ovɚ'it	ˌəʊvərˈi:t	v::吃得过多		If you tend to overeat because of depression, first take steps to recognize the source of your sadness.::如果你因为沮丧而打算暴食的话，首先要设法弄清你悲伤的来源。
pandemic	pæn'dɛmɪk	pænˈdemɪk	n::流行病	pandemic influenza::大流行性流感	They feared a new cholera pandemic.::他们担心一种新的霍乱流行病。
