textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
European	'jʊrə'piən	ˌjʊərəˈpɪən	adj::欧洲的；欧洲人的	european union::欧洲联盟，欧盟¦european countries::欧洲国家¦european commission::欧洲委员会¦european style::欧式期权；欧洲式¦european parliament::欧洲议会（缩写为EP）¦european central bank::欧洲中央银行¦european community::n. 欧洲共同市场¦european space agency::欧洲太空总署¦european tour::欧巡赛¦european economic community::欧洲经济共同体（缩写为EEC）¦european monetary union::欧洲货币联盟¦european option::欧式期权；欧式选择权¦european system::欧洲系统¦european common market::欧洲经济共同体¦european beech::欧洲山毛榉；欧洲榉木；欧洲桦木	European languages::欧洲的语言¦our European partners::我们的欧洲伙伴
British	'brɪtɪʃ	'brɪtɪʃ	adj::英国的；英国人的	british columbia::n. 不列颠哥伦比亚（省名，位于加拿大西部）¦british english::英国英语（英国说和写的英语，尤以之与美国英语相区别）¦british empire::大英帝国¦british museum::不列颠博物馆¦british airways::英国航空公司¦british isles::不列颠群岛¦british council::n. 英国文化委员会¦british commonwealth::英联邦¦british broadcasting corporation::英国广播公司（BBC）¦british system::英制¦british person::英国人¦british open::[高尔夫球]英国公开赛¦british virgin islands::英属维尔京群岛（英国在小安的列斯群岛最北部的殖民地，首府罗德城）¦british west indies::英属西印度群岛¦british india::英属印度（原为印度的一部分，后分属印度和巴基斯坦）¦british north america::英属北美；英国保险公会北美洲保险区域¦british telecom::英国电信公司	the British government::英国政府¦a British-born scientist::一名英国出生的科学家
speech	spitʃ	spiːtʃ	n::讲话；言语能力；演讲	speech recognition::语音辨识¦freedom of speech::言论自由¦speech signal::语言信号，语音信号¦speech act::言语行为¦make a speech::发表演讲¦free speech::n. 言论自由¦speech contest::演讲比赛¦figure of speech::修辞；比喻说法¦figures of speech::修辞格；修辞手法；形象化比喻¦give a speech::做演讲¦part of speech::[语]词性，词类¦speech synthesis::语音合成；言语合成¦speech communication::言语交际¦parts of speech::词类；词性¦keynote speech::会上发表的主要讲话；政党代表大会上关于施政方针的演说¦speech quality::声音品质；话音质量¦opening speech::开幕致辞¦indirect speech::n. 间接引语¦speech sound::语音¦speech production::言语生成；语言产生	...the development of speech in children.::…孩子言语能力的发展。¦Intoxication interferes with speech and coordination.::醉酒影响言语能力和协调性。¦He has to make a lot of after-dinner speeches .::他经常要发表席后演说。
ant	ænt	ænt	n::蚂蚁	fire ant::火蚁	Ants swarmed up out of the ground and covered her shoes and legs.::蚂蚁从地里成群地爬出来，爬满了她的鞋和腿。
insect	'ɪnsɛkt	'ɪnsekt	n::昆虫	insect pest::害虫¦insect resistance::昆虫抗药性；防蛀性；耐虫性¦insect bite::昆虫咬伤；被虫咬伤；蚊虫叮咬¦insect damage::昆虫损坏；虫害¦insect repellent::n. 杀虫剂¦insect control::病虫害防治；昆虫防治¦social insect::社会性昆虫；群居昆虫	an insect bite::昆虫的叮咬¦flying insects::飞虫¦Don’t forget to bring insect repellant (= a chemical to keep insects away ).::不要忘记带上驱虫剂。
influence	'ɪnfluəns	'ɪnflʊəns	n::影响¦v::影响	influence on::对…的影响¦under the influence::酒醉的¦influence in::干涉；介入¦under the influence of::在…的影响之下¦influence factor::n. 影响因素；电话干扰系数¦negative influence::不利影响；消极作用；负影响¦direct influence::直接影响¦bad influence::坏影响¦positive influence::正面影响，积极影响¦have influence on::对...有影响¦social influence::社会影响¦environmental influence::环境影响¦influence coefficient::影响系数¦sphere of influence::势力范围；影响范围¦influence area::影响区域¦undue influence::n. 不正当影响；[律]不正当压力¦external influence::外部影响；外来因素；外界影响¦influence line::[物]影响线¦exert an influence on::对……产生影响¦influence matrix::影响线矩阵	As a scientist, his influence was immense.::身为一名科学家，他的影响力极大。¦Marx was strongly influenced by the historian Niebuhr.::马克思深受历史学家尼布尔的影响。
seldom	'sɛldəm	'seldəm	adv::不常；很少	seldom or never::极难得,简直不,几乎不：\n\nHe seldom or never drinks.\n他简直可以说滴酒不沾。	Karen had seldom seen him so angry.::卡伦很少见他这么生气过。
proud	praʊd	praʊd	adj::自豪的；骄傲的	proud of::为…而感到骄傲	Seth was the proud owner of a new sports car.::赛思因为有了新跑车而扬扬得意。
be proud of			::为...骄傲；感到自豪		You are the pride of us , you will be proud of us in the future.::你现在是我们的骄傲，我们将来才能是你的自豪。
absent	ˈæbsnt;(for v.)əbˈsɛnt	ˈæbsənt;(for v.)əbˈsent	adj::缺席的；不在的	absent from::缺席¦absent minded::健忘的¦absent from work::旷工；缺勤	students who are regularly absent from school::经常缺课的学生
fail	fel	feɪl	v::失败；未能（做到）	fail in::失败；缺少¦without fail::务必；必定，无疑¦never fail to::一定会...¦fail to do::失败；未做成¦fail safe::故障保护；失效安全¦fail to resolve::解决未果¦words fail me::说不出话来	It looks likely that the peace talks will fail.::看来和平谈判可能会失败。¦Millions of people have tried to quit smoking and failed miserably (= been completely unsuccessful ).::数百万人戒过烟，都以惨败告终。¦his efforts to save his failing marriage::他挽救自己濒危婚姻的努力¦If all else fails, you may be advised to have an operation.::要是其他方法都不见效的话，恐怕你还是动手术的好。¦The government are failing in their duty to protect people. ＃::该政府未能尽到保护人民的责任。
examination	ɪg'zæmə'neʃən	ɪg,zæmɪ'neɪʃ(ə)n; eg-	n::考试；审查	entrance examination::入学考试¦examination and approval::审查准许¦college entrance examination::高考；大学入学考试¦physical examination::体格检查¦take an examination::参加考试¦medical examination::体格检查，健康检查¦final examination::期末考试¦metallographic examination::金相检验¦examination questions::试题；考题（examination question的复数）¦examination paper::考试卷¦examination result::考试结果，成绩；核赔结论¦clinical examination::临床检查；临床检验¦on examination::检查中¦examination room::考场；检查室¦microscopic examination::显微镜检查；微观组织检查；金相试验¦laboratory examination::n. 实验室试验¦comprehensive examination::综合考试；综合测验¦routine examination::常规检查¦ultrasonic examination::超声波检查¦written examination::笔试；书写测查	The examination results will be announced in September.::考试成绩将于9月公布。¦He’s already taken the entrance examination.::他已经参加了入学考试。¦The issues need further examination. ＃::这些问题需要进一步考察。
boarding school			::寄宿学校		She and her brother are both at boarding school.::她和她弟弟都在寄宿学校念书。¦"It was school, " she said. "I went to a boarding school.::“都是学校做的好事”，她说，“我去了一所寄宿学校。¦I can stand Janet now. She and her brother are both at boarding school.::维罗尼卡说，“我现在能受得了珍妮特，她兄妹两都在寄宿学校。”
leaf	lif	liːf	n::叶子	leaf blade::叶片¦in leaf::有叶子的；叶茂的；长满叶子的¦leaf area::叶面积；叶面¦tobacco leaf::烟叶¦lotus leaf::荷莲叶¦maple leaf::n. 枫叶¦leaf surface::叶面¦tea leaf::茶叶¦leaf spot::[植物病理学]叶斑病¦leaf spring::弹簧片，钢板弹簧¦mulberry leaf::桑叶¦leaf sheath::叶鞘¦gold leaf::n. 金叶；金箔¦leaf margin::叶缘¦red leaf::红叶病；红色的叶子¦leaf base::叶基¦leaf node::叶节点¦door leaf::门扉，门扇¦loquat leaf::枇杷叶，枇杷叶粉末¦leaf through::迅速翻阅	a flowering bush with large shiny leaves::叶子大而油亮的开花灌木
in person			::亲身；亲自		You have to sign for it in person.::你必须亲自签收。
exactly	ɪɡ'zæktli	ɪg'zæk(t)lɪ	adv::确切地；精确地		It’s exactly half past five.::一分不差，正好5点半。¦The figures may not be exactly right, but they’re close enough.::那些数字可能不是非常精确，但也相当接近。
pride	praɪd	praɪd	n::自豪；骄傲	pride in::以…为傲¦the pride of::...的全盛期¦take pride in::v. 以…为傲¦pride and prejudice::《傲慢与偏见》¦pride of place::头等重要的位置；首要地位；傲慢¦national pride::民族自豪感¦false pride::n. 妄自尊大；虚荣¦pride of life::[古语]排场;虚荣[亦作 pride of the world]¦proper pride::自尊心¦in the pride of::处于…的顶峰(或最佳状态)¦pride oneself on sth::以某事物为自豪¦pride oneself on::使得意¦pride of the morning::清晨的薄雾和阵雨(天晴的预兆)¦pride of the desert::骆驼¦pride of one's youth::青春	He wore his medals with pride.::他自豪地戴着奖章。¦The people have a sense of pride in their community.::人们对自己的社区有一种自豪感。¦His heart swelled with pride when his daughter came in.::女儿进来时他的内心充满了自豪感。¦She felt a glow of pride when her name was announced for the prize.::宣布她获奖时她感到非常自豪。¦Success in sport is a source of national pride .::体育方面的成就可以激发民族自豪感。
take pride in			::为...感到自豪		It is right that we should care about and take pride in the way we express ourselves.::我们就应该时时在意自己的表达方式，并且要引以为豪，这也是应有的态度。¦I take pride in your achievements and avail myself of this opportunity to extend to you my best wishes for your success and happiness.::我为你的成绩感到骄傲，并借此机会向您致以良好的祝愿，祝你今后取得更大的成绩，幸福愉快。
grandson	'ɡrænsʌn	'græn(d)sʌn	n::孙子；外孙		My grandson's birthday was on Tuesday.::我孙子的生日是星期二。
general	'dʒɛnrəl	'dʒen(ə)r(ə)l	adj::普遍的；常规的；总的¦n::将军	(army) general::将军¦in general::总之，通常；一般而言¦general manager::总经理¦general situation::概况，一般状况¦general public::公众¦general assembly::联合国大会¦general principle::一般原则；一般原理；普遍原理¦general administration::总管理处¦general office::办公厅；总务处¦general purpose::adj. 通用的¦general theory::一般理论；统一理论¦general rule::通则；一般规则¦general education::[法]普通教育¦general plan::总体规划；总图¦general trend::一般趋势¦general design::总体设计¦general hospital::总医院；综合医院¦general information::一般信息；基本资料；总说明¦general idea::大意，梗概¦secretary general::秘书长	There has been a general decline in standards.::道德水准普遍下降。¦ways to improve your general health::全面提高身体素质的方法¦The General's visit to Sarajevo is part of preparations for the deployment of extra troops.::那位将军对萨拉热窝的访问是为部署更多军队所做的准备工作的一部分。
introduction	,ɪntrə'dʌkʃən	,ɪntrə'dʌkʃ(ə)n	n::介绍	introduction of::引进；引入¦brief introduction::简介；简短介绍¦letter of introduction::介绍信¦sample introduction::进样；样品导入¦plant introduction::植物引入，植物引种；引进的植物¦introduction of foreign technology::引进外国技术¦introduction to database::数据库概论¦business introduction::业务介绍	Pete, are you going to make the introductions?::皮特，你来作一下介绍吧。¦Our first contestant needs no introduction (= everyone already knows the person ).::我们的第一位参赛者就不用介绍了。
Paula	'pɔ:lə	'pɔ:lə	::葆拉 （女名）		Peter asks Paula to go to dinner.::彼得请保拉去共进晚餐。¦Peter says, 'We could order some pizza and then watch the golf on TV!' Paula becomes silent.::彼得说：“我们叫比萨饼外卖，然后一边吃一边开电视看高尔夫球！” 保拉不说话了。
Alfred	'ælfrɪd	'ælfrid; -fred	::艾尔弗雷德（男名）	alfred nobel::阿尔弗雷德·诺贝尔（瑞典化学家）¦alfred hitchcock::阿尔弗雷德·希区柯克（英国导演）¦alfred north whitehead::怀德海	"On going around with the boys, I guess." said Alfred.::“我想是和朋友们一起出去，”艾尔弗雷德说。¦I admire Jay's and Alfred's translations, but I just do my own thing, my own take on what Murakami should sound like in English.::我很欣赏杰和阿尔弗雷德的译文，但我只会做我自己的事情。 我在翻译中坚持译文应该是地道的目标语言。¦Neither Alfred nor I had had any training as teachers, and I at least had no books for the lessons in French, maths and physics that I was supposed to give.::阿尔弗雷德来自南罗得西亚，我俩谁也没有接受过任何正规的教学培训，至少，我连任何要教授的法语、数学和物理课程的书籍都没有。
Billy			::比利（男名）	billy joel::比利·乔（美国歌手）¦silly billy::[口]傻瓜；笨蛋	Billy：But what if my friends see me.::比利：但要是我朋友看到怎幺办。¦I tell you, Billy, she’s an angel.::我对你说，比利，她真是一个天使。
Candy			::坎迪（女名）	candy store::糖果店¦candy bar::n. 单独包装的块状糖¦cotton candy::棉花糖¦hard candy::硬糖¦rock candy::冰糖¦eye candy::花瓶角色；华而不实¦sugar candy::冰糖；甜蜜的东西¦candy cane::柺杖糖；甘蔗	
Jerry			::杰里（男名）；杰丽（女名）	tom and jerry::汤姆和杰里（动画片名，又译猫和老鼠）；吃喝玩乐的浪荡子¦jerry maguire::甜心先生（电影名，又名杰里·马奎尔、征服情海）	
Emily	'emili	'eməlɪ	::埃米莉（女名）	emily dickinson::n. 艾米莉·迪金森（美国十九世纪著名女诗人）	At times, Henrietta would tell me she felt slightly guilty that Emily enjoyed staying with her so much.::有时，亨利埃塔会对我说，埃米莉如此喜欢和她待在一起，让她感到有些内疚。¦With my family –my wife Mona and our children Emily, Dylan, and Madeline –we’re excited to have this opportunity to serve the President and the people of the United States of America.::我和我的家人──即我的夫人蒙娜以及我们的孩子埃米莉、迪伦和梅德林──都很兴奋有这个机会为美国总统及美国人民效劳。
material	mə'tɪrɪəl	mə'tɪərɪəl	n::衣料，布料；材料，原料	raw material::原料¦teaching material::教学内容；教学资料¦new material::新材料¦building material::建筑材料¦composite material::复合材料¦main material::[经]主要材料¦material resources::物质资源¦material science::材料科学¦material flow::n. 物料流，物质流；原料周转¦packing material::包装材料；填充材料¦construction material::建筑材料¦packaging material::n. 包装材料，包装物¦insulation material::[电]绝缘材料¦base material::基础材质¦material handling::原料处理；物料运输¦material management::材料管理¦material consumption::物料消耗；材料耗用¦plastic material::塑性材料，塑料¦basic material::基本原料¦reference material::参考资料；参考材料	curtain material::窗帘布¦scraps of material::碎布料¦a cape made of a soft material::用柔软布料制成的披肩¦Crude oil is used as the raw (= basic) material for making plastics.::原油是制造塑胶的原料。
chopsticks	'tʃɑp,stɪks	'tʃɒpstɪks	n::筷子	disposable chopsticks::一次性筷子	We still lack a pair of chopsticks.::还少一双筷子。¦Before lunch he taught the foreigner how to use chopsticks.::午饭前他教那个外国人怎样使筷子。
coin	kɔɪn	kɒɪn	n::硬币	gold coin::金币；小钱¦false coin::n. 假币¦silver coin::银币¦copper coin::n. 铜币¦flip a coin::抛钱币（决定）¦toss a coin::抛硬币决定问题；掷硬币猜正反面的赌博¦coin money::vi. 暴富；获暴利¦current coin::◎通货(指铸币)¦coin purse::装硬币的钱包；钱包；零钱袋¦commemorative coin::纪念币	Toss a coin to see who goes first.::抛硬币决定谁先来。
fork	fɔrk	fɔːk	n::餐叉，叉子	knife and fork::刀叉¦tuning fork::音叉¦fork lift::铲车，叉车；叉式装卸车；万能装卸车¦fork out::v. 支付；放弃¦fork in the road::岔路，三岔路口¦fork truck::叉车；叉式运货车¦fork lift truck::叉车，叉式装卸车；堆高机¦fork lifter::叉车；叉式升降机¦dinner fork::餐叉¦front fork::前叉¦fork and spoon::叉子与勺子¦salad fork::生菜叉；糕点叉¦shifting fork::变速叉，换挡拨叉；齿轮换档叉¦fish fork::鱼叉；吃鱼用叉	Put the knives and forks on the table.::把刀叉摆放在桌子上。
blouse	blaʊs	'blaʊz	n::（女士）短上衣；衬衫		a silk blouse::丝质女衬衫
sliver	'slɪvɚ	'slɪvə; 'slaɪ-	n::小块，薄片；碎片，裂片		a sliver of glass ＃::一块玻璃碎片
glass	ɡlæs	glɑːs	n::玻璃	glass fiber::玻璃纤维¦a glass of::一杯¦glass in::用玻璃把…围(或封)住¦glass products::n. 玻璃制品¦glass transition::[物]玻璃转化¦float glass::[化]浮法玻璃¦a glass of water::一杯水¦glass fibre::玻璃纤维¦water glass::n. [化]水玻璃；硅酸钠；盛水的玻璃容器；古代计时用的滴漏¦glass transition temperature::玻璃化温度；玻璃转换温度¦optical glass::光学玻璃¦tempered glass::钢化玻璃；强化玻璃；回火玻璃；淬火玻璃¦glass bottle::玻璃瓶¦insulating glass::中空玻璃¦broken glass::被打碎的玻璃¦glass door::n. 玻璃门¦glass curtain wall::玻璃幕墙¦magnifying glass::n. 放大镜¦glass tube::n. 玻璃管¦quartz glass::石英玻璃	a glass bowl::玻璃碗¦a piece of broken glass::一块碎玻璃片¦the cathedral’s stained glass windows::教堂的彩色玻璃窗
cotton	'kɑtn	'kɒt(ə)n	n::棉；棉花	cotton fabric::棉布；棉纤物¦cotton yarn::棉纱；棉纱线¦cotton fiber::棉纤维¦cotton spinning::棉纺；棉纺工艺¦cotton cloth::棉布¦cotton textile::棉纺织品¦raw cotton::原棉；未加工棉¦cotton ball::棉球；硼钠钙石¦cotton wool::原棉；棉绒；脱脂棉¦cotton fibre::棉纤维¦cotton goods::棉制品；棉纺织品；应交税的商品¦cotton thread::棉线¦white cotton::白棉花¦cotton pad::化装棉；棉褥¦cotton piece goods::棉布匹¦combed cotton::精梳棉；精棉；精梳棉纱¦organic cotton::有机棉¦cotton mill::n. 纺织厂¦cotton canvas::棉帆布；棉质油画布¦cotton bollworm::棉铃虫	a white cotton shirt::白色棉布衬衫¦Made from 100% cotton.::百分之百纯棉制作。¦..a large cotton plantation in Tennessee.::…位于田纳西州的一个大棉花种植园。
steel	stil	stiːl	n::钢；钢铁	stainless steel::不锈钢¦iron and steel::钢铁¦steel industry::钢铁工业；钢铁业；炼钢工业¦carbon steel::[化]碳钢，碳素钢¦steel pipe::钢管¦steel structure::钢结构¦steel wire::钢丝¦steel plate::[冶]钢板¦steel tube::钢管¦alloy steel::合金钢¦iron and steel industry::钢铁工业¦steel production::钢铁生产；炼钢¦stainless steel products::不锈钢制品（stainless steel product的复数）¦steel sheet::钢片；薄钢板¦molten steel::钢水¦steel bar::钢筋；棒材；型钢；条钢¦steel plant::钢铁厂；炼钢厂¦steel fiber::钢纤维；金属纤维¦cast steel::铸钢，坩埚钢¦special steel::特殊钢	a steel bridge::钢铁大桥¦stainless steel (= steel that does not change colour ) knives::不锈钢小刀
grass	ɡræs	grɑːs	n::草；草地	on the grass::在草地上¦green grass::绿色草，青草¦forage grass::饲草¦grass carp::草鱼，鲩鱼¦grass land::草地；草滩¦keep off the grass::不践踏草地；小心¦grass root::基层；草根¦dry grass::干草¦grass seed::牧草种子；草籽¦grass green::n. 草绿色¦lemon grass::（柠檬）香茅¦tall grass::茂草；高茎草¦artificial grass::人造草皮¦leaves of grass::草叶集（惠特曼的诗集）¦sea grass::海草¦go to grass::◎(牲畜)被放牧在草场上，放牧，放草¦pasture grass::牧草¦grass cloth::夏布¦grass court::草地网球场¦bahia grass::[植]百喜草；巴哈雀稗	She enjoyed the feel of grass beneath her feet.::她喜欢踩在草上的感觉。¦I walked across the grass.::我走在草地上。¦Keep off the grass.::请勿践踏草地。
leaf.	lif	liːf	n::叶；叶子	leaf blade::叶片¦in leaf::有叶子的；叶茂的；长满叶子的¦leaf area::叶面积；叶面¦tobacco leaf::烟叶¦lotus leaf::荷莲叶¦maple leaf::n. 枫叶¦leaf surface::叶面¦tea leaf::茶叶¦leaf spot::[植物病理学]叶斑病¦leaf spring::弹簧片，钢板弹簧¦mulberry leaf::桑叶¦leaf sheath::叶鞘¦gold leaf::n. 金叶；金箔¦leaf margin::叶缘¦red leaf::红叶病；红色的叶子¦leaf base::叶基¦leaf node::叶节点¦door leaf::门扉，门扇¦loquat leaf::枇杷叶，枇杷叶粉末¦leaf through::迅速翻阅	a flowering bush with large shiny leaves::叶子大而油亮的开花灌木
produce	prəˈdus;(for n.)ˈprɒdus; prɑdus	prəˈdju:s;(for n.)ˈprɒdju:s	v::引起；造成；产生；制造；生产；出产	farm produce::农产品¦dairy produce::乳制品¦produce electricity::发电¦produce results::产生结果¦native produce::土特产品，土产品¦capacity to produce::生产能力¦produce evidence::提出证据¦mass produce::批量生产¦produce grain::生产粮食；谷物制造¦produce department::生产部	New drugs are producing remarkable results .::新药正在产生显著的效果。¦a rise in sea level produced by climatic change::由气候变化引起的海平面升高¦As a policy, it did not produce the desired effect .::作为一项政策，它并未产生预期的效果。¦The factory produces an incredible 100 cars per hour.::那家工厂一小时生产100辆汽车，令人难以置信。¦This region produces the grapes used in champagne.::该地区出产酿造香槟酒用的葡萄。
widely	'waɪdli	'waɪdlɪ	adv::广泛地；普遍地		Organic food is now widely available.::现在有机食品很多地方都可买到。¦an author who had travelled widely in East Asia::曾游历东亚各地的一位作家¦a widely used method::广泛使用的方法¦These laws were widely regarded as too strict.::人们普遍认为这些法令太苛刻。¦This view was not widely held.::这种观点并不普遍。
process	proˈsɛs;(for n.)prɑsɛs	prəˈses;(for n.)ˈprəʊses	v::加工；处理	process of::…的过程¦in the process of::在…的过程中¦in the process::在过程中；在进行中¦in process::过程中的；在进行中¦production process::生产流程¦development process::发展进程，显色法；开发流程，开发程序¦technological process::工艺流程¦process control::过程控制；程序控制¦manufacturing process::制造过程；制造工艺；生产过程¦design process::设计过程，设计程序；设计加工¦forming process::成形工序，成形过程；成形法¦new process::新工艺¦process flow::工序流程¦working process::工作过程；制作过程¦business process::业务流程；业务处理¦in process of::正在；在…过程中¦developing process::发展过程；展开法¦welding process::焊接过程；熔接法¦process technology::加工工艺学¦process conditions::工艺条件；生产过程条件	Goats’ cheese may be processed in many ways.::山羊奶干酪可以有多种加工方法。¦Two million workers are employed processing goods for electronic firms.::200 万名工人受雇为电子公司加工产品。¦All university applications are processed through this system. ＃::所有大学入学申请都是由这个系统处理的。
France		frɑːns	::法国	tour de france::环法自行车赛¦france telecom::法国电信公司	Germany borders on France.::德国与法国接壤。¦Red wine made in France is famous for its high quality.::法国出产的红葡萄酒以质优而闻名。
no matter			::不论；无论		The effect of pushing the button is the same no matter who does it.::不论是什么人去按电钮， 其效果都是一样的。
local	ˈloʊkl	'ləʊk(ə)l	adj::当地的；本地的	local government::地方政府；[总称]地方政府官员（或工作人员）¦local area network::n. 局域网¦local culture::本土文化；地方文化¦local community::本地社区；区域群落¦local time::当地时间¦local network::区域网络，局部网络；本地网络；市话网络¦local tax::地方税¦local authority::地方当局；地方政权¦local minimum::局部最小值¦local finance::地方财政¦local optimum::局部最优¦local color::乡土特色；地域色彩（等于local colour）¦local knowledge::局部知识¦local level::地方层面；当地水平面¦local information::本地信息，当地信息；地方情报¦local product::土产¦local bank::地方银行；本地银行¦local official::当地官方¦local police station::当地警察派出所¦local currency::n. 本国货币	local hospital::当地医院¦local residents::本地居民
even though			::虽然；即使		I have friends even though I am a man of few words. ＃::虽然我是个寡言的人，但我也有自己的朋友。
brand	brænd	brænd	n::品牌；牌子	famous brand::名牌，名牌货¦brand new::全新的；崭新的¦brand image::品牌形象¦brand name::商标名称¦own brand::自有品牌；使用自己商标的商品¦international brand::国际品牌¦brand awareness::品牌意识，商标意识；品牌知名度¦name brand::名牌¦new brand::新品牌；新牌子¦national brand::全国性品牌；国家名牌；全国性商标¦brand effect::品牌效应¦brand extension::品牌延伸¦brand equity::品牌价值；商标资产¦brand loyalty::品牌忠诚度¦brand identity::品牌识别；品牌标识；品牌同一性¦brand recognition::品牌认知；品牌识别¦brand name products::品牌产品¦private brand::私人品牌¦brand new day::崭新的一天（电影名称）¦local brand::区域性品牌	products which lack a strong brand image::缺乏鲜明品牌形象的产品
avoid	ə'vɔɪd	ə'vɒɪd	v::避免；回避	avoid doing::避免做某事；逃避…	Road safety is taught to young children to avoid road accidents.::小孩子受到道路安全知识的教育，以避免交通事故。¦It is important to take measures to avoid the risk of fire.::采取措施避免火灾风险很重要。¦Alan narrowly avoided an accident.::艾伦险出事故。¦She carefully avoided his eyes (= did not look directly at his face ) . ＃::她小心地避开他的目光。
product	'prɑdʌkt	'prɒdʌkt	n::产品；制品	product quality::产品质量¦product development::产品开发；产品发展¦product design::产品设计¦product line::生产线；产品线；产品系列¦finished product::制成品¦quality product::优质产品¦domestic product::国内产品；本地生产¦product information::产品信息¦aquatic product::水产品¦gross domestic product (GDP)::国内生产总值¦gross domestic product (gdp)::国内生产总值¦gross domestic product::国内生产总值¦quality of product::产品质量¦product performance::产品性能¦electronic product::电子产品；电子设备制造业¦product range::产品范围；产品系列；产品类别¦final product::最终产品；最后产物¦product cost::产品成本¦national product::国民产值；社会产品¦product mix::产品结构；产品搭配组合	The London factory assembles the finished product .::伦敦工厂组装成品。¦He works in marketing and product development.::他从事营销和产品开发。
handbag	'hænd'bæg	'hæn(d)bæg	n::小手提包	is this your handbag::这是你的手提包吗¦leather handbag::皮手提包，皮手袋	A man twitched the handbag from her hand.::一个人从她手中抢走了手提包。¦The policeman turned the contents of her handbag out onto the table.::警察把她手提包里的东西全倒在了桌上。¦I always have one in my handbag and it has never failed me.::我经常在我的手提包里放上一个，并且它从来都没有让我失望。
mobile	ˈməʊbl;mobil	ˈməʊbaɪl	adj::可移动的；非固定的	mobile phone::手机；行动电话¦mobile communication::移动式通信¦china mobile::中国移动通讯（世界500强之一）¦mobile robot::移动式遥控装置¦mobile telephone::n. 手机；移动电话；大哥大¦mobile phase::（色谱分析的）流动相¦mobile device::移动设备，移动装置；行动装置¦mobile service::移动业务；手机服务¦mobile platform::动平台；可自行移动的近海钻井平台；移动式平台；流动平台¦mobile station::[电信]移动电台¦mobile number::手机号码¦mobile equipment::移动设备，移动式设备¦mobile crane::移动吊车，移动式起重机¦mobile radio::移动式无线电通信；移动无线电通信；移动式无线电台¦mobile library::流动图书馆；图书馆车；宣传车¦mobile home::n. （拖车型）活动房屋；拖车住房¦mobile computer::笔记型电脑，移动计算机¦mobile carrier::动态载体；可动载流¦upwardly mobile::adj. （社会、经济地位）向上升的，有上升趋势的¦mobile unit::车载设备	mobile air-conditioners::移动式空调器
Germany	'dʒɝməni	'dʒɜːmənɪ	::德国	west germany::西德（原德意志联邦共和国的简称）¦made in germany::德国制造（商品标记）¦east germany::东德¦federal republic of germany::德意志联邦共和国	Germany borders on France.::德国与法国接壤。¦The news aroused much fear in Germany.::这消息在德国引起很大恐慌。¦The new Nazism is resurging in some places in Germany.::新纳粹主义正在德国的一些地方复活。
surface	'sɝfɪs	'sɜːfɪs	n::表面；表层	on the surface::在表面上，外表上¦surface treatment::表面处理¦surface area::表面面积；曲面面积¦surface quality::表面质量；表面符号；外观要求¦surface water::[地]地表水¦surface roughness::表面粗糙度；表面光洁度¦surface modification::表面改质；表面饰变¦surface tension::表面张力¦surface temperature::表面温度；地表温度；表层水温¦surface layer::表层¦specific surface::比表面；比表面积；表面系数¦road surface::路面¦curved surface::弯曲表面¦specific surface area::比表面积¦smooth surface::光滑表面；光滑面；平滑面¦ground surface::地面；磨光面；地表面¦earth's surface::地球表面¦inner surface::内表面¦water surface::水面；水表面；油水介面¦surface structure::表面结构，表层结构	Nearly 10% of the Earth’s surface is covered by ice.::地球表面将近 10% 被冰层覆盖。¦Gas bubbles in any liquid tend to rise to the surface .::在任何液体中气泡往往都会浮到表面。
postman	'postmən	'pəʊs(t)mən	n::邮递员		That postman is in charge of this route.::那个邮递员负责这条投递线路。
cap	kæp	kæp	n::（尤指有帽舌的）帽子	cap rock::[地质]冠岩；盖岩¦bottle cap::瓶盖¦pile cap::桩帽¦cap in hand::毕恭毕敬地；谦恭地¦baseball cap::棒球帽¦to cap it all::更加；更有甚者¦gas cap::气顶；气冠；油箱门¦ice cap::[地]冰盖；冰冠¦salary cap::工资上限¦end cap::管端盖板；后盖¦toe cap::鞋头¦screw cap::螺帽¦put a cap on::限制；控制；制止¦root cap::根冠¦valve cap::阀盖¦shower cap::n. 淋浴时用的塑胶浴帽¦spherical cap::球冠¦swimming cap::泳帽¦bubble cap::泡罩；泡帽¦cap screw::有头螺钉	...a dark blue baseball cap.::…一顶深蓝色的棒球帽。
glove	ɡlʌv	glʌv	n::（分手指的）手套	velvet glove::外柔内刚；表面温和的东西¦hand in glove::合作；勾结着；亲密地¦glove box::手套箱；手套式操作箱（真空设备用）¦fit like a glove::完全相合；恰好¦data glove::数据手套¦take up the glove::(向…)应战；接受(…的)挑战[亦作 gantlet]¦take off the gloves::不饶恕¦baseball glove::棒球手套¦glove leather::手套皮¦leather glove::皮手套¦boxing glove::拳击手套¦glove compartment::n. （汽车仪表板上的）贮物箱¦put on the gloves::[口语]从事拳击¦with the gloves off::认真地;毫不留情地[亦作 without gloves]	a pair of gloves::一副手套¦boxing gloves::拳击手套
