abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
lash	læʃ	læʃ	n&v::鞭打，责骂；眼睫毛::to hit a person or animal very hard with a whip, stick etc	lash out::猛击；猛烈抨击；大肆挥霍	Oliver lashed the horses to go faster.::奥利弗快马加鞭。	vt::鞭打；冲击；摆动；扎捆；煽动；讽刺::fan, hide, egg, strike¦vi::鞭打；猛击；急速甩动::drive, belt¦n::鞭打；睫毛；鞭子；责骂；讽刺::hit, flogging	n::lashing:: 鞭打；叱责；痛骂¦n::lasher:: 堰（下的水塘）；鞭打者；用来捆绑的绳索¦v::lashing:: 抨击（lash的ing形式）；鞭打；猛烈摇动					
latent	'letnt	'leɪt(ə)nt	adj::潜在的；潜伏的::something that is latent is present but hidden, and may develop or become more noticeable in the future	latent heat::潜伏热¦latent energy::潜能¦latent period::[医]潜伏期；等待周期；反应时间差（介于受刺激与作出反应之间的时间）¦latent image::潜像；潜象；隐像¦latent variable::潜变量¦latent infection::潜伏性感染¦latent heat of vaporization::[化]汽化潜热¦latent demand::[经]潜在需求	latent aggression::潜在的侵略	adj::潜在的；[无脊椎]潜伏的；隐藏的::potential, hidden, underlying	n::latency:: 潜伏；潜在因素	actual	 lat(看作late， 后面的) + ent(形容词后缀) → 后面的 → 潜在的， 潜伏的			
lateral	'lætərəl	'læt(ə)r(ə)l	adj::侧面的；旁边的::relating to the sides of something, or movement to the side	lateral displacement::横向位移，侧向位移；侧方移位¦lateral pressure::侧压；旁压力¦lateral stiffness::横向刚性，横向刚度¦lateral load::横向荷载，横向负荷；冲力¦lateral force::侧向力¦lateral movement::横向运动¦amyotrophic lateral sclerosis::肌萎缩性脊髓侧索硬化症¦lateral ventricle::侧脑室¦lateral direction::横向¦lateral stability::横向稳定性，侧向稳定性；横稳性，侧稳度¦lateral acceleration::侧向加速度；横向加速率¦lateral earth pressure::水平土压；横向土压力；侧向土压力¦lateral flow::侧流；横向流¦lateral position::侧卧位¦lateral deflection::[电]旁向偏转¦lateral thinking::横向思维；水平思考¦lateral bending::横向弯曲；侧向弯曲¦lateral resolution::横向分辨率¦lateral line::支线，侧线¦lateral support::横向支承	The wall is weak and requires lateral support.::墙体不坚固，需要从侧面加以支撑。	adj::[解剖]侧面的，横向的::sided, transverse¦n::侧部；[语]边音::sidepiece	adv::laterally:: 旁边地¦n::laterality:: 对一侧面的偏重¦n::lateralization:: （尤指脑部的）偏侧优势；偏侧性¦vt::lateralize:: 使向侧面		 later(侧面， 边) + al → 侧面的			
latitude	'lætɪtud	'lætɪtjuːd	n::纬度；地区；(言论，行动的)自由::the distance north or south of the equator(= the imaginary line around the middle of the world ), measured in degrees	latitude and longitude::经纬度¦north latitude::北纬¦high latitude::高纬度¦middle latitude::中纬度；中间纬度¦wide latitude::广泛的行动自由¦northern latitude::n. 北纬¦south latitude::南纬	The birds breed in northern latitudes.::这些鸟在北纬地区繁殖。	n::[地理]纬度；界限；活动范围::bourn, circumscription	adj::latitudinal:: 纬度的		 和attitude(n. 态度)一起记			
laudable	'lɔdəbl	'lɔːdəb(ə)l	adj::值得称赞的::deserving praise, even if not completely successful		a laudable attempt::值得称道的尝试		adj::laudatory:: 赞美的；赞赏的；称赞的¦adv::laudably:: 值得赞赏地；可嘉地；可佩地¦n::laud:: 赞美；称赞；颂歌¦n::laudability:: 值得称赞；值得佩服¦n::laudableness:: 值得赞赏；值得佩服¦vt::laud:: 赞美；称赞					
launch	lɔntʃ	lɔːntʃ	v::使(船)下水，发射,开始,开办::to start something, usually something big or important¦n::下水,汽艇::a large boat with a motor¦v::"::	launch vehicle::运载火箭¦product launch::产品发布¦launch pad::n. 发射台¦launch site::发射场；发射区；活力地带（MSN的功能区之一）¦launch date::下水日期；发行日期；上市日期¦launch on::开始；着手¦launch into::进入，投入¦launch out::出航；开始新的事情¦quick launch::快速启动¦launch a satellite::发射卫星	The organization has launched a campaign to raise $150,000.::为了筹集15万美元，该组织发起了一场募捐活动。¦The Canadian police plan to launch an investigation into the deal.::加拿大警方计划对这宗交易进行调查。¦The book launched his career as a novelist.::这本书开启了他的小说创作生涯。	vt::[航]发射（导弹、火箭等）；发起，发动；使…下水::release, send, project, drive, let go¦vi::开始；下水；起飞::proceed, start in¦n::[航]发射；发行，投放市场；下水；汽艇::emission, shot, sending, projection, loose	n::launching:: 发射；下水；创设¦n::launcher:: 发射器；发射台；发射者¦v::launching:: 发射；发动；开始从事（launch的ing形式）		 在午餐(lunch)会上推出(launch)新产品， 真是不错的主意。			
laundry	'lɔndri	'lɔːndrɪ	n::洗衣店，要洗的东西::clothes, sheets etc that need to be washed or have just been washed	laundry detergent::洗衣粉；洗衣精¦laundry service::洗衣服务；爱情洗礼（专辑名称）¦laundry bag::洗衣袋¦laundry room::洗衣房；洗衣间；洗衣室¦laundry list::细目清单¦dirty laundry::脏衣服¦do the laundry::洗衣服；做洗衣服的活¦laundry basket::洗衣篮¦laundry soap::[化]洗涤皂	She did the laundry (= washed the clothes etc ) and hung it out to dry.::她洗了衣服，然后挂出去晾干。¦Ben was folding laundry.::本正在叠洗好的衣服。	n::[贸易]洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服::cleaners, loundry	n::laundromat:: （美）自助洗衣店¦n::launder:: 流水槽¦n::launderette:: 自助洗衣店¦n::laundress:: 洗熨衣物的女工¦n::laundryman:: 洗衣工¦n::laundrywoman:: 洗衣女工人¦vi::launder:: 洗涤；洗熨；耐洗¦vt::launder:: 洗涤；清洗；洗黑钱（把来路可疑的钱弄得貌似合法）		 lau(洗) + nd + (o)ry(表地点) → 洗衣房			
lavish	'lævɪʃ	'lævɪʃ	adj::慷慨的，过度的，大量的::large, impressive, or expensive		a royal palace on a lavish scale::庞大的皇宫¦a lavish lifestyle::奢侈的生活方式¦The food was lavish.::食物很丰盛。	adj::浪费的；丰富的；大方的::abundant, full, generous, wasted, handsome¦vt::浪费；慷慨给予；滥用::lose, spend, strain, abuse	adv::lavishly:: 丰富地；浪费地¦n::lavishness:: 浪费；过度					
lawn	lɔn	lɔːn	n::草地，草坪::an area of ground in a garden or park that is covered with short grass	lawn mower::割草机¦lawn tennis::草地网球¦lawn chair::（美）草坪躺椅¦lawn bowling::（美）草地保龄球；草地滚球戏	I spent all morning mowing the lawn (= cutting the grass ).::我整个上午都在修剪草坪。¦a carefully tended lawn::受到细心呵护的草坪	n::[建]草地；草坪::grass, meadow						
lax	læks	læks	adj::疏忽的，不严格的::not strict or careful enough about standards of behaviour, work, safety etc		One of the problem areas is lax security for airport personnel.::其中一个问题是对机场人员的安全措施不严格。	adj::松的；松懈的；腹泻的::relaxed, pinic	adj::laxative:: 通便的¦adv::laxly:: 松懈地；缓慢地¦n::laxative:: 泻药；[药] 缓泻药¦n::laxity:: 松驰；放纵¦n::laxation:: 松弛；松懈；轻泻；排粪					
livestock	'laɪvstɑk	'laɪvstɒk	n::家畜，牲畜::animals such as cows and sheep that are kept on a farm	livestock breeding::畜牧业，畜牧饲养；家畜繁育¦livestock farming::畜牧业；养畜业¦livestock farm::畜牧场；禽畜饲养场；牧场	The heavy rains and flooding killed scores of livestock.::大雨和洪水淹死了许多家畜。	n::牲畜；[畜牧]家畜::cattle, dumb things			 live(活) + stock(东西) → 活物 → 家畜， 牲畜			
loaf	lof	ləʊf	n::一块面包，块，团::bread that is shaped and baked in one piece and can be cut into slices¦v::消磨时间::	loaf of bread::长面包，面包片¦meat loaf::肉糜卷；肉馅糕	a loaf of bread ::一条面包	n::条，一条面包；块；游荡::bar, piece, block, mass¦vt::游荡；游手好闲；虚度光阴::louse around, potter about¦vi::游荡；游手好闲；虚度光阴::louse around, potter about	n::loafer:: 游手好闲的人；拖鞋					
loan	lon	ləʊn	n::借出物，贷款；借出::¦v::借::	on loan::借用；借贷；借调¦bank loan::银行贷款¦mortgage loan::按揭贷款；抵押借款¦loan interest::贷款利息¦student loan::助学贷款¦loan contract::贷款合同¦loan guarantee::贷款担保，借款保证函¦loan period::借期，借书期限；租借期限¦personal loan::n. 个人贷款¦loan repayment::归还贷款，偿还借款¦housing mortgage loan::住房抵押贷款¦loan agreement::贷款协议；借款合同¦interlibrary loan::馆际互借；馆际合作¦loan application::贷款申请¦bad loan::呆帐，坏帐；迟还贷款¦syndicated loan::[经]财团放款¦loan officer::信贷员；贷款人员；信贷主管¦commercial loan::商业贷款¦credit loan::信用贷款¦non-performing loan::不良贷款，不履约贷款；非营运贷款		n::[金融]贷款；借款::debt, credit, borrowing¦vt::借；借给::borrow, lend to			 “漏” → 账本有漏洞， 因为把钱借出去了 → 贷款， 借			
loath	loθ	ləʊθ	adj::不愿意的::to be unwilling to do something		Sarah was loath to tell her mother what had happened.::萨拉不愿意告诉母亲所发生的事。	adj::勉强的；不情愿的（等于loth）::narrow, reluctant, unwilling	adj::loathly:: 讨厌的；可恶的¦adv::loathly:: 不情愿地					
lobby	'lɑbi	'lɒbɪ	n::门廊；院外活动集团::a wide passage or large hall just inside the entrance to a public building¦v::对议员等游说活动::If you lobby someone such as a member of a government or council, you try to persuade them that a particular law should be changed or that a particular thing should be done	hotel lobby::饭店大堂；宾馆大厅¦lobby lounge::大堂酒廊；大堂酒吧¦lobby for::游说议员；为…游说¦elevator lobby::n. 电梯门厅，电梯前廊¦lift lobby::升降机大堂；升降机门廊	a hotel lobby::宾馆大堂¦I’ll meet you in the entrance lobby.::我们在入口大厅见。¦The Wilderness Society lobbied Congress to authorize the Endangered Species Act.::荒野协会游说国会批准《濒危物种法》。	n::大厅；休息室；会客室；游说议员的团体::sala, salle	n::lobbyist:: 说客；活动议案通过者¦n::lobbyism:: 院外活动；游说；疏通					
locality	lo'kæləti	lə(ʊ)'kælɪtɪ	n::地区，地方::a small area of a country, city etc		weather reports from several different localities::来自几个不同地区的天气报告	n::所在；位置；地点::situation, site, spot, lie, where	adj::local:: 当地的；局部的；地方性的；乡土的¦adj::localized:: 局部的；地区的；小范围的¦adj::localised:: 限局性的，局部的¦adj::locative:: 表示位置的；位置格的¦adv::locally:: 局部地；在本地¦n::local:: [计] 局部；当地居民；本地新闻¦n::location:: 位置（形容词locational）；地点；外景拍摄场地¦n::locale:: 场所，现场¦n::localization:: [计] 定位；局限；地方化¦n::locating:: 定位；定位查找¦n::localisation:: 本土化；定位¦n::localism:: 有地方色彩，地方主义；方言¦n::locative:: 位置格¦n::localizer:: 定位信标；[计] 定位器（等于localiser）¦v::localized:: 定位（localize的过去分词）¦v::localised:: 使地方化；定位；局限（localise的过去分词）¦v::locating:: 找出；安置；确定…的位置（locate的ing形式）¦vi::locate:: 定位；定居¦vi::localize:: 局部化；集中¦vt::locate:: 位于；查找…的地点¦vt::localize:: 使地方化；使局部化；停留在一地方¦vt::localise:: 使地方化；定位；集中		来自local(a. 地方的)			
locker	'lɑkɚ	'lɒkə	n::(公共场所存衣帽的)小橱柜::A locker is a small metal or wooden cabinet with a lock, where you can put your personal possessions, for example in a school, place of work, or sports club	locker room::衣帽间	a meat locker::肉类冷藏间	n::柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜::box, case	adj::locked:: 上锁的；不灵活的；下定决心的¦adj::locking:: 伏窝孵卵的¦n::lock:: 锁；水闸；刹车¦n::locking:: [电子] 锁定；摇摆舞¦v::locked:: 锁上；紧闭；紧抱住（lock的过去分词）¦v::locking:: 上锁（lock的ing形式）¦vi::lock:: 锁；锁住；卡住¦vt::lock:: 锁，锁上；隐藏					
locomotive	,lokə'motɪv	ləʊkə'məʊtɪv	adj::运动的，移动的::relating to movement¦n::火车头::a railway engine	electric locomotive::电气机车¦diesel locomotive::柴油机车；内油机车¦steam locomotive::蒸汽机车¦locomotive engine::机车发动机；机车蒸汽机¦battery locomotive::蓄电池机车	an increase in locomotive power::运动力的增加	adj::[铁路]火车头的；运动的；移动的::moving, sport, athletic, kinetic¦n::机车；[铁路]火车头::engine, haulage motor	adj::loco:: 发疯的，发狂的¦adj::locomotor:: 移动的，运动的；运转的¦n::locomotion:: 运动；移动；旅行¦n::loco:: 火车头；疯子；疯草病¦n::locomotor:: 好旅行的人；有运动力之物；移动发动机¦vt::loco:: 使发疯；用疯草毒害¦vt::locomote:: 移动；行动					
lodge	lɑdʒ	lɒdʒ	v::供住宿，寄宿；存放；提出::to make a formal or official complaint, protest etc¦n::仆人住房::a traditional home of Native Americans, or the group of people that live in it	lodge a claim::提出索赔¦lodge a complaint::投诉；对…提出控告	a building used to lodge prisoners of war::一座关押战俘的建筑物	n::旅馆；门房；集会处；山林小屋::hotel, fonda¦vt::提出；寄存；借住；嵌入::introduce, present, prefer, file, advance¦vi::寄宿；临时住宿::board, guest	n::lodging:: 寄宿；寄宿处；出租的房间、住房¦n::lodgement:: 住宿；寄存；沉积（等于lodgment）¦n::lodger:: 房客；寄宿人；投宿者					
lodging	'lɑdʒɪŋ	'lɒdʒɪŋ	n::寄宿，住所；(大学生的)校外宿舍::a place to stay	board and lodging::膳宿；供应食宿¦lodging resistance::耐倒伏性	It’s £90 a week for board and lodging (= meals and a room ).::食宿费每周90英镑。	n::寄宿；寄宿处；出租的房间、住房::boarding house	n::lodge:: 旅馆；门房；集会处；山林小屋¦n::lodgement:: 住宿；寄存；沉积（等于lodgment）¦n::lodger:: 房客；寄宿人；投宿者¦vi::lodge:: 寄宿；临时住宿¦vt::lodge:: 提出；寄存；借住；嵌入					
lofty	'lɔfti	'lɒftɪ	adj::极高的，高尚的，高傲的::lofty mountains, buildings etc are very high and impressive		He stayed at the Four Seasons Hotel, from whose lofty heights he could see across New York.::他住在四季酒店，从酒店高处可以看到纽约的全景。	adj::高的；崇高的；高级的；高傲的::high, tall, senior, advanced, superior	adv::loftily:: 高尚地；傲慢地¦n::loft:: 阁楼；顶楼；鸽房¦n::loftiness:: 高；崇高；高傲¦vi::loft:: 将球高击¦vt::loft:: 把…储放在阁楼内					
log	lɔɡ	lɒg	n::原木，圆木::a thick piece of wood from a tree	log in::注册；请求联机¦log on::[计]登录；注册¦well log::测井曲线；钻井日志¦in the log::(木材)未经斧削的；处于原木状态的¦log file::日志文件¦like a log::象木头一样不动；无知觉的¦error log::错误日志¦event log::事件日志；事件记录¦log cabin::n. 小木屋¦log off::[计]注销；断线，退出系统¦log book::航海日志；记录簿；值班日记¦resistivity log::电阻率测井¦log out::注销；退出系统¦audit log::审计日志¦compensated neutron log::补偿中子测井¦ship's log::航海日志¦caliper log::钻孔直径记录图¦log entry::航海日志记录；值班日志记录¦porosity log::孔隙度测井¦yule log::n. 圣诞柴；圣诞节原木形大蛋糕	a roaring log fire::原木燃烧的熊熊大火	vi::伐木::lumber¦vt::切；伐木；航行::incise¦n::记录；[水运][航]航行日志；园木::page, register	n::logging:: 记录；伐木工作¦n::logger:: （美）樵夫，伐木工；记录器¦v::logging:: 把…锯成段木；砍伐树木（log的ing形式）					
logic	'lɑdʒɪk	'lɒdʒɪk	n::逻辑，逻辑学，条理性::a way of thinking about something that seems correct and reasonable, or a set of sensible reasons for doing something	fuzzy logic::模糊逻辑¦programmable logic::可编程序逻辑¦logic control::逻辑控制¦programmable logic controller::可编程序逻辑控制器¦control logic::控制逻辑¦logic system::逻辑系统¦logic circuit::逻辑电路¦fuzzy logic control::模糊逻辑控制¦digital logic::数字逻辑¦temporal logic::时序逻辑；时间逻辑¦logic design::[计]逻辑设计¦mathematical logic::数理逻辑¦formal logic::形式逻辑¦logic analyzer::逻辑分析仪；逻辑分析器¦logic operation::逻辑运算¦propositional logic::命题逻辑¦sequential logic::时序逻辑；顺序逻辑；循序逻辑¦predicate logic::谓词逻辑¦logic programming::逻辑编程¦modal logic::模态逻辑；情态逻辑	There isa certain logicin their choice of architect.::他们对建筑师的选择是有一定道理的。		adj::logistic:: 后勤学的；[数] 符号逻辑的¦adj::logical:: 合逻辑的，合理的；逻辑学的¦adv::logically:: 逻辑上；合乎逻辑¦n::logician:: 逻辑学家；论理学者¦n::logicality:: 逻辑性；合论理性；论法的正确¦n::logicism:: 逻辑主义；逻辑皱		 log(言语) + ic → 言语正确的 → 逻辑； 逻辑学			
loll	lɑl	lɒl	v::懒洋洋地倚靠,(头等)垂下n游手好闲的人"::to sit or lie in a very lazy and relaxed way		He was lolling on the sofa in the shadows near the fire.::他懒洋洋地躺在炉火边一个背光的沙发上。							
longitude	'lɑndʒətud	'lɒn(d)ʒɪtjuːd; 'lɒŋgɪ-	n::经度::the distance east or west of a particular  meridian (= imaginary line along the Earth’s surface from the North Pole to the South Pole )  , measured in degrees	latitude and longitude::经纬度¦east longitude::东经¦west longitude::西经	The town lies at longitude 12˚ east.::这个镇位于东经12度。	n::[地理]经度；经线::lon, shute	adj::longitudinal:: 长度的，纵向的；经线的¦adv::longitudinally:: 长度上，经向；经度上		 long(长) + itude → 连接南北两极的长线叫经线 → 经度			
lock	lɑk	lɒk	v&n::看，显得，似乎，注意::	lock up::把…锁起来；关起来¦ship lock::船闸¦lock in::把……关在里面¦door lock::门锁；车门锁¦lock on::用雷达自动跟踪；锁住¦lock system::n. 河闸控制系统¦phase lock::锁相；锁柑¦lock out::把…关在外面¦lock down::船过闸向下游驶去，过闸下驶¦lock chamber::闸室；锁止腔；水闸；闸段¦lock loop::锁定环¦under lock and key::妥善锁藏着；锁起来¦wheel lock::车轮抱死；制动跑偏；转轮点火机¦lock nut::锁紧螺母；防松螺母¦key lock::键封锁；钥匙锁；钥匙锁闭器¦electronic lock::电子锁；电子门锁¦hydraulic lock::液压锁紧；液压卡紧；液压封闭¦lock handle::n. 门把；带锁门把¦safety lock::保险机栓，保险锁¦lock into::受困于	The wheels suddenly locked.::轮子突然卡住不动了。	vt::[五金]锁，锁上；隐藏::key, pocket¦vi::[五金]锁；锁住；卡住::chain up, seize up¦n::[五金]锁；[水利]水闸；刹车::spoke, brake	adj::locked:: 上锁的；不灵活的；下定决心的¦adj::locking:: 伏窝孵卵的¦n::locker:: 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜¦n::locking:: [电子] 锁定；摇摆舞¦n::lockage:: 通过船闸；船闸系统；水闸升降度；水闸的构筑及使用¦v::locked:: 锁上；紧闭；紧抱住（lock的过去分词）¦v::locking:: 上锁（lock的ing形式）					
mammal	'mæml	'mæm(ə)l	n::哺乳动物::a type of animal that drinks milk from its mother’s body when it is young. Humans, dogs, and whales are mammals.	marine mammal::海产哺乳动物	A whale is a kind of mammal.::鲸是一种哺乳动物。¦The whale is a mammal.::鲸鱼是哺乳动物。¦The problem with that theory is that no other mammal has resorted to this method of cooling down.::这一理论的问题在于，没有其他的哺乳动物采取了这种降低体温的方式。	n::[脊椎]哺乳动物::suckler	adj::mammalian:: 哺乳类动物的¦n::mammalian:: 哺乳类¦n::mammalogy:: [脊椎] 哺乳动物学		 mamma(妈妈) + l → 靠吃妈妈的奶长大 → 哺乳动物			
manacle	'mænəkl	'mænək(ə)l	n::手铐::an iron ring on a chain that is put around the wrist or  ankle  of a prisoner¦v::上手铐，束缚::If a prisoner is manacled, their wrists or legs are put in manacles in order to prevent them from moving or escaping		His hands were manacled behind his back.::他的双手被铐在了身后。¦He was manacled by the police.::他被警察上了镣铐。	n::束缚；手铐::chain, restriction, cord¦vt::束缚；给…上手铐::chain, bound						
mandate	'mændet	'mændeɪt	n::命令，训令；授权(选民对代表)::if a government or official has a mandate to make important decisions, they have the authority to make the decisions because they have been elected by the people to do so		Matters debated in meetings do not become a mandate automatically.::会议上讨论的事宜并不能自动成为一项指令。	n::授权；[法]命令，指令；委托管理；受命进行的工作::instruction, order, bidding, word, charge¦vt::授权；托管::empower, accredit	adj::mandatory:: 强制的；托管的；命令的¦adj::managerial:: [管理] 管理的；经理的¦n::mandatory:: 受托者（等于mandatary）¦n::mandator:: 命令者；委托人，托管人¦n::manageress:: （英）女经理；（英）女管理人¦n::mandamus:: 命令书；书面训令¦vt::mandamus:: 发训令（过去式mandamused，过去分词mandamused，现在分词mandamusing，第三人称单数mandamuses）					
mandatory	'mændətɔri	'mændət(ə)rɪ	adj::命令的；强制性的::if something is mandatory, the law says it must be done	mandatory standard::n. 强制性标准，法定标准；推荐性标准¦mandatory provident fund::强制性公积金¦mandatory measures::指令性措施¦mandatory requirement::强制性要求；必须遵循的要求	Murder carries a mandatory life sentence .::谋杀罪依照法律要判无期徒刑。¦The Council has made it mandatory for all nurses to attend a refresher course every three years.::理事会规定所有护士必须每三年参加一次进修课程。	adj::强制的；托管的；命令的::managed, compulsive¦n::受托者（等于mandatary）::bailee, consignee	n::mandate:: 授权；命令，指令；委托管理；受命进行的工作¦n::mandatary:: 受托者；代理人¦n::mandator:: 命令者；委托人，托管人¦n::mandamus:: 命令书；书面训令¦vt::mandate:: 授权；托管¦vt::mandamus:: 发训令（过去式mandamused，过去分词mandamused，现在分词mandamusing，第三人称单数mandamuses）					
maneuver	mə'nʊvɚ; mə'njʊvɚ	mə'nʊvə	n::调动，机动；演习；策略；总括::¦v::使调动::			n::[军]机动；演习；策略；调遣::strategy, device, exercises¦vi::[军]机动；演习；调遣；用计谋::dry run¦vt::[军]机动；演习；用计；调遣::boss, dry run	n::maneuverability:: 可操作性；[航][车辆][船] 机动性					
mania	'menɪə	'meɪnɪə	n::疯狂；躁狂症，狂热，癖好::a strong desire for something or interest in something, especially one that affects a lot of people at the same time		The mania for dinosaurs began in the late 1800s.::恐龙热兴起于19世纪晚期。	n::狂热；狂躁；热衷::abandon, fanaticism	adj::manic:: 躁狂的；狂热的¦adj::maniacal:: 疯狂的，狂热的；躁狂的¦n::manic:: 躁狂症者					
maniac	'menɪæk	'meɪnɪæk	n::疯子，躁狂者::someone who behaves in a stupid or dangerous way		He drove like a maniac to the hospital.::他像个疯子似的开车去医院。¦Suddenly this maniac ran out into the middle of the road.::突然这个疯子跑到路当中。	n::疯子，躁狂者::nutcase, madman¦adj::发狂的；狂热的；癫狂的::crazy, wild, enthusiastic, nuts	adj::manic:: 躁狂的；狂热的¦adj::maniacal:: 疯狂的，狂热的；躁狂的¦n::manic:: 躁狂症者					
manifest	'mænɪfɛst	'mænɪfest	adj::明白的，明显的::plain and easy to see¦v::显示，出现::to show a feeling, attitude etc	manifest destiny::天定命运¦assembly manifest::[计]程序集清单；装配件清单	a manifest error of judgment::明显的判断错误	vt::证明，表明；显示::indicate, prove, demonstrate, reveal, make clear¦vi::显示，出现::occur, make clear, figure, offer, come out¦n::[贸易]载货单，货单；旅客名单::passenger list¦adj::显然的，明显的；明白的::apparent, obvious, distinct, transparent, decided	adv::manifestly:: 显然地；明白地¦n::manifestation:: 表现；显示；示威运动		 mani(手) + fest(打) → 用手打人， 怒意很明显 → 明显的			
manifold	'mænɪfold	'mænɪfəʊld	adj::多样的；种种的::many and of different kinds	intake manifold::进气歧管¦exhaust manifold::[化]排废管汇¦riemannian manifold::[数]黎曼流形；黎曼廖¦hydraulic manifold::液压系统分路阀箱¦inlet manifold::进气总管；入口集合管¦manifold block::歧管档块¦fuel manifold::燃油歧管；燃油总管	The reasons for this situation are manifold.::出现这种情况原因是多方面的。	vt::复写，复印；增多；使……多样化::copy¦adj::多方面的，有许多部分的；各式各样的::various, multi-faceted						
manipulate	mə'nɪpjulet	mə'nɪpjʊleɪt	v::熟练地使用；操纵::to make someone think and behave exactly as you want them to, by skilfully deceiving or influencing them	manipulate data::操作数据	He was one of those men who manipulated people.::他是那种要摆布别人的人。¦You have the constant feeling you are being manipulated.::你总感觉自己是被人控制着的。	vt::操纵；操作；巧妙地处理；篡改::man, guide, work, handle	adj::manipulative:: 巧妙处理的；操纵的，用手控制的¦adj::manned:: 有人驾驶的；有人操纵的；配备齐船员的¦adj::manipulable:: 可操纵自如的；可以操作的¦n::manipulation:: 操纵；操作；处理；篡改¦n::manipulability:: 可操纵性¦v::manned:: 给…配备人员（man的过去分词）		 mani(手) + pul(拉) + ate → 用手拉 → 处理； 操纵			
mantle	'mæntl	'mænt(ə)l	n::斗篷，披风；覆盖物，(煤气灯)白热罩::a loose piece of outer clothing without sleeves, worn especially in former times	upper mantle::上地幔；上部地函¦mantle plume::[地质]地幔柱¦mantle convection::地函对流，地幔对流；地幔对流¦lower mantle::下地幔¦mantle rock::表岩层；风化层¦earth mantle::地函，地幔	We have the rare opportunity to seize the mantle of national leadership.::这次是我们担当国家领导职责的天赐良机。	n::地幔；[服装]斗篷；覆盖物::covering, pella¦vi::覆盖；脸红::cover with, write over¦vt::覆盖::invest, house, sheet, roof, cap	adj::mantled:: 披着斗篷的					
mansion	'mænʃən	'mænʃ(ə)n	n::大厦，官邸::a very large house	mansion house::大厦之屋，民信大厦；府邸¦executive mansion::n. 白宫；州长官邸	a beautiful country mansion::漂亮的乡村宅第	n::大厦；宅邸::palace, edifice	n::manse:: 牧师住宅		 man(人) + sion → 有钱人住的地方 → 宅邸			
manual	'mænjuəl	'mænjʊ(ə)l	adj::手工的，用手的::manual work involves using your hands or your physical strength rather than your mind¦n::手册；便览::a book that gives instructions about how to do something, especially how to use a machine	manual operation::[计]人工操作；手控¦manual work::手工作业¦manual control::手动控制；人工控制¦manual labor::体力劳动；手工¦instruction manual::安装手册，操作工序说明书；工艺规范¦user manual::使用手册¦manual transmission::手动变速箱；手排档变速箱；人力操纵传动¦manual labour::体力劳动；手工劳动¦operation manual::操作指南；操作手册¦manual arc welding::手工电弧焊¦reference manual::参考手册¦manual mode::手控方式¦quality manual::质量手册；品质手册¦manual welding::人工焊接；手动熔接¦user's manual::用户手册，使用说瞄¦manual valve::手动阀；手控阀¦maintenance manual::维护手册¦manual system::人工系统；手动系统¦manual pump::手动泵¦operating manual::使用说明书	People in manual occupations have a lower life expectancy.::干体力活的人预期寿命较短。	adj::手工的；体力的::handmade, mechanic¦n::手册，指南::guide, handbook, notebook	adv::manually:: 手动地；用手		 manu(手) + al(形容词后缀) → 手工的			
manure	mə'nʊr	mə'njʊə	n::粪，肥，肥粒::waste matter from animals that is mixed with soil to improve the soil and help plants grow¦v::施肥::	green manure::绿肥；未熟的堆肥¦pig manure::猪粪；猪粪肥¦chicken manure::鸡粪¦animal manure::动物性杂肥，畜肥¦horse manure::马粪，马粪肥	...bags of manure.::…一袋袋的肥料。	vt::施肥于；耕种::till, farm¦n::[肥料]肥料；粪肥::fertilizer						
manufacture	'mænjə'fæktʃɚ	mænjʊ'fæktʃə	v::大量制造加工::to use machines to make goods or materials, usually in large numbers or amounts¦n::(大量)制造；产品::the process of making goods or materials using machines, usually in large numbers or amounts	manufacture process::制造工艺；建造过程¦manufacture management::制造管理¦steel manufacture::钢铁工业；炼钢业¦manufacture procedure::制造过程；制程¦supervise the manufacture of::监制¦manufacture plant::[化]制造工厂¦manufacture bases::n. 施工依据¦lean manufacture::精益生产；精实生产；精益制造	the company that manufactured the drug::生产这种药的公司¦manufactured goods::工业品，制成品	n::制造；产品；制造业::machining, make, work, fabrication¦vt::制造；加工；捏造::process, make	adj::manufactured:: 制造的，已制成的¦n::manufacturer:: 制造商；[经] 厂商¦n::manufactory:: 制造厂，工厂¦v::manufactured:: 制造，加工（manufacture的过去式）		 manu(手) + fact(制作， 做) + ure → 用手制作 → 大量制造			
